,date,Nelson,lagged
0,1992-01-31,115000.00000000012,
1,1992-02-29,108000.00000000012,115000.00000000012
2,1992-03-31,115000.00000000012,108000.00000000012
3,1992-04-30,116000.00000000012,115000.00000000012
4,1992-05-31,115000.00000000012,116000.00000000012
5,1992-06-30,107000.0,115000.00000000012
6,1992-07-31,118000.00000000012,107000.0
7,1992-08-31,116000.00000000012,118000.00000000012
8,1992-09-30,120000.0,116000.00000000012
9,1992-10-31,115000.00000000012,120000.0
10,1992-11-30,122500.0,115000.00000000012
11,1992-12-31,124000.0,122500.0
12,1993-01-31,120000.0,124000.0
13,1993-02-28,125000.00000000012,120000.0
14,1993-03-31,126000.00000000012,125000.00000000012
15,1993-04-30,137500.00000000012,126000.00000000012
16,1993-05-31,121000.0,137500.00000000012
17,1993-06-30,120000.0,121000.0
18,1993-07-31,125000.00000000012,120000.0
19,1993-08-31,120000.0,125000.00000000012
20,1993-09-30,128000.00000000012,120000.0
21,1993-10-31,134000.0,128000.00000000012
22,1993-11-30,122000.00000000012,134000.0
23,1993-12-31,128000.00000000012,122000.00000000012
24,1994-01-31,126000.00000000012,128000.00000000012
25,1994-02-28,125000.00000000012,126000.00000000012
26,1994-03-31,135000.00000000012,125000.00000000012
27,1994-04-30,130799.99999999988,135000.00000000012
28,1994-05-31,132000.00000000012,130799.99999999988
29,1994-06-30,130000.00000000012,132000.00000000012
30,1994-07-31,129500.0,130000.00000000012
31,1994-08-31,133000.00000000012,129500.0
32,1994-09-30,133500.00000000012,133000.00000000012
33,1994-10-31,146000.00000000012,133500.00000000012
34,1994-11-30,141000.0,146000.00000000012
35,1994-12-31,137500.00000000012,141000.0
36,1995-01-31,144000.0,137500.00000000012
37,1995-02-28,135000.00000000012,144000.0
38,1995-03-31,133500.00000000012,135000.00000000012
39,1995-04-30,135000.00000000012,133500.00000000012
40,1995-05-31,140000.00000000012,135000.00000000012
41,1995-06-30,135000.00000000012,140000.00000000012
42,1995-07-31,140000.00000000012,135000.00000000012
43,1995-08-31,145000.00000000012,140000.00000000012
44,1995-09-30,132500.0,145000.00000000012
45,1995-10-31,134000.0,132500.0
46,1995-11-30,137000.0,134000.0
47,1995-12-31,125500.0,137000.0
48,1996-01-31,135000.00000000012,125500.0
49,1996-02-29,135000.00000000012,135000.00000000012
50,1996-03-31,133000.00000000012,135000.00000000012
51,1996-04-30,135000.00000000012,133000.00000000012
52,1996-05-31,147000.00000000012,135000.00000000012
53,1996-06-30,143000.00000000012,147000.00000000012
54,1996-07-31,135000.00000000012,143000.00000000012
55,1996-08-31,135000.00000000012,135000.00000000012
56,1996-09-30,128000.00000000012,135000.00000000012
57,1996-10-31,143500.00000000012,128000.00000000012
58,1996-11-30,141000.0,143500.00000000012
59,1996-12-31,135000.00000000012,141000.0
60,1997-01-31,146000.00000000012,135000.00000000012
61,1997-02-28,155000.00000000012,146000.00000000012
62,1997-03-31,137000.0,155000.00000000012
63,1997-04-30,150000.00000000012,137000.0
64,1997-05-31,141500.00000000012,150000.00000000012
65,1997-06-30,132000.00000000012,141500.00000000012
66,1997-07-31,145000.00000000012,132000.00000000012
67,1997-08-31,169000.00000000012,145000.00000000012
68,1997-09-30,142000.00000000012,169000.00000000012
69,1997-10-31,155000.00000000012,142000.00000000012
70,1997-11-30,135500.0,155000.00000000012
71,1997-12-31,147500.00000000012,135500.0
72,1998-01-31,139000.00000000012,147500.00000000012
73,1998-02-28,152000.00000000012,139000.00000000012
74,1998-03-31,148000.0,152000.00000000012
75,1998-04-30,157000.0,148000.0
76,1998-05-31,146000.00000000012,157000.0
77,1998-06-30,155000.00000000012,146000.00000000012
78,1998-07-31,142000.00000000012,155000.00000000012
79,1998-08-31,132000.00000000012,142000.00000000012
80,1998-09-30,145000.00000000012,132000.00000000012
81,1998-10-31,145500.0,145000.00000000012
82,1998-11-30,130000.00000000012,145500.0
83,1998-12-31,137000.0,130000.00000000012
84,1999-01-31,140000.00000000012,137000.0
85,1999-02-28,146000.00000000012,140000.00000000012
86,1999-03-31,158000.0,146000.00000000012
87,1999-04-30,155000.00000000012,158000.0
88,1999-05-31,150000.00000000012,155000.00000000012
89,1999-06-30,152000.00000000012,150000.00000000012
90,1999-07-31,148000.0,152000.00000000012
91,1999-08-31,135000.00000000012,148000.0
92,1999-09-30,142000.00000000012,135000.00000000012
93,1999-10-31,155000.00000000012,142000.00000000012
94,1999-11-30,159000.00000000012,155000.00000000012
95,1999-12-31,153000.00000000012,159000.00000000012
96,2000-01-31,147000.00000000012,153000.00000000012
97,2000-02-29,150000.00000000012,147000.00000000012
98,2000-03-31,162500.0,150000.00000000012
99,2000-04-30,160000.00000000012,162500.0
100,2000-05-31,162000.00000000012,160000.00000000012
101,2000-06-30,141500.00000000012,162000.00000000012
102,2000-07-31,140000.00000000012,141500.00000000012
103,2000-08-31,154000.0,140000.00000000012
104,2000-09-30,146000.00000000012,154000.0
105,2000-10-31,154000.0,146000.00000000012
106,2000-11-30,147000.00000000012,154000.0
107,2000-12-31,156000.00000000012,147000.00000000012
108,2001-01-31,142000.00000000012,156000.00000000012
109,2001-02-28,150000.00000000012,142000.00000000012
110,2001-03-31,148000.0,150000.00000000012
111,2001-04-30,144333.00000000012,148000.0
112,2001-05-31,167500.00000000012,144333.00000000012
113,2001-06-30,178000.0,167500.00000000012
114,2001-07-31,154000.0,178000.0
115,2001-08-31,153000.00000000012,154000.0
116,2001-09-30,150000.00000000012,153000.00000000012
117,2001-10-31,153000.00000000012,150000.00000000012
118,2001-11-30,151000.0,153000.00000000012
119,2001-12-31,155000.00000000012,151000.0
120,2002-01-31,156000.00000000012,155000.00000000012
121,2002-02-28,155000.00000000012,156000.00000000012
122,2002-03-31,156000.00000000012,155000.00000000012
123,2002-04-30,176000.00000000012,156000.00000000012
124,2002-05-31,165000.00000000012,176000.00000000012
125,2002-06-30,167000.00000000012,165000.00000000012
126,2002-07-31,162000.00000000012,167000.00000000012
127,2002-08-31,160000.00000000012,162000.00000000012
128,2002-09-30,175150.0,160000.00000000012
129,2002-10-31,187500.0000000001,175150.0
130,2002-11-30,195000.0,187500.0000000001
131,2002-12-31,191000.0,195000.0
132,2003-01-31,205000.0,191000.0
133,2003-02-28,210000.0000000001,205000.0
134,2003-03-31,230000.0000000001,210000.0000000001
135,2003-04-30,240000.0000000001,230000.0000000001
136,2003-05-31,241550.0,240000.0000000001
137,2003-06-30,225150.0000000001,241550.0
138,2003-07-31,275000.0000000001,225150.0000000001
139,2003-08-31,275000.0000000001,275000.0000000001
140,2003-09-30,242000.0,275000.0000000001
141,2003-10-31,248000.0,242000.0
142,2003-11-30,265000.0,248000.0
143,2003-12-31,315000.00000000006,265000.0
144,2004-01-31,295000.0000000001,315000.00000000006
145,2004-02-29,270000.0,295000.0000000001
146,2004-03-31,272000.0000000001,270000.0
147,2004-04-30,250000.0,272000.0000000001
148,2004-05-31,280000.0,250000.0
149,2004-06-30,245000.0,280000.0
150,2004-07-31,270000.0,245000.0
151,2004-08-31,270000.0,270000.0
152,2004-09-30,250000.0,270000.0
153,2004-10-31,270000.0,250000.0
154,2004-11-30,282500.0000000001,270000.0
155,2004-12-31,258000.0000000001,282500.0000000001
156,2005-01-31,283035.0,258000.0000000001
157,2005-02-28,312500.0,283035.0
158,2005-03-31,301999.99999999994,312500.0
159,2005-04-30,280000.0,301999.99999999994
160,2005-05-31,285000.0000000001,280000.0
161,2005-06-30,262500.0000000001,285000.0000000001
162,2005-07-31,280000.0,262500.0000000001
163,2005-08-31,265000.0,280000.0
164,2005-09-30,268000.0000000001,265000.0
165,2005-10-31,280000.0,268000.0000000001
166,2005-11-30,280000.0,280000.0
167,2005-12-31,275000.0000000001,280000.0
168,2006-01-31,265000.0,275000.0000000001
169,2006-02-28,290000.0,265000.0
170,2006-03-31,280000.0,290000.0
171,2006-04-30,307000.0,280000.0
172,2006-05-31,298999.9999999999,307000.0
173,2006-06-30,285000.0000000001,298999.9999999999
174,2006-07-31,322000.00000000006,285000.0000000001
175,2006-08-31,300000.0,322000.00000000006
176,2006-09-30,300000.0,300000.0
177,2006-10-31,315000.00000000006,300000.0
178,2006-11-30,308000.00000000006,315000.00000000006
179,2006-12-31,310000.0,308000.00000000006
180,2007-01-31,339999.99999999994,310000.0
181,2007-02-28,300000.0,339999.99999999994
182,2007-03-31,318000.00000000006,300000.0
183,2007-04-30,306500.00000000006,318000.00000000006
184,2007-05-31,332500.0,306500.00000000006
185,2007-06-30,312000.00000000006,332500.0
186,2007-07-31,310000.0,312000.00000000006
187,2007-08-31,365000.00000000006,310000.0
188,2007-09-30,325000.00000000006,365000.00000000006
189,2007-10-31,375000.0,325000.00000000006
190,2007-11-30,315000.00000000006,375000.0
191,2007-12-31,320000.0,315000.00000000006
192,2008-01-31,339999.99999999994,320000.0
193,2008-02-29,349000.00000000006,339999.99999999994
194,2008-03-31,310000.0,349000.00000000006
195,2008-04-30,325000.00000000006,310000.0
196,2008-05-31,312850.0,325000.00000000006
197,2008-06-30,345000.00000000006,312850.0
