,date,Bay_of_Plenty,lagged
0,1992-01-31,112908.46681922195,
1,1992-02-29,112908.46681922195,112908.46681922195
2,1992-03-31,103000.0,112908.46681922195
3,1992-04-30,110926.77345537744,103000.0
4,1992-05-31,107954.23340961093,110926.77345537744
5,1992-06-30,103000.0,107954.23340961093
6,1992-07-31,113899.31350114418,103000.0
7,1992-08-31,112908.46681922195,113899.31350114418
8,1992-09-30,103000.0,112908.46681922195
9,1992-10-31,115385.58352402748,103000.0
10,1992-11-30,115881.00686498848,115385.58352402748
11,1992-12-31,112908.46681922195,115881.00686498848
12,1993-01-31,117862.700228833,112908.46681922195
13,1993-02-28,115881.00686498848,117862.700228833
14,1993-03-31,115633.29519450804,115881.00686498848
15,1993-04-30,107954.23340961093,115633.29519450804
16,1993-05-31,111422.19679633876,107954.23340961093
17,1993-06-30,108945.08009153312,111422.19679633876
18,1993-07-31,117367.2768878718,108945.08009153312
19,1993-08-31,117862.700228833,117367.2768878718
20,1993-09-30,119844.39359267744,117862.700228833
21,1993-10-31,120835.24027459964,119844.39359267744
22,1993-11-30,126284.89702517157,120835.24027459964
23,1993-12-31,119844.39359267744,126284.89702517157
24,1994-01-31,126780.32036613276,119844.39359267744
25,1994-02-28,122816.93363844394,126780.32036613276
26,1994-03-31,123312.35697940493,122816.93363844394
27,1994-04-30,126780.32036613276,123312.35697940493
28,1994-05-31,127771.16704805476,126780.32036613276
29,1994-06-30,132725.4004576659,127771.16704805476
30,1994-07-31,127771.16704805476,132725.4004576659
31,1994-08-31,130743.7070938216,127771.16704805476
32,1994-09-30,132725.4004576659,130743.7070938216
33,1994-10-31,131734.5537757437,132725.4004576659
34,1994-11-30,132725.4004576659,131734.5537757437
35,1994-12-31,134707.0938215102,132725.4004576659
36,1995-01-31,137679.63386727695,134707.0938215102
37,1995-02-28,135202.51716247143,137679.63386727695
38,1995-03-31,132725.4004576659,135202.51716247143
39,1995-04-30,140652.17391304357,132725.4004576659
40,1995-05-31,138670.48054919904,140652.17391304357
41,1995-06-30,132725.4004576659,138670.48054919904
42,1995-07-31,142633.86727688788,132725.4004576659
43,1995-08-31,135450.22883295186,142633.86727688788
44,1995-09-30,144615.56064073218,135450.22883295186
45,1995-10-31,137679.63386727695,144615.56064073218
46,1995-11-30,137679.63386727695,137679.63386727695
47,1995-12-31,142633.86727688788,137679.63386727695
48,1996-01-31,144504.58581235702,142633.86727688788
49,1996-02-29,142633.86727688788,144504.58581235702
50,1996-03-31,138670.48054919904,142633.86727688788
51,1996-04-30,142633.86727688788,138670.48054919904
52,1996-05-31,142633.86727688788,142633.86727688788
53,1996-06-30,141316.04118993145,142633.86727688788
54,1996-07-31,143624.71395881008,141316.04118993145
55,1996-08-31,147588.10068649892,143624.71395881008
56,1996-09-30,149569.79405034322,147588.10068649892
57,1996-10-31,155514.87414187635,149569.79405034322
58,1996-11-30,155514.87414187635,155514.87414187635
59,1996-12-31,157496.5675057209,155514.87414187635
60,1997-01-31,157496.5675057209,157496.5675057209
61,1997-02-28,160964.5308924485,157496.5675057209
62,1997-03-31,165423.34096109832,160964.5308924485
63,1997-04-30,157496.5675057209,165423.34096109832
64,1997-05-31,167405.03432494286,157496.5675057209
65,1997-06-30,167900.45766590384,167405.03432494286
66,1997-07-31,172359.26773455378,167900.45766590384
67,1997-08-31,164927.91762013722,172359.26773455378
68,1997-09-30,169386.72768878716,164927.91762013722
