Date,NZD/USD
"January 2, 1990",0.593
"January 3, 1990",0.594
"January 4, 1990",0.5973
"January 5, 1990",0.597
"January 8, 1990",0.5985
"January 9, 1990",0.604
"January 10, 1990",0.607
"January 11, 1990",0.6084
"January 12, 1990",0.6115
"January 16, 1990",0.609
"January 17, 1990",0.612
"January 18, 1990",0.614
"January 19, 1990",0.6106
"January 22, 1990",0.6118
"January 23, 1990",0.6052
"January 24, 1990",0.5915
"January 25, 1990",0.5945
"January 26, 1990",0.5928
"January 29, 1990",0.595
"January 30, 1990",0.597
"January 31, 1990",0.602
"February 1, 1990",0.5983
"February 2, 1990",0.6003
"February 5, 1990",0.5998
"February 6, 1990",0.601
"February 7, 1990",0.5936
"February 8, 1990",0.5915
"February 9, 1990",0.593
"February 12, 1990",0.5926
"February 13, 1990",0.5925
"February 14, 1990",0.5815
"February 15, 1990",0.585
"February 16, 1990",0.5883
"February 20, 1990",0.5898
"February 21, 1990",0.5887
"February 22, 1990",0.5897
"February 23, 1990",0.5902
"February 26, 1990",0.5882
"February 27, 1990",0.5877
"February 28, 1990",0.588
"March 1, 1990",0.5872
"March 2, 1990",0.5884
"March 5, 1990",0.5878
"March 6, 1990",0.5891
"March 7, 1990",0.5889
"March 8, 1990",0.5879
"March 9, 1990",0.5907
"March 12, 1990",0.5892
"March 13, 1990",0.5863
"March 14, 1990",0.5874
"March 15, 1990",0.5898
"March 16, 1990",0.588
"March 19, 1990",0.5855
"March 20, 1990",0.5832
"March 21, 1990",0.5793
"March 22, 1990",0.581
"March 23, 1990",0.5785
"March 26, 1990",0.5805
"March 27, 1990",0.5808
"March 28, 1990",0.5767
"March 29, 1990",0.5783
"March 30, 1990",0.579
"April 2, 1990",0.5778
"April 3, 1990",0.577
"April 4, 1990",0.579
"April 5, 1990",0.5782
"April 6, 1990",0.578
"April 9, 1990",0.5784
"April 10, 1990",0.5783
"April 11, 1990",0.5792
"April 12, 1990",0.5796
"April 13, 1990",0.5795
"April 16, 1990",0.5796
"April 17, 1990",0.5777
"April 18, 1990",0.5788
"April 19, 1990",0.5815
"April 20, 1990",0.5827
"April 23, 1990",0.5828
"April 24, 1990",0.5818
"April 25, 1990",0.5817
"April 26, 1990",0.5755
"April 27, 1990",0.5735
"April 30, 1990",0.5748
"May 1, 1990",0.5685
"May 2, 1990",0.5708
"May 3, 1990",0.5727
"May 4, 1990",0.5726
"May 7, 1990",0.5726
"May 8, 1990",0.5747
"May 9, 1990",0.5721
"May 10, 1990",0.5739
"May 11, 1990",0.57
"May 14, 1990",0.5708
"May 15, 1990",0.5725
"May 16, 1990",0.5728
"May 17, 1990",0.5735
"May 18, 1990",0.5725
"May 21, 1990",0.5735
"May 22, 1990",0.5735
"May 23, 1990",0.5737
"May 24, 1990",0.5739
"May 25, 1990",0.5733
"May 29, 1990",0.5741
"May 30, 1990",0.5757
"May 31, 1990",0.5768
"June 1, 1990",0.5752
"June 4, 1990",0.5768
"June 5, 1990",0.5776
"June 6, 1990",0.5819
"June 7, 1990",0.5828
"June 8, 1990",0.5812
"June 11, 1990",0.5785
"June 12, 1990",0.5783
"June 13, 1990",0.5806
"June 14, 1990",0.5823
"June 15, 1990",0.5816
