,date,Taranaki,lagged
0,1992-01-31,80998.27882960415,
1,1992-02-29,80998.27882960415,80998.27882960415
2,1992-03-31,83993.11531841662,80998.27882960415
3,1992-04-30,85989.67297762481,83993.11531841662
4,1992-05-31,80000.0,85989.67297762481
5,1992-06-30,82994.83648881246,80000.0
6,1992-07-31,85989.67297762481,82994.83648881246
7,1992-08-31,85989.67297762481,85989.67297762481
8,1992-09-30,89982.78829604131,85989.67297762481
9,1992-10-31,87986.230636833,89982.78829604131
10,1992-11-30,86987.95180722885,87986.230636833
11,1992-12-31,87986.230636833,86987.95180722885
12,1993-01-31,90981.06712564548,87986.230636833
13,1993-02-28,90981.06712564548,90981.06712564548
14,1993-03-31,90981.06712564548,90981.06712564548
15,1993-04-30,87986.230636833,90981.06712564548
16,1993-05-31,90981.06712564548,87986.230636833
17,1993-06-30,86488.81239242689,90981.06712564548
18,1993-07-31,94974.18244406195,86488.81239242689
19,1993-08-31,90981.06712564548,94974.18244406195
20,1993-09-30,92478.48537005158,90981.06712564548
21,1993-10-31,92977.62478485378,92478.48537005158
22,1993-11-30,90981.06712564548,92977.62478485378
23,1993-12-31,94974.18244406195,90981.06712564548
24,1994-01-31,96970.74010327016,94974.18244406195
25,1994-02-28,92977.62478485378,96970.74010327016
26,1994-03-31,95972.46127366612,92977.62478485378
27,1994-04-30,90981.06712564548,95972.46127366612
28,1994-05-31,92977.62478485378,90981.06712564548
29,1994-06-30,100963.85542168666,92977.62478485378
30,1994-07-31,88984.50946643727,100963.85542168666
31,1994-08-31,99965.5765920825,88984.50946643727
32,1994-09-30,100464.7160068847,99965.5765920825
33,1994-10-31,100963.85542168666,100464.7160068847
34,1994-11-30,92977.62478485378,100963.85542168666
35,1994-12-31,106953.52839931149,92977.62478485378
36,1995-01-31,96970.74010327016,106953.52839931149
37,1995-02-28,97969.01893287445,96970.74010327016
38,1995-03-31,100963.85542168666,97969.01893287445
39,1995-04-30,95972.46127366612,100963.85542168666
40,1995-05-31,95972.46127366612,95972.46127366612
41,1995-06-30,97969.01893287445,95972.46127366612
42,1995-07-31,95972.46127366612,97969.01893287445
43,1995-08-31,95972.46127366612,95972.46127366612
44,1995-09-30,98468.15834767652,95972.46127366612
45,1995-10-31,92977.62478485378,98468.15834767652
46,1995-11-30,93975.9036144578,92977.62478485378
47,1995-12-31,113941.48020654032,93975.9036144578
48,1996-01-31,98967.29776247848,113941.48020654032
49,1996-02-29,100963.85542168666,98967.29776247848
50,1996-03-31,95972.46127366612,100963.85542168666
51,1996-04-30,104956.97074010328,95972.46127366612
52,1996-05-31,95972.46127366612,104956.97074010328
