,date,Wellington,lagged
0,1992-01-31,123000.00000000023,
1,1992-02-29,122000.00000000012,123000.00000000023
2,1992-03-31,125000.00000000012,122000.00000000012
3,1992-04-30,129000.00000000012,125000.00000000012
4,1992-05-31,128000.00000000012,129000.00000000012
5,1992-06-30,130000.00000000023,128000.00000000012
6,1992-07-31,124000.00000000012,130000.00000000023
7,1992-08-31,128000.00000000012,124000.00000000012
8,1992-09-30,127000.0,128000.00000000012
9,1992-10-31,130000.00000000023,127000.0
10,1992-11-30,132000.00000000012,130000.00000000023
11,1992-12-31,130000.00000000023,132000.00000000012
12,1993-01-31,120000.0,130000.00000000023
13,1993-02-28,128000.00000000012,120000.0
14,1993-03-31,127500.00000000012,128000.00000000012
15,1993-04-30,125000.00000000012,127500.00000000012
16,1993-05-31,123500.00000000012,125000.00000000012
17,1993-06-30,127000.0,123500.00000000012
18,1993-07-31,128500.0,127000.0
19,1993-08-31,125000.00000000012,128500.0
20,1993-09-30,126000.00000000012,125000.00000000012
21,1993-10-31,127000.0,126000.00000000012
22,1993-11-30,134000.0,127000.0
23,1993-12-31,130100.0,134000.0
24,1994-01-31,127000.0,130100.0
25,1994-02-28,135000.00000000012,127000.0
26,1994-03-31,130000.00000000023,135000.00000000012
27,1994-04-30,133000.00000000023,130000.00000000023
28,1994-05-31,130000.00000000023,133000.00000000023
29,1994-06-30,127500.00000000012,130000.00000000023
30,1994-07-31,130000.00000000023,127500.00000000012
31,1994-08-31,135000.00000000012,130000.00000000023
32,1994-09-30,134000.0,135000.00000000012
33,1994-10-31,137000.0,134000.0
34,1994-11-30,139000.00000000012,137000.0
35,1994-12-31,140000.00000000023,139000.00000000012
36,1995-01-31,130000.00000000023,140000.00000000023
37,1995-02-28,137000.0,130000.00000000023
38,1995-03-31,136000.00000000012,137000.0
39,1995-04-30,140000.00000000023,136000.00000000012
40,1995-05-31,138000.00000000012,140000.00000000023
41,1995-06-30,130000.00000000023,138000.00000000012
42,1995-07-31,135000.00000000012,130000.00000000023
43,1995-08-31,130500.00000000012,135000.00000000012
44,1995-09-30,137000.0,130500.00000000012
45,1995-10-31,140000.00000000023,137000.0
46,1995-11-30,142500.0,140000.00000000023
47,1995-12-31,150000.00000000023,142500.0
48,1996-01-31,138000.00000000012,150000.00000000023
49,1996-02-29,140000.00000000023,138000.00000000012
50,1996-03-31,144000.0,140000.00000000023
51,1996-04-30,142000.00000000012,144000.0
52,1996-05-31,139000.00000000012,142000.00000000012
53,1996-06-30,136000.00000000012,139000.00000000012
54,1996-07-31,139000.00000000012,136000.00000000012
55,1996-08-31,133000.00000000023,139000.00000000012
56,1996-09-30,138000.00000000012,133000.00000000023
57,1996-10-31,144000.0,138000.00000000012
58,1996-11-30,155000.00000000012,144000.0
59,1996-12-31,143000.00000000023,155000.00000000012
60,1997-01-31,145000.00000000012,143000.00000000023
61,1997-02-28,145000.00000000012,145000.00000000012
62,1997-03-31,155000.00000000012,145000.00000000012
63,1997-04-30,150000.00000000023,155000.00000000012
64,1997-05-31,152000.00000000012,150000.00000000023
65,1997-06-30,150000.00000000023,152000.00000000012
66,1997-07-31,155500.00000000023,150000.00000000023
67,1997-08-31,151500.00000000023,155500.00000000023
68,1997-09-30,149000.00000000012,151500.00000000023
69,1997-10-31,165000.00000000012,149000.00000000012
70,1997-11-30,162000.00000000012,165000.00000000012
71,1997-12-31,160000.00000000023,162000.00000000012
72,1998-01-31,158000.00000000012,160000.00000000023
73,1998-02-28,165000.00000000012,158000.00000000012
74,1998-03-31,164000.00000000023,165000.00000000012
75,1998-04-30,160000.00000000023,164000.00000000023
76,1998-05-31,170000.00000000023,160000.00000000023
77,1998-06-30,160000.00000000023,170000.00000000023
78,1998-07-31,155000.00000000012,160000.00000000023
79,1998-08-31,162000.00000000012,155000.00000000012
80,1998-09-30,165000.00000000012,162000.00000000012
81,1998-10-31,164000.00000000023,165000.00000000012
82,1998-11-30,165000.00000000012,164000.00000000023
83,1998-12-31,175000.00000000012,165000.00000000012
84,1999-01-31,168000.00000000012,175000.00000000012
85,1999-02-28,175000.00000000012,168000.00000000012
86,1999-03-31,170000.00000000023,175000.00000000012
87,1999-04-30,174000.0,170000.00000000023
88,1999-05-31,170000.00000000023,174000.0
89,1999-06-30,175000.00000000012,170000.00000000023
90,1999-07-31,177000.00000000023,175000.00000000012
91,1999-08-31,170000.00000000023,177000.00000000023
92,1999-09-30,175000.00000000012,170000.00000000023
93,1999-10-31,179000.00000000012,175000.00000000012
94,1999-11-30,175000.00000000012,179000.00000000012
95,1999-12-31,185000.0000000001,175000.00000000012
96,2000-01-31,184700.00000000023,185000.0000000001
97,2000-02-29,185000.0000000001,184700.00000000023
98,2000-03-31,179000.00000000012,185000.0000000001
99,2000-04-30,190000.0000000001,179000.00000000012
100,2000-05-31,185000.0000000001,190000.0000000001
101,2000-06-30,190000.0000000001,185000.0000000001
102,2000-07-31,181500.0000000001,190000.0000000001
103,2000-08-31,187000.00000000023,181500.0000000001
104,2000-09-30,190000.0000000001,187000.00000000023
105,2000-10-31,190000.0000000001,190000.0000000001
106,2000-11-30,197000.00000000023,190000.0000000001
107,2000-12-31,190000.0000000001,197000.00000000023
108,2001-01-31,195000.0000000001,190000.0000000001
109,2001-02-28,188000.0,195000.0000000001
110,2001-03-31,190000.0000000001,188000.0
111,2001-04-30,194250.0000000001,190000.0000000001
112,2001-05-31,195000.0000000001,194250.0000000001
113,2001-06-30,195000.0000000001,195000.0000000001
114,2001-07-31,190000.0000000001,195000.0000000001
115,2001-08-31,200000.0000000001,190000.0000000001
116,2001-09-30,185000.0000000001,200000.0000000001
117,2001-10-31,195000.0000000001,185000.0000000001
118,2001-11-30,206500.00000000023,195000.0000000001
119,2001-12-31,196000.0000000001,206500.00000000023
120,2002-01-31,190000.0000000001,196000.0000000001
121,2002-02-28,200000.0000000001,190000.0000000001
122,2002-03-31,204500.0000000001,200000.0000000001
123,2002-04-30,213000.0000000001,204500.0000000001
124,2002-05-31,205000.0,213000.0000000001
125,2002-06-30,200000.0000000001,205000.0
126,2002-07-31,202500.0,200000.0000000001
127,2002-08-31,197250.0000000001,202500.0
128,2002-09-30,205000.0,197250.0000000001
129,2002-10-31,205000.0,205000.0
130,2002-11-30,225000.0,205000.0
131,2002-12-31,215000.0,225000.0
132,2003-01-31,210000.0000000001,215000.0
133,2003-02-28,215000.0,210000.0000000001
134,2003-03-31,225500.0000000001,215000.0
135,2003-04-30,225000.0,225500.0000000001
136,2003-05-31,235000.00000000023,225000.0
137,2003-06-30,220000.0000000001,235000.00000000023
138,2003-07-31,235000.00000000023,220000.0000000001
139,2003-08-31,225000.0,235000.00000000023
140,2003-09-30,237000.0000000001,225000.0
141,2003-10-31,255000.00000000023,237000.0000000001
142,2003-11-30,262000.0,255000.00000000023
143,2003-12-31,240000.0000000001,262000.0
144,2004-01-31,260000.0000000001,240000.0000000001
145,2004-02-29,255000.00000000023,260000.0000000001
146,2004-03-31,262000.0,255000.00000000023
147,2004-04-30,273000.0000000001,262000.0
148,2004-05-31,261500.0000000001,273000.0000000001
149,2004-06-30,262004.0,261500.0000000001
150,2004-07-31,265000.0,262004.0
151,2004-08-31,263000.0000000001,265000.0
152,2004-09-30,270100.0000000001,263000.0000000001
153,2004-10-31,280000.0000000001,270100.0000000001
154,2004-11-30,280000.0000000001,280000.0000000001
155,2004-12-31,275000.00000000023,280000.0000000001
156,2005-01-31,275000.00000000023,275000.00000000023
157,2005-02-28,275500.0000000001,275000.00000000023
158,2005-03-31,289500.0000000001,275500.0000000001
159,2005-04-30,273500.0,289500.0000000001
160,2005-05-31,283500.00000000023,273500.0
161,2005-06-30,300000.0000000001,283500.00000000023
162,2005-07-31,300000.0000000001,300000.0000000001
163,2005-08-31,300000.0000000001,300000.0000000001
164,2005-09-30,300000.0000000001,300000.0000000001
165,2005-10-31,305000.0000000001,300000.0000000001
166,2005-11-30,315000.0000000001,305000.0000000001
167,2005-12-31,316000.0,315000.0000000001
168,2006-01-31,313000.0,316000.0
169,2006-02-28,305500.0000000001,313000.0
170,2006-03-31,320000.0000000001,305500.0000000001
171,2006-04-30,332000.0000000001,320000.0000000001
172,2006-05-31,315000.0000000001,332000.0000000001
173,2006-06-30,327000.0000000001,315000.0000000001
