,date,West_Coast,lagged
0,1992-01-31,70000.0,
1,1992-02-29,55000.00000000006,70000.0
2,1992-03-31,63499.99999999994,55000.00000000006
3,1992-04-30,63999.99999999994,63499.99999999994
4,1992-05-31,73000.0,63999.99999999994
5,1992-06-30,70000.0,73000.0
6,1992-07-31,71999.99999999994,70000.0
7,1992-08-31,66000.0,71999.99999999994
8,1992-09-30,66500.0,66000.0
9,1992-10-31,58000.0,66500.0
10,1992-11-30,51999.99999999994,58000.0
11,1992-12-31,66999.99999999994,51999.99999999994
12,1993-01-31,59999.99999999994,66999.99999999994
13,1993-02-28,66500.0,59999.99999999994
14,1993-03-31,71500.0,66500.0
15,1993-04-30,70000.0,71500.0
16,1993-05-31,66999.99999999994,70000.0
17,1993-06-30,68499.99999999994,66999.99999999994
18,1993-07-31,71999.99999999994,68499.99999999994
19,1993-08-31,66999.99999999994,71999.99999999994
20,1993-09-30,63000.0,66999.99999999994
21,1993-10-31,70000.0,63000.0
22,1993-11-30,78999.99999999994,70000.0
23,1993-12-31,73000.0,78999.99999999994
24,1994-01-31,78000.0,73000.0
25,1994-02-28,71000.0,78000.0
26,1994-03-31,70000.0,71000.0
27,1994-04-30,78000.0,70000.0
28,1994-05-31,75000.0,78000.0
29,1994-06-30,68999.99999999994,75000.0
30,1994-07-31,68000.0,68999.99999999994
31,1994-08-31,78999.99999999994,68000.0
32,1994-09-30,75000.0,78999.99999999994
33,1994-10-31,72500.0,75000.0
34,1994-11-30,92000.0,72500.0
35,1994-12-31,76000.0,92000.0
36,1995-01-31,76000.0,76000.0
37,1995-02-28,73000.0,76000.0
38,1995-03-31,68000.0,73000.0
39,1995-04-30,90000.0,68000.0
40,1995-05-31,84500.0,90000.0
41,1995-06-30,85000.0,84500.0
42,1995-07-31,70000.0,85000.0
43,1995-08-31,85000.0,70000.0
44,1995-09-30,76000.0,85000.0
45,1995-10-31,75000.0,76000.0
46,1995-11-30,76999.99999999994,75000.0
47,1995-12-31,65000.0,76999.99999999994
48,1996-01-31,68999.99999999994,65000.0
49,1996-02-29,82499.99999999994,68999.99999999994
50,1996-03-31,97000.0,82499.99999999994
51,1996-04-30,72500.0,97000.0
52,1996-05-31,78999.99999999994,72500.0
53,1996-06-30,87499.99999999994,78999.99999999994
54,1996-07-31,90000.0,87499.99999999994
55,1996-08-31,75000.0,90000.0
56,1996-09-30,65000.0,75000.0
57,1996-10-31,73000.0,65000.0
58,1996-11-30,76500.0,73000.0
59,1996-12-31,80000.0,76500.0
60,1997-01-31,78000.0,80000.0
61,1997-02-28,68000.0,78000.0
62,1997-03-31,80000.0,68000.0
63,1997-04-30,83000.0,80000.0
64,1997-05-31,80000.0,83000.0
65,1997-06-30,120000.0,80000.0
66,1997-07-31,86000.0,120000.0
67,1997-08-31,59999.99999999994,86000.0
68,1997-09-30,90000.0,59999.99999999994
69,1997-10-31,76000.0,90000.0
70,1997-11-30,80000.0,76000.0
71,1997-12-31,88000.0,80000.0
72,1998-01-31,85000.0,88000.0
73,1998-02-28,56999.99999999994,85000.0
74,1998-03-31,88999.99999999994,56999.99999999994
75,1998-04-30,86000.0,88999.99999999994
76,1998-05-31,95000.0,86000.0
