Date,Price,Region,Month,Season,Spring,Summer,Winter,Year,Months_Since_2000
2018-01-01,500529,Canterbury,1,Summer,False,True,False,2018,217
2018-01-08,500869,Canterbury,1,Summer,False,True,False,2018,217
2018-01-15,500794,Canterbury,1,Summer,False,True,False,2018,217
2018-01-22,500910,Canterbury,1,Summer,False,True,False,2018,217
2018-01-29,500729,Canterbury,1,Summer,False,True,False,2018,217
2018-02-05,500564,Canterbury,2,Summer,False,True,False,2018,218
2018-02-12,500729,Canterbury,2,Summer,False,True,False,2018,218
2018-02-19,500682,Canterbury,2,Summer,False,True,False,2018,218
2018-02-26,500853,Canterbury,2,Summer,False,True,False,2018,218
2018-03-05,501638,Canterbury,3,Autumn,False,False,False,2018,219
2018-03-12,502093,Canterbury,3,Autumn,False,False,False,2018,219
2018-03-19,502100,Canterbury,3,Autumn,False,False,False,2018,219
2018-03-26,502113,Canterbury,3,Autumn,False,False,False,2018,219
2018-04-02,502839,Canterbury,4,Autumn,False,False,False,2018,220
2018-04-09,502524,Canterbury,4,Autumn,False,False,False,2018,220
2018-04-16,502555,Canterbury,4,Autumn,False,False,False,2018,220
2018-04-23,502428,Canterbury,4,Autumn,False,False,False,2018,220
2018-04-30,502628,Canterbury,4,Autumn,False,False,False,2018,220
2018-05-07,503312,Canterbury,5,Autumn,False,False,False,2018,221
2018-05-14,503384,Canterbury,5,Autumn,False,False,False,2018,221
2018-05-21,503369,Canterbury,5,Autumn,False,False,False,2018,221
2018-05-28,503377,Canterbury,5,Autumn,False,False,False,2018,221
2018-06-04,503466,Canterbury,6,Winter,False,False,True,2018,222
2018-06-11,503344,Canterbury,6,Winter,False,False,True,2018,222
2018-06-18,503770,Canterbury,6,Winter,False,False,True,2018,222
2018-06-25,503903,Canterbury,6,Winter,False,False,True,2018,222
2018-07-02,503330,Canterbury,7,Winter,False,False,True,2018,223
2018-07-09,503554,Canterbury,7,Winter,False,False,True,2018,223
2018-07-16,503651,Canterbury,7,Winter,False,False,True,2018,223
2018-07-23,503748,Canterbury,7,Winter,False,False,True,2018,223
2018-07-30,503942,Canterbury,7,Winter,False,False,True,2018,223
2018-08-06,503627,Canterbury,8,Winter,False,False,True,2018,224
2018-08-13,503731,Canterbury,8,Winter,False,False,True,2018,224
2018-08-20,503763,Canterbury,8,Winter,False,False,True,2018,224
2018-08-27,503725,Canterbury,8,Winter,False,False,True,2018,224
2018-09-03,504128,Canterbury,9,Spring,True,False,False,2018,225
2018-09-10,503998,Canterbury,9,Spring,True,False,False,2018,225
2018-09-17,503844,Canterbury,9,Spring,True,False,False,2018,225
2018-09-24,503578,Canterbury,9,Spring,True,False,False,2018,225
2018-10-01,503490,Canterbury,10,Spring,True,False,False,2018,226
2018-10-08,503434,Canterbury,10,Spring,True,False,False,2018,226
2018-10-15,503788,Canterbury,10,Spring,True,False,False,2018,226
2018-10-22,504121,Canterbury,10,Spring,True,False,False,2018,226
2018-10-29,503999,Canterbury,10,Spring,True,False,False,2018,226
2018-11-05,504662,Canterbury,11,Spring,True,False,False,2018,227
2018-11-12,504587,Canterbury,11,Spring,True,False,False,2018,227
2018-11-19,504039,Canterbury,11,Spring,True,False,False,2018,227
2018-11-26,504248,Canterbury,11,Spring,True,False,False,2018,227
2018-12-03,504793,Canterbury,12,Summer,False,True,False,2018,228
2018-12-10,504851,Canterbury,12,Summer,False,True,False,2018,228
2018-12-17,505047,Canterbury,12,Summer,False,True,False,2018,228
2018-12-24,504952,Canterbury,12,Summer,False,True,False,2018,228
2018-12-31,504946,Canterbury,12,Summer,False,True,False,2018,228
2019-01-07,505168,Canterbury,1,Summer,False,True,False,2019,229
2019-01-14,505076,Canterbury,1,Summer,False,True,False,2019,229
2019-01-21,505276,Canterbury,1,Summer,False,True,False,2019,229
2019-01-28,505285,Canterbury,1,Summer,False,True,False,2019,229
2019-02-04,505375,Canterbury,2,Summer,False,True,False,2019,230
2019-02-11,505527,Canterbury,2,Summer,False,True,False,2019,230
2019-02-18,505881,Canterbury,2,Summer,False,True,False,2019,230
2019-02-25,505938,Canterbury,2,Summer,False,True,False,2019,230
2019-03-04,506633,Canterbury,3,Autumn,False,False,False,2019,231
2019-03-11,507038,Canterbury,3,Autumn,False,False,False,2019,231
2019-03-18,507156,Canterbury,3,Autumn,False,False,False,2019,231
2019-03-25,507430,Canterbury,3,Autumn,False,False,False,2019,231
2019-04-01,507305,Canterbury,4,Autumn,False,False,False,2019,232
2019-04-08,508534,Canterbury,4,Autumn,False,False,False,2019,232
2019-04-15,508946,Canterbury,4,Autumn,False,False,False,2019,232
2019-04-22,509161,Canterbury,4,Autumn,False,False,False,2019,232
2019-04-29,509254,Canterbury,4,Autumn,False,False,False,2019,232
2019-05-06,510282,Canterbury,5,Autumn,False,False,False,2019,233
2019-05-13,510806,Canterbury,5,Autumn,False,False,False,2019,233
2019-05-20,510670,Canterbury,5,Autumn,False,False,False,2019,233
2019-05-27,510300,Canterbury,5,Autumn,False,False,False,2019,233
2019-06-03,510833,Canterbury,6,Winter,False,False,True,2019,234
2019-06-10,510882,Canterbury,6,Winter,False,False,True,2019,234
2019-06-17,511135,Canterbury,6,Winter,False,False,True,2019,234
2019-06-24,511399,Canterbury,6,Winter,False,False,True,2019,234
2019-07-01,511150,Canterbury,7,Winter,False,False,True,2019,235
2019-07-08,508121,Canterbury,7,Winter,False,False,True,2019,235
2019-07-15,506862,Canterbury,7,Winter,False,False,True,2019,235
2019-07-22,506800,Canterbury,7,Winter,False,False,True,2019,235
2019-07-29,507870,Canterbury,7,Winter,False,False,True,2019,235
2019-08-05,508646,Canterbury,8,Winter,False,False,True,2019,236
2019-08-12,509817,Canterbury,8,Winter,False,False,True,2019,236
2019-08-19,510309,Canterbury,8,Winter,False,False,True,2019,236
2019-08-26,511016,Canterbury,8,Winter,False,False,True,2019,236
2019-09-02,512010,Canterbury,9,Spring,True,False,False,2019,237
2019-09-09,511387,Canterbury,9,Spring,True,False,False,2019,237
2019-09-16,511218,Canterbury,9,Spring,True,False,False,2019,237
2019-09-23,512274,Canterbury,9,Spring,True,False,False,2019,237
2019-09-30,512900,Canterbury,9,Spring,True,False,False,2019,237
2019-10-07,513976,Canterbury,10,Spring,True,False,False,2019,238
2019-10-14,515427,Canterbury,10,Spring,True,False,False,2019,238
2019-10-21,517290,Canterbury,10,Spring,True,False,False,2019,238
2019-10-28,517925,Canterbury,10,Spring,True,False,False,2019,238
2019-11-04,518267,Canterbury,11,Spring,True,False,False,2019,239
2019-11-11,518889,Canterbury,11,Spring,True,False,False,2019,239
2019-11-18,520544,Canterbury,11,Spring,True,False,False,2019,239
2019-11-25,520734,Canterbury,11,Spring,True,False,False,2019,239
2019-12-02,520370,Canterbury,12,Summer,False,True,False,2019,240
2019-12-09,520988,Canterbury,12,Summer,False,True,False,2019,240
2019-12-16,520959,Canterbury,12,Summer,False,True,False,2019,240
2019-12-23,520012,Canterbury,12,Summer,False,True,False,2019,240
2019-12-30,520492,Canterbury,12,Summer,False,True,False,2019,240
2020-01-06,521410,Canterbury,1,Summer,False,True,False,2020,241
2020-01-13,522737,Canterbury,1,Summer,False,True,False,2020,241
2020-01-20,524011,Canterbury,1,Summer,False,True,False,2020,241
2020-01-27,525472,Canterbury,1,Summer,False,True,False,2020,241
2020-02-03,528136,Canterbury,2,Summer,False,True,False,2020,242
2020-02-10,529203,Canterbury,2,Summer,False,True,False,2020,242
2020-02-17,529332,Canterbury,2,Summer,False,True,False,2020,242
2020-02-24,529613,Canterbury,2,Summer,False,True,False,2020,242
2020-03-02,529863,Canterbury,3,Autumn,False,False,False,2020,243
2020-03-09,530514,Canterbury,3,Autumn,False,False,False,2020,243
2020-03-16,530878,Canterbury,3,Autumn,False,False,False,2020,243
2020-03-23,532200,Canterbury,3,Autumn,False,False,False,2020,243
2020-03-30,531989,Canterbury,3,Autumn,False,False,False,2020,243
2020-04-06,529201,Canterbury,4,Autumn,False,False,False,2020,244
2020-04-13,528919,Canterbury,4,Autumn,False,False,False,2020,244
2020-04-20,528895,Canterbury,4,Autumn,False,False,False,2020,244
2020-04-27,527866,Canterbury,4,Autumn,False,False,False,2020,244
2020-05-04,526039,Canterbury,5,Autumn,False,False,False,2020,245
2020-05-11,525472,Canterbury,5,Autumn,False,False,False,2020,245
2020-05-18,524587,Canterbury,5,Autumn,False,False,False,2020,245
2020-05-25,525236,Canterbury,5,Autumn,False,False,False,2020,245
2020-06-01,526680,Canterbury,6,Winter,False,False,True,2020,246
2020-06-08,526597,Canterbury,6,Winter,False,False,True,2020,246
2020-06-15,526614,Canterbury,6,Winter,False,False,True,2020,246
2020-06-22,526497,Canterbury,6,Winter,False,False,True,2020,246
2020-06-29,527013,Canterbury,6,Winter,False,False,True,2020,246
2020-07-06,527984,Canterbury,7,Winter,False,False,True,2020,247
2020-07-13,529428,Canterbury,7,Winter,False,False,True,2020,247
2020-07-20,530014,Canterbury,7,Winter,False,False,True,2020,247
2020-07-27,531026,Canterbury,7,Winter,False,False,True,2020,247
2020-08-03,531787,Canterbury,8,Winter,False,False,True,2020,248
2020-08-10,532618,Canterbury,8,Winter,False,False,True,2020,248
2020-08-17,538960,Canterbury,8,Winter,False,False,True,2020,248
2020-08-24,539795,Canterbury,8,Winter,False,False,True,2020,248
2020-08-31,541601,Canterbury,8,Winter,False,False,True,2020,248
2020-09-07,543513,Canterbury,9,Spring,True,False,False,2020,249
2020-09-14,545202,Canterbury,9,Spring,True,False,False,2020,249
2020-09-21,547058,Canterbury,9,Spring,True,False,False,2020,249
2020-09-28,549090,Canterbury,9,Spring,True,False,False,2020,249
2020-10-05,551342,Canterbury,10,Spring,True,False,False,2020,250
2020-10-12,553097,Canterbury,10,Spring,True,False,False,2020,250
2020-10-19,554895,Canterbury,10,Spring,True,False,False,2020,250
2020-10-26,557337,Canterbury,10,Spring,True,False,False,2020,250
2020-11-02,560186,Canterbury,11,Spring,True,False,False,2020,251
2020-11-09,562737,Canterbury,11,Spring,True,False,False,2020,251
2020-11-16,564627,Canterbury,11,Spring,True,False,False,2020,251
2020-11-23,566939,Canterbury,11,Spring,True,False,False,2020,251
2020-11-30,569480,Canterbury,11,Spring,True,False,False,2020,251
2020-12-07,571389,Canterbury,12,Summer,False,True,False,2020,252
2020-12-14,573839,Canterbury,12,Summer,False,True,False,2020,252
2020-12-21,576241,Canterbury,12,Summer,False,True,False,2020,252
2020-12-28,577627,Canterbury,12,Summer,False,True,False,2020,252
2021-01-04,579584,Canterbury,1,Summer,False,True,False,2021,253
2021-01-11,581842,Canterbury,1,Summer,False,True,False,2021,253
2021-01-18,584168,Canterbury,1,Summer,False,True,False,2021,253
2021-01-25,586460,Canterbury,1,Summer,False,True,False,2021,253
2021-02-01,588890,Canterbury,2,Summer,False,True,False,2021,254
2021-02-08,592145,Canterbury,2,Summer,False,True,False,2021,254
2021-02-15,595918,Canterbury,2,Summer,False,True,False,2021,254
2021-02-22,599263,Canterbury,2,Summer,False,True,False,2021,254
2021-03-01,603012,Canterbury,3,Autumn,False,False,False,2021,255
2021-03-08,606554,Canterbury,3,Autumn,False,False,False,2021,255
2021-03-15,610679,Canterbury,3,Autumn,False,False,False,2021,255
2021-03-22,614885,Canterbury,3,Autumn,False,False,False,2021,255
2021-03-29,619338,Canterbury,3,Autumn,False,False,False,2021,255
2021-04-05,622671,Canterbury,4,Autumn,False,False,False,2021,256
2021-04-12,626256,Canterbury,4,Autumn,False,False,False,2021,256
2021-04-19,629325,Canterbury,4,Autumn,False,False,False,2021,256
2021-04-26,632625,Canterbury,4,Autumn,False,False,False,2021,256
2021-05-03,636006,Canterbury,5,Autumn,False,False,False,2021,257
2021-05-10,638710,Canterbury,5,Autumn,False,False,False,2021,257
2021-05-17,641857,Canterbury,5,Autumn,False,False,False,2021,257
2021-05-24,645003,Canterbury,5,Autumn,False,False,False,2021,257
2021-05-31,648434,Canterbury,5,Autumn,False,False,False,2021,257
2021-06-07,651418,Canterbury,6,Winter,False,False,True,2021,258
2021-06-14,654375,Canterbury,6,Winter,False,False,True,2021,258
2021-06-21,656410,Canterbury,6,Winter,False,False,True,2021,258
2021-06-28,657458,Canterbury,6,Winter,False,False,True,2021,258
2021-07-05,660813,Canterbury,7,Winter,False,False,True,2021,259
2021-07-12,664287,Canterbury,7,Winter,False,False,True,2021,259
2021-07-19,668400,Canterbury,7,Winter,False,False,True,2021,259
2021-07-26,672647,Canterbury,7,Winter,False,False,True,2021,259
2021-08-02,676670,Canterbury,8,Winter,False,False,True,2021,260
2021-08-09,680299,Canterbury,8,Winter,False,False,True,2021,260
2021-08-16,684127,Canterbury,8,Winter,False,False,True,2021,260
2021-08-23,688147,Canterbury,8,Winter,False,False,True,2021,260
2021-08-30,692784,Canterbury,8,Winter,False,False,True,2021,260
2021-09-06,697751,Canterbury,9,Spring,True,False,False,2021,261
2021-09-13,703126,Canterbury,9,Spring,True,False,False,2021,261
2021-09-20,708949,Canterbury,9,Spring,True,False,False,2021,261
2021-09-27,714550,Canterbury,9,Spring,True,False,False,2021,261
2021-10-04,719370,Canterbury,10,Spring,True,False,False,2021,262
2021-10-11,724785,Canterbury,10,Spring,True,False,False,2021,262
2021-10-18,730561,Canterbury,10,Spring,True,False,False,2021,262
2021-10-25,733146,Canterbury,10,Spring,True,False,False,2021,262
2021-11-01,737635,Canterbury,11,Spring,True,False,False,2021,263
2021-11-08,743042,Canterbury,11,Spring,True,False,False,2021,263
2021-11-15,747702,Canterbury,11,Spring,True,False,False,2021,263
2021-11-22,752839,Canterbury,11,Spring,True,False,False,2021,263
2021-11-29,757762,Canterbury,11,Spring,True,False,False,2021,263
2021-12-06,762353,Canterbury,12,Summer,False,True,False,2021,264
2021-12-13,766346,Canterbury,12,Summer,False,True,False,2021,264
2021-12-20,765631,Canterbury,12,Summer,False,True,False,2021,264
2021-12-27,766039,Canterbury,12,Summer,False,True,False,2021,264
2022-01-03,767785,Canterbury,1,Summer,False,True,False,2022,265
2022-01-10,769285,Canterbury,1,Summer,False,True,False,2022,265
2022-01-17,770782,Canterbury,1,Summer,False,True,False,2022,265
2022-01-24,773392,Canterbury,1,Summer,False,True,False,2022,265
2022-01-31,774756,Canterbury,1,Summer,False,True,False,2022,265
2022-02-07,777040,Canterbury,2,Summer,False,True,False,2022,266
2022-02-14,779314,Canterbury,2,Summer,False,True,False,2022,266
2022-02-21,780047,Canterbury,2,Summer,False,True,False,2022,266
2022-02-28,780326,Canterbury,2,Summer,False,True,False,2022,266
2022-03-07,777636,Canterbury,3,Autumn,False,False,False,2022,267
2022-03-14,776708,Canterbury,3,Autumn,False,False,False,2022,267
2022-03-21,779108,Canterbury,3,Autumn,False,False,False,2022,267
2022-03-28,783067,Canterbury,3,Autumn,False,False,False,2022,267
2022-04-04,786980,Canterbury,4,Autumn,False,False,False,2022,268
2022-04-11,790680,Canterbury,4,Autumn,False,False,False,2022,268
2022-04-18,793212,Canterbury,4,Autumn,False,False,False,2022,268
2022-04-25,794564,Canterbury,4,Autumn,False,False,False,2022,268
2022-05-02,795053,Canterbury,5,Autumn,False,False,False,2022,269
2022-05-09,795622,Canterbury,5,Autumn,False,False,False,2022,269
2022-05-16,796001,Canterbury,5,Autumn,False,False,False,2022,269
2022-05-23,796625,Canterbury,5,Autumn,False,False,False,2022,269
2022-05-30,797184,Canterbury,5,Autumn,False,False,False,2022,269
2022-06-06,798490,Canterbury,6,Winter,False,False,True,2022,270
2022-06-13,794458,Canterbury,6,Winter,False,False,True,2022,270
2022-06-20,791610,Canterbury,6,Winter,False,False,True,2022,270
2022-06-27,790128,Canterbury,6,Winter,False,False,True,2022,270
2022-07-04,789644,Canterbury,7,Winter,False,False,True,2022,271
2022-07-11,789344,Canterbury,7,Winter,False,False,True,2022,271
2022-07-18,789398,Canterbury,7,Winter,False,False,True,2022,271
2022-07-25,787514,Canterbury,7,Winter,False,False,True,2022,271
2022-08-01,786618,Canterbury,8,Winter,False,False,True,2022,272
2022-08-08,785771,Canterbury,8,Winter,False,False,True,2022,272
2022-08-15,782480,Canterbury,8,Winter,False,False,True,2022,272
2022-08-22,780413,Canterbury,8,Winter,False,False,True,2022,272
2022-08-29,777860,Canterbury,8,Winter,False,False,True,2022,272
2022-09-05,777297,Canterbury,9,Spring,True,False,False,2022,273
2022-09-12,774138,Canterbury,9,Spring,True,False,False,2022,273
2022-09-19,773326,Canterbury,9,Spring,True,False,False,2022,273
2022-09-26,771656,Canterbury,9,Spring,True,False,False,2022,273
2022-10-03,781746,Canterbury,10,Spring,True,False,False,2022,274
2022-10-10,782092,Canterbury,10,Spring,True,False,False,2022,274
2022-10-17,780343,Canterbury,10,Spring,True,False,False,2022,274
2022-10-24,778633,Canterbury,10,Spring,True,False,False,2022,274
2022-10-31,777227,Canterbury,10,Spring,True,False,False,2022,274
2022-11-07,775387,Canterbury,11,Spring,True,False,False,2022,275
2022-11-14,773731,Canterbury,11,Spring,True,False,False,2022,275
2022-11-21,772405,Canterbury,11,Spring,True,False,False,2022,275
2022-11-28,759070,Canterbury,11,Spring,True,False,False,2022,275
2022-12-05,757698,Canterbury,12,Summer,False,True,False,2022,276
2022-12-12,757324,Canterbury,12,Summer,False,True,False,2022,276
