date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,135000.0,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,142000.0,135000.0,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,135000.0,142000.0,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,135000.0,135000.0,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,135000.0,135000.0,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,137000.0,135000.0,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,137999.99999999977,137000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,136000.0,137999.99999999977,8,Winter,False,True,False,False,1992,7,0,135000.0,136714.28571428568,
1992-09-30,140000.0,136000.0,9,Spring,False,False,True,False,1992,8,2,142000.0,136857.1428571428,
1992-10-31,137500.0,140000.0,10,Spring,False,False,True,False,1992,9,5,135000.0,136571.42857142855,
1992-11-30,140499.99999999977,137500.0,11,Spring,False,False,True,False,1992,10,0,135000.0,136928.5714285714,
1992-12-31,145000.0,140499.99999999977,12,Summer,True,False,False,False,1992,11,3,135000.0,137714.28571428565,
1993-01-31,140000.0,145000.0,1,Summer,True,False,False,False,1993,12,6,137000.0,139142.85714285707,
1993-02-28,140000.0,140000.0,2,Summer,True,False,False,False,1993,13,6,137999.99999999977,139571.4285714285,
1993-03-31,138999.99999999977,140000.0,3,Autumn,False,False,False,True,1993,14,2,136000.0,139857.1428571428,
1993-04-30,147000.0,138999.99999999977,4,Autumn,False,False,False,True,1993,15,4,140000.0,140285.71428571423,
1993-05-31,142000.0,147000.0,5,Autumn,False,False,False,True,1993,16,0,137500.0,141285.71428571423,
1993-06-30,142999.99999999977,142000.0,6,Winter,False,True,False,False,1993,17,2,140499.99999999977,141928.57142857136,
1993-07-31,140000.0,142999.99999999977,7,Winter,False,True,False,False,1993,18,5,145000.0,142285.71428571423,
1993-08-31,144499.99999999977,140000.0,8,Winter,False,True,False,False,1993,19,1,140000.0,141571.4285714285,
1993-09-30,145000.0,144499.99999999977,9,Spring,False,False,True,False,1993,20,3,140000.0,142214.28571428562,
1993-10-31,148000.0,145000.0,10,Spring,False,False,True,False,1993,21,6,138999.99999999977,142928.57142857133,
1993-11-30,150000.0,148000.0,11,Spring,False,False,True,False,1993,22,1,147000.0,144214.28571428565,
1993-12-31,159999.99999999977,150000.0,12,Summer,True,False,False,False,1993,23,4,142000.0,144642.85714285707,
1994-01-31,153999.99999999977,159999.99999999977,1,Summer,True,False,False,False,1994,24,0,142999.99999999977,147214.28571428562,
1994-02-28,154999.99999999977,153999.99999999977,2,Summer,True,False,False,False,1994,25,0,140000.0,148785.71428571417,
1994-03-31,159000.0,154999.99999999977,3,Autumn,False,False,False,True,1994,26,3,144499.99999999977,150928.5714285713,
1994-04-30,162000.0,159000.0,4,Autumn,False,False,False,True,1994,27,5,145000.0,152999.9999999999,
1994-05-31,165000.0,162000.0,5,Autumn,False,False,False,True,1994,28,1,148000.0,155428.57142857133,
1994-06-30,170000.0,165000.0,6,Winter,False,True,False,False,1994,29,3,150000.0,157857.14285714275,
1994-07-31,171999.99999999977,170000.0,7,Winter,False,True,False,False,1994,30,6,159999.99999999977,160714.28571428562,145316.6666666666
1994-08-31,177000.0,171999.99999999977,8,Winter,False,True,False,False,1994,31,2,153999.99999999977,162428.57142857133,146549.99999999994
1994-09-30,171999.99999999977,177000.0,9,Spring,False,False,True,False,1994,32,4,154999.99999999977,165714.28571428565,147716.6666666666
1994-10-31,179000.0,171999.99999999977,10,Spring,False,False,True,False,1994,33,0,159000.0,168142.85714285707,148949.99999999994
1994-11-30,180000.0,179000.0,11,Spring,False,False,True,False,1994,34,2,162000.0,170999.99999999994,150416.6666666666
1994-12-31,180000.0,180000.0,12,Summer,True,False,False,False,1994,35,5,165000.0,173571.4285714285,151916.6666666666
1995-01-31,173999.99999999977,180000.0,1,Summer,True,False,False,False,1995,36,1,170000.0,175714.28571428565,153349.99999999994
1995-02-28,180000.0,173999.99999999977,2,Summer,True,False,False,False,1995,37,1,171999.99999999977,176285.71428571417,154549.9999999999
1995-03-31,179000.0,180000.0,3,Autumn,False,False,False,True,1995,38,4,177000.0,177428.57142857136,156016.66666666657
1995-04-30,180000.0,179000.0,4,Autumn,False,False,False,True,1995,39,6,171999.99999999977,177714.28571428565,157316.66666666657
1995-05-31,180000.0,180000.0,5,Autumn,False,False,False,True,1995,40,2,179000.0,178857.1428571428,158733.33333333323
1995-06-30,180000.0,180000.0,6,Winter,False,True,False,False,1995,41,4,180000.0,178999.99999999997,160049.99999999994
1995-07-31,184999.99999999977,180000.0,7,Winter,False,True,False,False,1995,42,0,180000.0,178999.99999999997,161216.6666666666
1995-08-31,192950.0,184999.99999999977,8,Winter,False,True,False,False,1995,43,3,173999.99999999977,179714.28571428565,162716.6666666666
1995-09-30,194000.0,192950.0,9,Spring,False,False,True,False,1995,44,5,180000.0,182421.42857142855,164481.6666666666
1995-10-31,198000.0,194000.0,10,Spring,False,False,True,False,1995,45,1,179000.0,184421.42857142855,166314.99999999994
1995-11-30,205000.0,198000.0,11,Spring,False,False,True,False,1995,46,3,180000.0,187135.71428571426,168014.99999999994
1995-12-31,210000.0,205000.0,12,Summer,True,False,False,False,1995,47,6,180000.0,190707.1428571428,170114.99999999994
1996-01-31,204500.0,210000.0,1,Summer,True,False,False,False,1996,48,2,180000.0,194992.8571428571,172348.33333333328
1996-02-29,222000.0,204500.0,2,Summer,True,False,False,False,1996,49,3,184999.99999999977,198492.8571428571,174498.33333333328
1996-03-31,229999.99999999977,222000.0,3,Autumn,False,False,False,True,1996,50,6,192950.0,203778.57142857142,177081.6666666666
1996-04-30,229999.99999999977,229999.99999999977,4,Autumn,False,False,False,True,1996,51,1,194000.0,209071.42857142855,179914.99999999994
1996-05-31,229999.99999999977,229999.99999999977,5,Autumn,False,False,False,True,1996,52,4,198000.0,214214.28571428565,182648.33333333328
1996-06-30,224999.99999999977,229999.99999999977,6,Winter,False,True,False,False,1996,53,6,205000.0,218785.71428571417,185314.9999999999
1996-07-31,224000.0,224999.99999999977,7,Winter,False,True,False,False,1996,54,2,210000.0,221642.857142857,187481.6666666666
1996-08-31,224999.99999999977,224000.0,8,Winter,False,True,False,False,1996,55,5,204500.0,223642.857142857,189814.99999999994
