date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,112908.46681922195,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,112908.46681922195,112908.46681922195,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,103000.0,112908.46681922195,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,110926.77345537744,103000.0,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,107954.23340961093,110926.77345537744,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,103000.0,107954.23340961093,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,113899.31350114418,103000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,112908.46681922195,113899.31350114418,8,Winter,False,True,False,False,1992,7,0,112908.46681922195,109228.17914351092,
1992-09-30,103000.0,112908.46681922195,9,Spring,False,False,True,False,1992,8,2,112908.46681922195,109228.17914351092,
1992-10-31,115385.58352402748,103000.0,10,Spring,False,False,True,False,1992,9,5,103000.0,107812.68388362207,
1992-11-30,115881.00686498848,115385.58352402748,11,Spring,False,False,True,False,1992,10,0,110926.77345537744,109582.05295848314,
1992-12-31,112908.46681922195,115881.00686498848,12,Summer,True,False,False,False,1992,11,3,107954.23340961093,110289.80058842758,
1993-01-31,117862.700228833,112908.46681922195,1,Summer,True,False,False,False,1993,12,6,103000.0,110997.548218372,
1993-02-28,115881.00686498848,117862.700228833,2,Summer,True,False,False,False,1993,13,6,113899.31350114418,113120.79110820529,
1993-03-31,115633.29519450804,115881.00686498848,3,Autumn,False,False,False,True,1993,14,2,112908.46681922195,113403.89016018304,
1993-04-30,107954.23340961093,115633.29519450804,4,Autumn,False,False,False,True,1993,15,4,103000.0,113793.15135665248,
1993-05-31,111422.19679633876,107954.23340961093,5,Autumn,False,False,False,True,1993,16,0,115385.58352402748,114500.89898659689,
1993-06-30,108945.08009153312,111422.19679633876,6,Winter,False,True,False,False,1993,17,2,115881.00686498848,113934.70088264137,
1993-07-31,117367.2768878718,108945.08009153312,7,Winter,False,True,False,False,1993,18,5,112908.46681922195,112943.85420071917,
1993-08-31,117862.700228833,117367.2768878718,8,Winter,False,True,False,False,1993,19,1,117862.700228833,113580.82706766916,
1993-09-30,119844.39359267744,117862.700228833,9,Spring,False,False,True,False,1993,20,3,115881.00686498848,113580.82706766916,
1993-10-31,120835.24027459964,119844.39359267744,10,Spring,False,False,True,False,1993,21,6,115633.29519450804,114147.02517162473,
1993-11-30,126284.89702517157,120835.24027459964,11,Spring,False,False,True,False,1993,22,1,107954.23340961093,114890.16018306639,
1993-12-31,119844.39359267744,126284.89702517157,12,Summer,True,False,False,False,1993,23,4,111422.19679633876,117508.82641386076,
1994-01-31,126780.32036613276,119844.39359267744,1,Summer,True,False,False,False,1994,24,0,108945.08009153312,118711.99738476628,
1994-02-28,122816.93363844394,126780.32036613276,2,Summer,True,False,False,False,1994,25,0,117367.2768878718,121259.88885256623,
1994-03-31,123312.35697940493,122816.93363844394,3,Autumn,False,False,False,True,1994,26,3,117862.700228833,122038.4112455051,
