date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,102000.0,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,104999.99999999988,102000.0,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,104999.99999999988,104999.99999999988,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,102000.0,104999.99999999988,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,104999.99999999988,102000.0,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,104999.99999999988,104999.99999999988,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,104999.99999999988,104999.99999999988,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,104499.99999999988,104999.99999999988,8,Winter,False,True,False,False,1992,7,0,102000.0,104142.85714285706,
1992-09-30,104000.0,104499.99999999988,9,Spring,False,False,True,False,1992,8,2,104999.99999999988,104499.9999999999,
1992-10-31,111000.0,104000.0,10,Spring,False,False,True,False,1992,9,5,104999.99999999988,104357.14285714277,
1992-11-30,105999.99999999988,111000.0,11,Spring,False,False,True,False,1992,10,0,102000.0,105214.28571428565,
1992-12-31,111000.0,105999.99999999988,12,Summer,True,False,False,False,1992,11,3,104999.99999999988,105785.7142857142,
1993-01-31,108000.0,111000.0,1,Summer,True,False,False,False,1993,12,6,104999.99999999988,106642.85714285707,
1993-02-28,109000.0,108000.0,2,Summer,True,False,False,False,1993,13,6,104999.99999999988,107071.42857142852,
1993-03-31,109499.99999999988,109000.0,3,Autumn,False,False,False,True,1993,14,2,104499.99999999988,107642.85714285712,
1993-04-30,110000.0,109499.99999999988,4,Autumn,False,False,False,True,1993,15,4,104000.0,108357.14285714283,
1993-05-31,108000.0,110000.0,5,Autumn,False,False,False,True,1993,16,0,111000.0,109214.28571428568,
1993-06-30,113000.00000000012,108000.0,6,Winter,False,True,False,False,1993,17,2,105999.99999999988,108785.71428571425,
1993-07-31,106999.99999999988,113000.00000000012,7,Winter,False,True,False,False,1993,18,5,111000.0,109785.71428571429,
1993-08-31,110000.0,106999.99999999988,8,Winter,False,True,False,False,1993,19,1,108000.0,109214.2857142857,
1993-09-30,113000.00000000012,110000.0,9,Spring,False,False,True,False,1993,20,3,109000.0,109499.99999999999,
1993-10-31,114999.99999999988,113000.00000000012,10,Spring,False,False,True,False,1993,21,6,109499.99999999988,110071.42857142857,
1993-11-30,115999.99999999988,114999.99999999988,11,Spring,False,False,True,False,1993,22,1,110000.0,110857.14285714286,
1993-12-31,114000.0,115999.99999999988,12,Summer,True,False,False,False,1993,23,4,108000.0,111714.2857142857,
1994-01-31,115999.99999999988,114000.0,1,Summer,True,False,False,False,1994,24,0,113000.00000000012,112571.42857142855,
1994-02-28,118000.0,115999.99999999988,2,Summer,True,False,False,False,1994,25,0,106999.99999999988,112999.99999999996,
1994-03-31,116500.0,118000.0,3,Autumn,False,False,False,True,1994,26,3,110000.0,114571.42857142854,
1994-04-30,120000.0,116500.0,4,Autumn,False,False,False,True,1994,27,5,113000.00000000012,115499.99999999997,
1994-05-31,124000.0,120000.0,5,Autumn,False,False,False,True,1994,28,1,114999.99999999988,116499.99999999996,
1994-06-30,118000.0,124000.0,6,Winter,False,True,False,False,1994,29,3,115999.99999999988,117785.71428571425,
1994-07-31,122500.0,118000.0,7,Winter,False,True,False,False,1994,30,6,114000.0,118071.42857142855,110349.99999999997
1994-08-31,120500.0,122500.0,8,Winter,False,True,False,False,1994,31,2,115999.99999999988,119285.71428571428,111033.3333333333
1994-09-30,125000.0,120500.0,9,Spring,False,False,True,False,1994,32,4,118000.0,119928.57142857143,111549.99999999997
1994-10-31,125000.0,125000.0,10,Spring,False,False,True,False,1994,33,0,116500.0,120928.57142857143,112216.66666666664
1994-11-30,128000.00000000012,125000.0,11,Spring,False,False,True,False,1994,34,2,120000.0,122142.85714285714,112983.3333333333
1994-12-31,125000.0,128000.00000000012,12,Summer,True,False,False,False,1994,35,5,124000.0,123285.7142857143,113749.99999999999
1995-01-31,123000.0,125000.0,1,Summer,True,False,False,False,1995,36,1,118000.0,123428.57142857145,114416.66666666666
1995-02-28,125000.0,123000.0,2,Summer,True,False,False,False,1995,37,1,122500.0,124142.85714285716,115016.66666666666
1995-03-31,126000.0,125000.0,3,Autumn,False,False,False,True,1995,38,4,120500.0,124500.00000000001,115700.0
1995-04-30,126000.0,126000.0,4,Autumn,False,False,False,True,1995,39,6,125000.0,125285.7142857143,116433.33333333333
1995-05-31,128000.00000000012,126000.0,5,Autumn,False,False,False,True,1995,40,2,125000.0,125428.57142857145,116933.33333333333
1995-06-30,126000.0,128000.00000000012,6,Winter,False,True,False,False,1995,41,4,128000.00000000012,125857.14285714288,117666.66666666667
1995-07-31,124500.0,126000.0,7,Winter,False,True,False,False,1995,42,0,125000.0,125571.4285714286,118166.66666666667
