date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,80487.13951675768,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,76496.49259547924,80487.13951675768,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,84477.78643803578,76496.49259547924,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,80487.13951675768,84477.78643803578,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,86473.10989867488,80487.13951675768,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,75000.0,86473.10989867488,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,76496.49259547924,75000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,86971.94076383475,76496.49259547924,8,Winter,False,True,False,False,1992,7,0,80487.13951675768,79988.30865159779,
1992-09-30,79489.47778643807,86971.94076383475,9,Spring,False,False,True,False,1992,8,2,76496.49259547924,80914.70882975166,
1992-10-31,83978.95557287615,79489.47778643807,10,Spring,False,False,True,False,1992,9,5,84477.78643803578,81342.27814274577,
1992-11-30,85475.44816835539,83978.95557287615,11,Spring,False,False,True,False,1992,10,0,80487.13951675768,81271.01659058011,
1992-12-31,85475.44816835539,85475.44816835539,12,Summer,True,False,False,False,1992,11,3,86473.10989867488,81983.63211223693,
1993-01-31,89466.09508963372,85475.44816835539,1,Summer,True,False,False,False,1993,12,6,75000.0,81841.10900790557,
1993-02-28,86473.10989867488,89466.09508963372,2,Summer,True,False,False,False,1993,13,6,76496.49259547924,83907.69402071039,
1993-03-31,83480.12470771617,86473.10989867488,3,Autumn,False,False,False,True,1993,14,2,86971.94076383475,85332.92506402405,
1993-04-30,88967.26422447385,83480.12470771617,4,Autumn,False,False,False,True,1993,15,4,79489.47778643807,84834.09419886426,
1993-05-31,86473.10989867488,88967.26422447385,5,Autumn,False,False,False,True,1993,16,0,83978.95557287615,86188.06369001222,
1993-06-30,79489.47778643807,86473.10989867488,6,Winter,False,True,False,False,1993,17,2,85475.44816835539,86544.37145084061,
1993-07-31,86473.10989867488,79489.47778643807,7,Winter,False,True,False,False,1993,18,5,85475.44816835539,85689.23282485243,
1993-08-31,94454.40374123142,86473.10989867488,8,Winter,False,True,False,False,1993,19,1,89466.09508963372,85831.75592918378,
1993-09-30,101438.03585346836,94454.40374123142,9,Spring,False,False,True,False,1993,20,3,86473.10989867488,86544.3714508406,
1993-10-31,100939.20498830872,101438.03585346836,10,Spring,False,False,True,False,1993,21,6,83480.12470771617,88682.21801581109,
1993-11-30,91960.24941543255,100939.20498830872,11,Spring,False,False,True,False,1993,22,1,88967.26422447385,91176.37234161003,
1993-12-31,86473.10989867488,91960.24941543255,12,Summer,True,False,False,False,1993,23,4,86473.10989867488,91603.94165460413,
1994-01-31,93456.7420109118,86473.10989867488,1,Summer,True,False,False,False,1994,24,0,79489.47778643807,91603.94165460413,
1994-02-28,104431.02104442718,93456.7420109118,2,Summer,True,False,False,False,1994,25,0,86473.10989867488,93599.26511524324,
1994-03-31,101438.03585346836,104431.02104442718,3,Autumn,False,False,False,True,1994,26,3,94454.40374123142,96164.68099320785,
1994-04-30,111414.653156664,101438.03585346836,4,Autumn,False,False,False,True,1994,27,5,101438.03585346836,97162.34272352741,
1994-05-31,98445.05066250965,111414.653156664,5,Autumn,False,False,False,True,1994,28,1,100939.20498830872,98587.57376684107,
1994-06-30,109419.32969602488,98445.05066250965,6,Winter,False,True,False,False,1994,29,3,91960.24941543255,98231.26600601264,
1994-07-31,104431.02104442718,109419.32969602488,7,Winter,False,True,False,False,1994,30,6,86473.10989867488,100725.42033181153,89200.05196154842
1994-08-31,116402.9618082618,104431.02104442718,8,Winter,False,True,False,False,1994,31,2,93456.7420109118,103290.83620977614,89998.18134580407
