date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,85000.0,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,89000.0,85000.0,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,89999.99999999988,89000.0,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,82000.0,89999.99999999988,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,90999.99999999988,82000.0,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,88000.0,90999.99999999988,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,85000.0,88000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,93000.0,85000.0,8,Winter,False,True,False,False,1992,7,0,85000.0,87142.85714285712,
1992-09-30,92499.99999999988,93000.0,9,Spring,False,False,True,False,1992,8,2,89000.0,88285.71428571425,
1992-10-31,93999.99999999988,92499.99999999988,10,Spring,False,False,True,False,1992,9,5,89999.99999999988,88785.71428571423,
1992-11-30,93999.99999999988,93999.99999999988,11,Spring,False,False,True,False,1992,10,0,82000.0,89357.14285714281,
1992-12-31,92000.0,93999.99999999988,12,Summer,True,False,False,False,1992,11,3,90999.99999999988,91071.4285714285,
1993-01-31,96000.0,92000.0,1,Summer,True,False,False,False,1993,12,6,88000.0,91214.28571428567,
1993-02-28,95000.0,96000.0,2,Summer,True,False,False,False,1993,13,6,85000.0,92357.14285714281,
1993-03-31,95499.99999999988,95000.0,3,Autumn,False,False,False,True,1993,14,2,93000.0,93785.71428571423,
1993-04-30,96000.0,95499.99999999988,4,Autumn,False,False,False,True,1993,15,4,92499.99999999988,94142.85714285707,
1993-05-31,105000.0,96000.0,5,Autumn,False,False,False,True,1993,16,0,93999.99999999988,94642.85714285709,
1993-06-30,105000.0,105000.0,6,Winter,False,True,False,False,1993,17,2,93999.99999999988,96214.28571428568,
1993-07-31,105000.0,105000.0,7,Winter,False,True,False,False,1993,18,5,92000.0,97785.71428571428,
1993-08-31,109000.0,105000.0,8,Winter,False,True,False,False,1993,19,1,96000.0,99642.85714285713,
1993-09-30,107999.99999999988,109000.0,9,Spring,False,False,True,False,1993,20,3,95000.0,101499.99999999999,
1993-10-31,109000.0,107999.99999999988,10,Spring,False,False,True,False,1993,21,6,95499.99999999988,103357.14285714283,
1993-11-30,110000.0,109000.0,11,Spring,False,False,True,False,1993,22,1,96000.0,105285.71428571428,
1993-12-31,110000.0,110000.0,12,Summer,True,False,False,False,1993,23,4,105000.0,107285.71428571428,
1994-01-31,110000.0,110000.0,1,Summer,True,False,False,False,1994,24,0,105000.0,107999.99999999999,
1994-02-28,115000.0,110000.0,2,Summer,True,False,False,False,1994,25,0,105000.0,108714.2857142857,
1994-03-31,117999.99999999988,115000.0,3,Autumn,False,False,False,True,1994,26,3,109000.0,110142.85714285713,
1994-04-30,117999.99999999988,117999.99999999988,4,Autumn,False,False,False,True,1994,27,5,107999.99999999988,111428.57142857139,
1994-05-31,113000.0,117999.99999999988,5,Autumn,False,False,False,True,1994,28,1,109000.0,112857.14285714283,
1994-06-30,109000.0,113000.0,6,Winter,False,True,False,False,1994,29,3,110000.0,113428.57142857139,
1994-07-31,117400.0,109000.0,7,Winter,False,True,False,False,1994,30,6,110000.0,113285.71428571425,100066.66666666664
1994-08-31,112000.0,117400.0,8,Winter,False,True,False,False,1994,31,2,110000.0,114342.85714285712,101146.66666666664
1994-09-30,120999.99999999988,112000.0,9,Spring,False,False,True,False,1994,32,4,115000.0,114628.57142857139,101913.3333333333
