date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,91000.00000000012,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,90000.00000000012,91000.00000000012,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,91999.99999999988,90000.00000000012,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,90000.00000000012,91999.99999999988,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,90000.00000000012,90000.00000000012,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,95000.0,90000.00000000012,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,87500.0,95000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,90000.00000000012,87500.0,8,Winter,False,True,False,False,1992,7,0,91000.00000000012,90785.71428571433,
1992-09-30,94000.0,90000.00000000012,9,Spring,False,False,True,False,1992,8,2,90000.00000000012,90642.85714285719,
1992-10-31,89000.0,94000.0,10,Spring,False,False,True,False,1992,9,5,91999.99999999988,91214.28571428575,
1992-11-30,95000.0,89000.0,11,Spring,False,False,True,False,1992,10,0,90000.00000000012,90785.71428571433,
1992-12-31,98999.99999999988,95000.0,12,Summer,True,False,False,False,1992,11,3,90000.00000000012,91500.00000000003,
1993-01-31,88000.0,98999.99999999988,1,Summer,True,False,False,False,1993,12,6,95000.0,92785.71428571429,
1993-02-28,95000.0,88000.0,2,Summer,True,False,False,False,1993,13,6,87500.0,91785.71428571429,
1993-03-31,91999.99999999988,95000.0,3,Autumn,False,False,False,True,1993,14,2,90000.00000000012,92857.14285714286,
1993-04-30,91999.99999999988,91999.99999999988,4,Autumn,False,False,False,True,1993,15,4,94000.0,93142.85714285712,
1993-05-31,90500.00000000012,91999.99999999988,5,Autumn,False,False,False,True,1993,16,0,89000.0,92857.14285714281,
1993-06-30,98000.0,90500.00000000012,6,Winter,False,True,False,False,1993,17,2,95000.0,93071.42857142854,
1993-07-31,95250.0,98000.0,7,Winter,False,True,False,False,1993,18,5,98999.99999999988,93499.99999999997,
1993-08-31,90000.00000000012,95250.0,8,Winter,False,True,False,False,1993,19,1,88000.0,92964.2857142857,
1993-09-30,91999.99999999988,90000.00000000012,9,Spring,False,False,True,False,1993,20,3,95000.0,93250.0,
1993-10-31,90000.00000000012,91999.99999999988,10,Spring,False,False,True,False,1993,21,6,91999.99999999988,92821.42857142855,
