date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,94000.00000000012,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,104000.00000000012,94000.00000000012,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,96000.0,104000.00000000012,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,96000.0,96000.0,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,97500.00000000012,96000.0,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,94000.00000000012,97500.00000000012,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,103000.00000000012,94000.00000000012,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,95000.00000000012,103000.00000000012,8,Winter,False,True,False,False,1992,7,0,94000.00000000012,97785.71428571436,
1992-09-30,108000.0,95000.00000000012,9,Spring,False,False,True,False,1992,8,2,104000.00000000012,97928.57142857151,
1992-10-31,102000.00000000012,108000.0,10,Spring,False,False,True,False,1992,9,5,96000.0,98500.00000000007,
1992-11-30,92500.0,102000.00000000012,11,Spring,False,False,True,False,1992,10,0,96000.0,99357.14285714294,
1992-12-31,105000.0,92500.0,12,Summer,True,False,False,False,1992,11,3,97500.00000000012,98857.14285714294,
1993-01-31,106500.00000000012,105000.0,1,Summer,True,False,False,False,1993,12,6,94000.00000000012,99928.5714285715,
1993-02-28,97000.0,106500.00000000012,2,Summer,True,False,False,False,1993,13,6,103000.00000000012,101714.28571428578,
1993-03-31,112000.00000000012,97000.0,3,Autumn,False,False,False,True,1993,14,2,95000.00000000012,100857.14285714291,
1993-04-30,106000.0,112000.00000000012,4,Autumn,False,False,False,True,1993,15,4,108000.0,103285.71428571433,
1993-05-31,101000.00000000012,106000.0,5,Autumn,False,False,False,True,1993,16,0,102000.00000000012,103000.00000000004,
1993-06-30,100000.0,101000.00000000012,6,Winter,False,True,False,False,1993,17,2,92500.0,102857.14285714291,
1993-07-31,105000.0,100000.0,7,Winter,False,True,False,False,1993,18,5,105000.0,103928.57142857148,
1993-08-31,108000.0,105000.0,8,Winter,False,True,False,False,1993,19,1,106500.00000000012,103928.57142857148,
1993-09-30,109000.0,108000.0,9,Spring,False,False,True,False,1993,20,3,97000.0,104142.85714285717,
1993-10-31,111000.00000000012,109000.0,10,Spring,False,False,True,False,1993,21,6,112000.00000000012,105857.14285714288,
1993-11-30,112000.00000000012,111000.00000000012,11,Spring,False,False,True,False,1993,22,1,106000.0,105714.28571428575,
1993-12-31,114000.0,112000.00000000012,12,Summer,True,False,False,False,1993,23,4,101000.00000000012,106571.42857142862,
1994-01-31,110000.00000000012,114000.0,1,Summer,True,False,False,False,1994,24,0,100000.0,108428.57142857146,
1994-02-28,120000.00000000012,110000.00000000012,2,Summer,True,False,False,False,1994,25,0,105000.0,109857.14285714291,
1994-03-31,112000.00000000012,120000.00000000012,3,Autumn,False,False,False,True,1994,26,3,108000.0,112000.00000000007,
1994-04-30,119000.00000000012,112000.00000000012,4,Autumn,False,False,False,True,1994,27,5,109000.0,112571.42857142865,
1994-05-31,115000.0,119000.00000000012,5,Autumn,False,False,False,True,1994,28,1,111000.00000000012,114000.0000000001,
1994-06-30,118000.00000000012,115000.0,6,Winter,False,True,False,False,1994,29,3,112000.00000000012,114571.42857142865,
1994-07-31,118000.00000000012,118000.00000000012,7,Winter,False,True,False,False,1994,30,6,114000.0,115428.57142857151,105416.66666666673
1994-08-31,120000.00000000012,118000.00000000012,8,Winter,False,True,False,False,1994,31,2,110000.00000000012,116000.0000000001,106216.66666666673
1994-09-30,120000.00000000012,120000.00000000012,9,Spring,False,False,True,False,1994,32,4,120000.00000000012,117428.57142857152,106750.00000000007
1994-10-31,135000.00000000012,120000.00000000012,10,Spring,False,False,True,False,1994,33,0,112000.00000000012,117428.57142857152,107550.00000000006
1994-11-30,124000.0,135000.00000000012,11,Spring,False,False,True,False,1994,34,2,119000.00000000012,120714.28571428581,108850.00000000006
1994-12-31,118000.00000000012,124000.0,12,Summer,True,False,False,False,1994,35,5,115000.0,121428.57142857151,109733.3333333334
