date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,115000.00000000012,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,108000.00000000012,115000.00000000012,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,115000.00000000012,108000.00000000012,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,116000.00000000012,115000.00000000012,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,115000.00000000012,116000.00000000012,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,107000.0,115000.00000000012,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,118000.00000000012,107000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,116000.00000000012,118000.00000000012,8,Winter,False,True,False,False,1992,7,0,115000.00000000012,113428.57142857152,
1992-09-30,120000.0,116000.00000000012,9,Spring,False,False,True,False,1992,8,2,108000.00000000012,113571.42857142867,
1992-10-31,115000.00000000012,120000.0,10,Spring,False,False,True,False,1992,9,5,115000.00000000012,115285.71428571436,
1992-11-30,122500.0,115000.00000000012,11,Spring,False,False,True,False,1992,10,0,116000.00000000012,115285.71428571436,
1992-12-31,124000.0,122500.0,12,Summer,True,False,False,False,1992,11,3,115000.00000000012,116214.28571428578,
1993-01-31,120000.0,124000.0,1,Summer,True,False,False,False,1993,12,6,107000.0,117500.00000000004,
1993-02-28,125000.00000000012,120000.0,2,Summer,True,False,False,False,1993,13,6,118000.00000000012,119357.14285714291,
1993-03-31,126000.00000000012,125000.00000000012,3,Autumn,False,False,False,True,1993,14,2,116000.00000000012,120357.14285714291,
1993-04-30,137500.00000000012,126000.00000000012,4,Autumn,False,False,False,True,1993,15,4,120000.0,121785.71428571433,
1993-05-31,121000.0,137500.00000000012,5,Autumn,False,False,False,True,1993,16,0,115000.00000000012,124285.71428571435,
1993-06-30,120000.0,121000.0,6,Winter,False,True,False,False,1993,17,2,122500.0,125142.85714285719,
1993-07-31,125000.00000000012,120000.0,7,Winter,False,True,False,False,1993,18,5,124000.0,124785.71428571433,
1993-08-31,120000.0,125000.00000000012,8,Winter,False,True,False,False,1993,19,1,120000.0,124928.5714285715,
1993-09-30,128000.00000000012,120000.0,9,Spring,False,False,True,False,1993,20,3,125000.00000000012,124928.5714285715,
1993-10-31,134000.0,128000.00000000012,10,Spring,False,False,True,False,1993,21,6,126000.00000000012,125357.14285714293,
1993-11-30,122000.00000000012,134000.0,11,Spring,False,False,True,False,1993,22,1,137500.00000000012,126500.00000000004,
1993-12-31,128000.00000000012,122000.00000000012,12,Summer,True,False,False,False,1993,23,4,121000.0,124285.71428571433,
1994-01-31,126000.00000000012,128000.00000000012,1,Summer,True,False,False,False,1994,24,0,120000.0,125285.71428571435,
1994-02-28,125000.00000000012,126000.00000000012,2,Summer,True,False,False,False,1994,25,0,125000.00000000012,126142.85714285723,
1994-03-31,135000.00000000012,125000.00000000012,3,Autumn,False,False,False,True,1994,26,3,120000.0,126142.85714285723,
1994-04-30,130799.99999999988,135000.00000000012,4,Autumn,False,False,False,True,1994,27,5,128000.00000000012,128285.71428571439,
1994-05-31,132000.00000000012,130799.99999999988,5,Autumn,False,False,False,True,1994,28,1,134000.0,128685.71428571435,
1994-06-30,130000.00000000012,132000.00000000012,6,Winter,False,True,False,False,1994,29,3,122000.00000000012,128400.00000000009,
1994-07-31,129500.0,130000.00000000012,7,Winter,False,True,False,False,1994,30,6,128000.00000000012,129542.85714285723,122560.00000000007
