date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,95459.28667563922,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,100422.27456258412,95459.28667563922,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,93474.09152086126,100422.27456258412,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,98437.07940780616,93474.09152086126,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,93474.09152086126,98437.07940780616,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,93474.09152086126,93474.09152086126,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,93474.09152086126,93474.09152086126,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,97940.7806191116,93474.09152086126,8,Winter,False,True,False,False,1992,7,0,95459.28667563922,95459.28667563922,
1992-09-30,93474.09152086126,97940.7806191116,9,Spring,False,False,True,False,1992,8,2,100422.27456258412,95813.78581042099,
1992-10-31,90000.0,93474.09152086126,10,Spring,False,False,True,False,1992,9,5,93474.09152086126,94821.18823303201,
1992-11-30,93474.09152086126,90000.0,11,Spring,False,False,True,False,1992,10,0,98437.07940780616,94324.88944433755,
1992-12-31,111340.84791386269,93474.09152086126,12,Summer,True,False,False,False,1992,11,3,93474.09152086126,93615.89117477399,
1993-01-31,110348.25033647356,111340.84791386269,1,Summer,True,False,False,False,1993,12,6,93474.09152086126,96168.28494520276,
1993-02-28,100422.27456258412,110348.25033647356,2,Summer,True,False,False,False,1993,13,6,93474.09152086126,98578.8790617188,
1993-03-31,96451.88425302808,100422.27456258412,3,Autumn,False,False,False,True,1993,14,2,97940.7806191116,99571.47663910779,
1993-04-30,100422.27456258412,96451.88425302808,4,Autumn,False,False,False,True,1993,15,4,93474.09152086126,99358.7771582387,
1993-05-31,105385.2624495288,100422.27456258412,5,Autumn,False,False,False,True,1993,16,0,90000.0,100351.37473562769,
1993-06-30,94466.68909825035,105385.2624495288,6,Winter,False,True,False,False,1993,17,2,93474.09152086126,102549.26937127465,
1993-07-31,95459.28667563922,94466.68909825035,7,Winter,False,True,False,False,1993,18,5,111340.84791386269,102691.06902518739,
1993-08-31,94466.68909825035,95459.28667563922,8,Winter,False,True,False,False,1993,19,1,110348.25033647356,100422.27456258403,
1993-09-30,108363.05518169572,94466.68909825035,9,Spring,False,False,True,False,1993,20,3,100422.27456258412,98153.48009998072,
1993-10-31,97444.48183041718,108363.05518169572,10,Spring,False,False,True,False,1993,21,6,96451.88425302808,99287.87733128238,
1993-11-30,100422.27456258412,97444.48183041718,11,Spring,False,False,True,False,1993,22,1,100422.27456258412,99429.67698519511,
1993-12-31,102407.46971736196,100422.27456258412,12,Summer,True,False,False,False,1993,23,4,105385.2624495288,99429.67698519511,
1994-01-31,103400.06729475084,102407.46971736196,1,Summer,True,False,False,False,1994,24,0,94466.68909825035,99004.278023457,
1994-02-28,105385.2624495288,103400.06729475084,2,Summer,True,False,False,False,1994,25,0,95459.28667563922,100280.47490867134,
1994-03-31,109851.95154777926,105385.2624495288,3,Autumn,False,False,False,True,1994,26,3,94466.68909825035,101698.47144779842,
1994-04-30,110348.25033647356,109851.95154777926,4,Autumn,False,False,False,True,1994,27,5,108363.05518169572,103896.3660834454,
1994-05-31,114318.6406460296,110348.25033647356,5,Autumn,False,False,False,True,1994,28,1,97444.48183041718,104179.96539127082,
1994-06-30,102407.46971736196,114318.6406460296,6,Winter,False,True,False,False,1994,29,3,100422.27456258412,106590.55950778688,
1994-07-31,100422.27456258412,102407.46971736196,7,Winter,False,True,False,False,1994,30,6,102407.46971736196,106874.15881561229,100207.21175414976
1994-08-31,110348.25033647356,100422.27456258412,8,Winter,False,True,False,False,1994,31,2,103400.06729475084,106590.55950778688,100372.64468371458
1994-09-30,103400.06729475084,110348.25033647356,9,Spring,False,False,True,False,1994,32,4,105385.2624495288,107583.15708517584,100703.51054284425
1994-10-31,114318.6406460296,103400.06729475084,10,Spring,False,False,True,False,1994,33,0,109851.95154777926,107299.55777735042,101034.3764019739
1994-11-30,113326.04306864052,114318.6406460296,11,Spring,False,False,True,False,1994,34,2,110348.25033647356,107937.65621995761,101563.76177658135
1994-12-31,115311.2382234186,113326.04306864052,12,Summer,True,False,False,False,1994,35,5,114318.6406460296,108363.05518169574,102225.49349484064
1995-01-31,110348.25033647356,115311.2382234186,1,Summer,True,False,False,False,1995,36,1,102407.46971736196,108504.85483560846,102953.39838492591
1995-02-28,115311.2382234186,110348.25033647356,2,Summer,True,False,False,False,1995,37,1,100422.27456258412,109639.25206691012,103515.8703454463
1995-03-31,105385.2624495288,115311.2382234186,3,Autumn,False,False,False,True,1995,38,4,110348.25033647356,111766.24687560076,104094.88559892321
1995-04-30,110348.25033647356,105385.2624495288,4,Autumn,False,False,False,True,1995,39,6,103400.06729475084,111057.24860603722,104491.92462987879
1995-05-31,113326.04306864052,110348.25033647356,5,Autumn,False,False,False,True,1995,40,2,114318.6406460296,112049.84618342618,105170.19964109457
1995-06-30,130200.20188425283,113326.04306864052,6,Winter,False,True,False,False,1995,41,4,113326.04306864052,111908.04652951345,105831.93135935388
1995-07-31,110348.25033647356,130200.20188425283,7,Winter,False,True,False,False,1995,42,0,115311.2382234186,114318.6406460295,106460.57649170022
1995-08-31,111340.84791386269,110348.25033647356,8,Winter,False,True,False,False,1995,43,3,110348.25033647356,113609.64237646593,106460.57649170024
1995-09-30,117296.43337819644,111340.84791386269,9,Spring,False,False,True,False,1995,44,5,115311.2382234186,113751.44203037865,106824.52893674285
1995-10-31,118289.03095558542,117296.43337819644,10,Spring,False,False,True,False,1995,45,1,105385.2624495288,114035.04133820406,107519.34724091511
1995-11-30,115311.2382234186,118289.03095558542,11,Spring,False,False,True,False,1995,46,3,110348.25033647356,115878.43683906928,108114.9057873485
1995-12-31,105385.2624495288,115311.2382234186,12,Summer,True,False,False,False,1995,47,6,113326.04306864052,116587.43510863287,108445.77164647816
1996-01-31,117296.43337819644,105385.2624495288,1,Summer,True,False,False,False,1996,48,2,130200.20188425283,115453.03787733118,108809.72409152078
1996-02-29,117594.21265141317,117296.43337819644,2,Summer,True,False,False,False,1996,49,3,110348.25033647356,113609.64237646598,109537.62898160602
1996-03-31,122755.72005383576,117594.21265141317,3,Autumn,False,False,False,True,1996,50,6,111340.84791386269,114644.77985002879,110308.54643337811
1996-04-30,118289.03095558542,122755.72005383576,4,Autumn,False,False,False,True,1996,51,1,117296.43337819644,116275.47587002495,110788.3019291161
1996-05-31,122259.42126514122,118289.03095558542,5,Autumn,False,False,False,True,1996,52,4,118289.03095558542,116417.27552393766,111483.12023328837
1996-06-30,120274.22611036326,122259.42126514122,6,Winter,False,True,False,False,1996,53,6,115311.2382234186,116984.47413958849,112211.02512337362
1996-07-31,122755.72005383576,120274.22611036326,7,Winter,False,True,False,False,1996,54,2,105385.2624495288,117693.472409152,112806.583669807
1996-08-31,117296.43337819644,122755.72005383576,8,Winter,False,True,False,False,1996,55,5,117296.43337819644,120174.96635262443,113451.77209510983
