date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,81500.0,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,87500.0,81500.0,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,87000.0,87500.0,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,86000.0,87000.0,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,83500.0,86000.0,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,88000.0,83500.0,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,86000.0,88000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,90000.0,86000.0,8,Winter,False,True,False,False,1992,7,0,81500.0,85642.85714285714,
1992-09-30,90000.0,90000.0,9,Spring,False,False,True,False,1992,8,2,87500.0,86857.14285714286,
1992-10-31,89500.0,90000.0,10,Spring,False,False,True,False,1992,9,5,87000.0,87214.28571428571,
1992-11-30,85500.0,89500.0,11,Spring,False,False,True,False,1992,10,0,86000.0,87571.42857142857,
1992-12-31,89000.0,85500.0,12,Summer,True,False,False,False,1992,11,3,83500.0,87500.0,
1993-01-31,92000.0,89000.0,1,Summer,True,False,False,False,1993,12,6,88000.0,88285.71428571429,
1993-02-28,89000.0,92000.0,2,Summer,True,False,False,False,1993,13,6,86000.0,88857.14285714286,
1993-03-31,87000.0,89000.0,3,Autumn,False,False,False,True,1993,14,2,90000.0,89285.71428571429,
1993-04-30,93000.0,87000.0,4,Autumn,False,False,False,True,1993,15,4,90000.0,88857.14285714286,
1993-05-31,87500.0,93000.0,5,Autumn,False,False,False,True,1993,16,0,89500.0,89285.71428571429,
1993-06-30,90000.0,87500.0,6,Winter,False,True,False,False,1993,17,2,85500.0,89000.0,
1993-07-31,91000.0,90000.0,7,Winter,False,True,False,False,1993,18,5,89000.0,89642.85714285714,
1993-08-31,97000.0,91000.0,8,Winter,False,True,False,False,1993,19,1,92000.0,89928.57142857143,
1993-09-30,96000.0,97000.0,9,Spring,False,False,True,False,1993,20,3,89000.0,90642.85714285714,
1993-10-31,95000.0,96000.0,10,Spring,False,False,True,False,1993,21,6,87000.0,91642.85714285714,
1993-11-30,95000.0,95000.0,11,Spring,False,False,True,False,1993,22,1,93000.0,92785.71428571429,
1993-12-31,93000.0,95000.0,12,Summer,True,False,False,False,1993,23,4,87500.0,93071.42857142857,
1994-01-31,95000.0,93000.0,1,Summer,True,False,False,False,1994,24,0,90000.0,93857.14285714286,
