date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,64000.0,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,62500.0,64000.0,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,63000.0,62500.0,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,69000.0,63000.0,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,64900.0,69000.0,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,59999.99999999994,64900.0,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,65000.00000000006,59999.99999999994,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,66000.0,65000.00000000006,8,Winter,False,True,False,False,1992,7,0,64000.0,64057.142857142855,
1992-09-30,64000.0,66000.0,9,Spring,False,False,True,False,1992,8,2,62500.0,64342.857142857145,
1992-10-31,65000.00000000006,64000.0,10,Spring,False,False,True,False,1992,9,5,63000.0,64557.142857142855,
1992-11-30,71000.0,65000.00000000006,11,Spring,False,False,True,False,1992,10,0,69000.0,64842.85714285715,
1992-12-31,59999.99999999994,71000.0,12,Summer,True,False,False,False,1992,11,3,64900.0,65128.571428571435,
1993-01-31,68000.0,59999.99999999994,1,Summer,True,False,False,False,1993,12,6,59999.99999999994,64428.57142857143,
1993-02-28,66500.0,68000.0,2,Summer,True,False,False,False,1993,13,6,65000.00000000006,65571.42857142858,
1993-03-31,66999.99999999994,66500.0,3,Autumn,False,False,False,True,1993,14,2,66000.0,65785.71428571429,
1993-04-30,66000.0,66999.99999999994,4,Autumn,False,False,False,True,1993,15,4,64000.0,65928.57142857142,
1993-05-31,66999.99999999994,66000.0,5,Autumn,False,False,False,True,1993,16,0,65000.00000000006,66214.28571428571,
1993-06-30,61000.0,66999.99999999994,6,Winter,False,True,False,False,1993,17,2,71000.0,66499.99999999997,
1993-07-31,63800.0,61000.0,7,Winter,False,True,False,False,1993,18,5,59999.99999999994,65071.42857142854,
1993-08-31,66000.0,63800.0,8,Winter,False,True,False,False,1993,19,1,68000.0,65614.2857142857,
1993-09-30,64000.0,66000.0,9,Spring,False,False,True,False,1993,20,3,66500.0,65328.57142857141,
1993-10-31,66000.0,64000.0,10,Spring,False,False,True,False,1993,21,6,66999.99999999994,64971.42857142856,
