date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,80998.27882960415,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,80998.27882960415,80998.27882960415,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,83993.11531841662,80998.27882960415,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,85989.67297762481,83993.11531841662,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,80000.0,85989.67297762481,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,82994.83648881246,80000.0,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,85989.67297762481,82994.83648881246,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,85989.67297762481,85989.67297762481,8,Winter,False,True,False,False,1992,7,0,80998.27882960415,82994.83648881243,
1992-09-30,89982.78829604131,85989.67297762481,9,Spring,False,False,True,False,1992,8,2,80998.27882960415,83707.89279567252,
1992-10-31,87986.230636833,89982.78829604131,10,Spring,False,False,True,False,1992,9,5,83993.11531841662,84991.39414802068,
1992-11-30,86987.95180722885,87986.230636833,11,Spring,False,False,True,False,1992,10,0,85989.67297762481,85561.83919350874,
1992-12-31,87986.230636833,86987.95180722885,12,Summer,True,False,False,False,1992,11,3,80000.0,85704.45045488075,
1993-01-31,90981.06712564548,87986.230636833,1,Summer,True,False,False,False,1993,12,6,82994.83648881246,86845.34054585689,
1993-02-28,90981.06712564548,90981.06712564548,2,Summer,True,False,False,False,1993,13,6,85989.67297762481,87986.23063683303,
1993-03-31,90981.06712564548,90981.06712564548,3,Autumn,False,False,False,True,1993,14,2,85989.67297762481,88699.28694369314,
1993-04-30,87986.230636833,90981.06712564548,4,Autumn,False,False,False,True,1993,15,4,89982.78829604131,89412.34325055323,
1993-05-31,90981.06712564548,87986.230636833,5,Autumn,False,False,False,True,1993,16,0,87986.230636833,89127.12072780918,
1993-06-30,86488.81239242689,90981.06712564548,6,Winter,False,True,False,False,1993,17,2,86987.95180722885,89554.95451192524,
1993-07-31,94974.18244406195,86488.81239242689,7,Winter,False,True,False,False,1993,18,5,87986.230636833,89483.64888123925,
1993-08-31,90981.06712564548,94974.18244406195,8,Winter,False,True,False,False,1993,19,1,90981.06712564548,90481.92771084339,
1993-09-30,92478.48537005158,90981.06712564548,9,Spring,False,False,True,False,1993,20,3,90981.06712564548,90481.9277108434,
1993-10-31,92977.62478485378,92478.48537005158,10,Spring,False,False,True,False,1993,21,6,90981.06712564548,90695.84460290142,
1993-11-30,90981.06712564548,92977.62478485378,11,Spring,False,False,True,False,1993,22,1,87986.230636833,90981.06712564547,
1993-12-31,94974.18244406195,90981.06712564548,12,Summer,True,False,False,False,1993,23,4,90981.06712564548,91408.90090976153,
1994-01-31,96970.74010327016,94974.18244406195,1,Summer,True,False,False,False,1994,24,0,86488.81239242689,91979.34595524959,
1994-02-28,92977.62478485378,96970.74010327016,2,Summer,True,False,False,False,1994,25,0,94974.18244406195,93476.76419965576,
1994-03-31,95972.46127366612,92977.62478485378,3,Autumn,False,False,False,True,1994,26,3,90981.06712564548,93191.54167691176,
1994-04-30,90981.06712564548,95972.46127366612,4,Autumn,False,False,False,True,1994,27,5,92478.48537005158,93904.59798377183,
1994-05-31,92977.62478485378,90981.06712564548,5,Autumn,False,False,False,True,1994,28,1,92977.62478485378,93690.68109171384,
1994-06-30,100963.85542168666,92977.62478485378,6,Winter,False,True,False,False,1994,29,3,90981.06712564548,93690.68109171382,
1994-07-31,88984.50946643727,100963.85542168666,7,Winter,False,True,False,False,1994,30,6,94974.18244406195,95116.79370543399,89550.20080321287
1994-08-31,99965.5765920825,88984.50946643727,8,Winter,False,True,False,False,1994,31,2,96970.74010327016,94261.12613720189,89816.40849110732
1994-09-30,100464.7160068847,99965.5765920825,9,Spring,False,False,True,False,1994,32,4,92977.62478485378,94688.95992131796,90448.65174985658
1994-10-31,100963.85542168666,100464.7160068847,10,Spring,False,False,True,False,1994,33,0,95972.46127366612,95758.54438160807,90997.70510613886
1994-11-30,92977.62478485378,100963.85542168666,11,Spring,False,False,True,False,1994,34,2,90981.06712564548,96471.60068846816,91496.84452094091
1994-12-31,106953.52839931149,92977.62478485378,12,Summer,True,False,False,False,1994,35,5,92977.62478485378,96756.82321121219,91929.43201376937
1995-01-31,96970.74010327016,106953.52839931149,1,Summer,True,False,False,False,1995,36,1,100963.85542168666,98753.38087042044,92728.05507745268
1995-02-28,97969.01893287445,96970.74010327016,2,Summer,True,False,False,False,1995,37,1,88984.50946643727,98182.93582493237,93094.09064830751
1995-03-31,100963.85542168666,97969.01893287445,3,Autumn,False,False,False,True,1995,38,4,99965.5765920825,99466.43717728053,93493.40218014918
1995-04-30,95972.46127366612,100963.85542168666,4,Autumn,False,False,False,True,1995,39,6,100464.7160068847,99609.04843865255,93859.43775100402
