date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,113000.00000000012,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,105000.0,113000.00000000012,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,94000.0,105000.0,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,105000.0,94000.0,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,111000.0,105000.0,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,110000.00000000012,111000.0,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,112000.00000000012,110000.00000000012,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,109500.0,112000.00000000012,8,Winter,False,True,False,False,1992,7,0,113000.00000000012,107142.85714285719,
1992-09-30,117000.0,109500.0,9,Spring,False,False,True,False,1992,8,2,105000.0,106642.85714285717,
1992-10-31,119000.00000000012,117000.0,10,Spring,False,False,True,False,1992,9,5,94000.0,108357.14285714288,
1992-11-30,120000.0,119000.00000000012,11,Spring,False,False,True,False,1992,10,0,105000.0,111928.57142857148,
1992-12-31,105500.0,120000.0,12,Summer,True,False,False,False,1992,11,3,111000.0,114071.42857142862,
1993-01-31,119000.00000000012,105500.0,1,Summer,True,False,False,False,1993,12,6,110000.00000000012,113285.71428571433,
1993-02-28,115000.0,119000.00000000012,2,Summer,True,False,False,False,1993,13,6,112000.00000000012,114571.42857142862,
1993-03-31,105000.0,115000.0,3,Autumn,False,False,False,True,1993,14,2,109500.0,115000.00000000003,
1993-04-30,118000.0,105000.0,4,Autumn,False,False,False,True,1993,15,4,117000.0,114357.14285714288,
1993-05-31,128000.0,118000.0,5,Autumn,False,False,False,True,1993,16,0,119000.00000000012,114500.00000000003,
1993-06-30,126000.00000000012,128000.0,6,Winter,False,True,False,False,1993,17,2,120000.0,115785.7142857143,
1993-07-31,123500.0,126000.00000000012,7,Winter,False,True,False,False,1993,18,5,105500.0,116642.85714285717,
1993-08-31,119000.00000000012,123500.0,8,Winter,False,True,False,False,1993,19,1,119000.00000000012,119214.28571428575,
1993-09-30,120000.0,119000.00000000012,9,Spring,False,False,True,False,1993,20,3,115000.0,119214.28571428575,
1993-10-31,114000.0,120000.0,10,Spring,False,False,True,False,1993,21,6,105000.0,119928.57142857146,
1993-11-30,126000.00000000012,114000.0,11,Spring,False,False,True,False,1993,22,1,118000.0,121214.28571428575,
1993-12-31,135000.0,126000.00000000012,12,Summer,True,False,False,False,1993,23,4,128000.0,122357.14285714291,
1994-01-31,125000.0,135000.0,1,Summer,True,False,False,False,1994,24,0,126000.00000000012,123357.14285714291,
1994-02-28,125000.0,125000.0,2,Summer,True,False,False,False,1994,25,0,123500.0,123214.28571428575,
1994-03-31,120000.0,125000.0,3,Autumn,False,False,False,True,1994,26,3,119000.00000000012,123428.57142857146,
1994-04-30,125000.0,120000.0,4,Autumn,False,False,False,True,1994,27,5,120000.0,123571.4285714286,
1994-05-31,118000.0,125000.0,5,Autumn,False,False,False,True,1994,28,1,114000.0,124285.7142857143,
1994-06-30,130000.00000000012,118000.0,6,Winter,False,True,False,False,1994,29,3,126000.00000000012,124857.14285714287,
1994-07-31,129500.0,130000.00000000012,7,Winter,False,True,False,False,1994,30,6,135000.0,125428.57142857145,117083.33333333336
1994-08-31,130500.00000000012,129500.0,8,Winter,False,True,False,False,1994,31,2,125000.0,124642.85714285716,117633.33333333336
1994-09-30,138000.0,130500.00000000012,9,Spring,False,False,True,False,1994,32,4,125000.0,125428.57142857146,118483.33333333336
1994-10-31,132500.0,138000.0,10,Spring,False,False,True,False,1994,33,0,120000.0,127285.71428571432,119950.00000000003
1994-11-30,134000.0,132500.0,11,Spring,False,False,True,False,1994,34,2,125000.0,129071.42857142861,120866.6666666667
1994-12-31,149000.0,134000.0,12,Summer,True,False,False,False,1994,35,5,118000.0,130357.14285714288,121633.33333333336
1995-01-31,118000.0,149000.0,1,Summer,True,False,False,False,1995,36,1,130000.00000000012,134785.71428571432,122933.33333333336
1995-02-28,140000.00000000012,118000.0,2,Summer,True,False,False,False,1995,37,1,129500.0,133071.42857142858,123133.33333333336
1995-03-31,125000.0,140000.00000000012,3,Autumn,False,False,False,True,1995,38,4,130500.00000000012,134571.4285714286,124150.00000000003
1995-04-30,138000.0,125000.0,4,Autumn,False,False,False,True,1995,39,6,138000.0,133785.7142857143,124416.6666666667
