date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,100000.0,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,105000.00000000012,100000.0,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,103000.0,105000.00000000012,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,105000.00000000012,103000.0,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,105000.00000000012,105000.00000000012,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,100000.0,105000.00000000012,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,104000.0,100000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,100000.0,104000.0,8,Winter,False,True,False,False,1992,7,0,100000.0,103142.85714285719,
1992-09-30,105000.00000000012,100000.0,9,Spring,False,False,True,False,1992,8,2,105000.00000000012,103142.85714285719,
1992-10-31,100000.0,105000.00000000012,10,Spring,False,False,True,False,1992,9,5,103000.0,103142.85714285719,
1992-11-30,105000.00000000012,100000.0,11,Spring,False,False,True,False,1992,10,0,105000.00000000012,102714.28571428577,
1992-12-31,108000.00000000012,105000.00000000012,12,Summer,True,False,False,False,1992,11,3,105000.00000000012,102714.28571428577,
1993-01-31,108000.00000000012,108000.00000000012,1,Summer,True,False,False,False,1993,12,6,100000.0,103142.85714285719,
1993-02-28,102000.00000000012,108000.00000000012,2,Summer,True,False,False,False,1993,13,6,104000.0,104285.71428571435,
1993-03-31,110000.00000000012,102000.00000000012,3,Autumn,False,False,False,True,1993,14,2,100000.0,104000.00000000009,
1993-04-30,108000.00000000012,110000.00000000012,4,Autumn,False,False,False,True,1993,15,4,105000.00000000012,105428.57142857152,
1993-05-31,102000.00000000012,108000.00000000012,5,Autumn,False,False,False,True,1993,16,0,100000.0,105857.14285714296,
1993-06-30,105000.00000000012,102000.00000000012,6,Winter,False,True,False,False,1993,17,2,105000.00000000012,106142.85714285726,
1993-07-31,103000.0,105000.00000000012,7,Winter,False,True,False,False,1993,18,5,108000.00000000012,106142.85714285726,
1993-08-31,106000.00000000012,103000.0,8,Winter,False,True,False,False,1993,19,1,108000.00000000012,105428.57142857152,
1993-09-30,105000.00000000012,106000.00000000012,9,Spring,False,False,True,False,1993,20,3,102000.00000000012,105142.85714285725,
1993-10-31,105000.00000000012,105000.00000000012,10,Spring,False,False,True,False,1993,21,6,110000.00000000012,105571.42857142867,
1993-11-30,107000.0,105000.00000000012,11,Spring,False,False,True,False,1993,22,1,108000.00000000012,104857.14285714296,
1993-12-31,110000.00000000012,107000.0,12,Summer,True,False,False,False,1993,23,4,102000.00000000012,104714.2857142858,
1994-01-31,115000.00000000012,110000.00000000012,1,Summer,True,False,False,False,1994,24,0,105000.00000000012,105857.14285714294,
1994-02-28,110000.00000000012,115000.00000000012,2,Summer,True,False,False,False,1994,25,0,103000.0,107285.71428571436,
1994-03-31,114500.00000000012,110000.00000000012,3,Autumn,False,False,False,True,1994,26,3,106000.00000000012,108285.71428571439,
1994-04-30,115000.00000000012,114500.00000000012,4,Autumn,False,False,False,True,1994,27,5,105000.00000000012,109500.0000000001,
1994-05-31,115000.00000000012,115000.00000000012,5,Autumn,False,False,False,True,1994,28,1,105000.00000000012,110928.57142857152,
1994-06-30,117000.0,115000.00000000012,6,Winter,False,True,False,False,1994,29,3,107000.0,112357.14285714296,
1994-07-31,115000.00000000012,117000.0,7,Winter,False,True,False,False,1994,30,6,110000.00000000012,113785.71428571439,106583.33333333342
1994-08-31,117000.0,115000.00000000012,8,Winter,False,True,False,False,1994,31,2,115000.00000000012,114500.0000000001,107083.33333333343
1994-09-30,118000.00000000012,117000.0,9,Spring,False,False,True,False,1994,32,4,110000.00000000012,114785.71428571436,107483.33333333343
1994-10-31,119500.0,118000.00000000012,10,Spring,False,False,True,False,1994,33,0,114500.00000000012,115928.57142857151,107983.33333333343
1994-11-30,120000.0,119500.0,11,Spring,False,False,True,False,1994,34,2,115000.00000000012,116642.8571428572,108466.66666666676
1994-12-31,120000.0,120000.0,12,Summer,True,False,False,False,1994,35,5,115000.00000000012,117357.14285714291,108966.66666666674
1995-01-31,125000.00000000012,120000.0,1,Summer,True,False,False,False,1995,36,1,117000.0,118071.42857142861,109633.33333333342
1995-02-28,119000.00000000012,125000.00000000012,2,Summer,True,False,False,False,1995,37,1,115000.00000000012,119214.28571428577,110333.33333333342
