date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,123000.00000000023,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,122000.00000000012,123000.00000000023,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,125000.00000000012,122000.00000000012,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,129000.00000000012,125000.00000000012,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,128000.00000000012,129000.00000000012,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,130000.00000000023,128000.00000000012,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,124000.00000000012,130000.00000000023,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,128000.00000000012,124000.00000000012,8,Winter,False,True,False,False,1992,7,0,123000.00000000023,125857.142857143,
1992-09-30,127000.0,128000.00000000012,9,Spring,False,False,True,False,1992,8,2,122000.00000000012,126571.42857142871,
1992-10-31,130000.00000000023,127000.0,10,Spring,False,False,True,False,1992,9,5,125000.00000000012,127285.7142857144,
1992-11-30,132000.00000000012,130000.00000000023,11,Spring,False,False,True,False,1992,10,0,129000.00000000012,128000.00000000013,
1992-12-31,130000.00000000023,132000.00000000012,12,Summer,True,False,False,False,1992,11,3,128000.00000000012,128428.57142857157,
1993-01-31,120000.0,130000.00000000023,1,Summer,True,False,False,False,1993,12,6,130000.00000000023,128714.28571428587,
1993-02-28,128000.00000000012,120000.0,2,Summer,True,False,False,False,1993,13,6,124000.00000000012,127285.7142857144,
1993-03-31,127500.00000000012,128000.00000000012,3,Autumn,False,False,False,True,1993,14,2,128000.00000000012,127857.14285714297,
1993-04-30,125000.00000000012,127500.00000000012,4,Autumn,False,False,False,True,1993,15,4,127000.0,127785.7142857144,
1993-05-31,123500.00000000012,125000.00000000012,5,Autumn,False,False,False,True,1993,16,0,130000.00000000023,127500.00000000013,
1993-06-30,127000.0,123500.00000000012,6,Winter,False,True,False,False,1993,17,2,132000.00000000012,126571.42857142868,
1993-07-31,128500.0,127000.0,7,Winter,False,True,False,False,1993,18,5,130000.00000000023,125857.14285714296,
1993-08-31,125000.00000000012,128500.0,8,Winter,False,True,False,False,1993,19,1,120000.0,125642.8571428572,
1993-09-30,126000.00000000012,125000.00000000012,9,Spring,False,False,True,False,1993,20,3,128000.00000000012,126357.14285714294,
1993-10-31,127000.0,126000.00000000012,10,Spring,False,False,True,False,1993,21,6,127500.00000000012,126071.42857142865,
1993-11-30,134000.0,127000.0,11,Spring,False,False,True,False,1993,22,1,125000.00000000012,126000.00000000007,
1993-12-31,130100.0,134000.0,12,Summer,True,False,False,False,1993,23,4,123500.00000000012,127285.71428571433,
1994-01-31,127000.0,130100.0,1,Summer,True,False,False,False,1994,24,0,127000.0,128228.57142857146,
1994-02-28,135000.00000000012,127000.0,2,Summer,True,False,False,False,1994,25,0,128500.0,128228.57142857146,
1994-03-31,130000.00000000023,135000.00000000012,3,Autumn,False,False,False,True,1994,26,3,125000.00000000012,129157.14285714291,
1994-04-30,133000.00000000023,130000.00000000023,4,Autumn,False,False,False,True,1994,27,5,126000.00000000012,129871.42857142864,
1994-05-31,130000.00000000023,133000.00000000023,5,Autumn,False,False,False,True,1994,28,1,127000.0,130871.42857142865,
1994-06-30,127500.00000000012,130000.00000000023,6,Winter,False,True,False,False,1994,29,3,134000.0,131300.00000000012,
1994-07-31,130000.00000000023,127500.00000000012,7,Winter,False,True,False,False,1994,30,6,130100.0,130371.42857142871,127736.66666666677
1994-08-31,135000.00000000012,130000.00000000023,8,Winter,False,True,False,False,1994,31,2,127000.0,130357.14285714303,127970.0000000001
1994-09-30,134000.0,135000.00000000012,9,Spring,False,False,True,False,1994,32,4,135000.00000000012,131500.00000000017,128403.33333333344
1994-10-31,137000.0,134000.0,10,Spring,False,False,True,False,1994,33,0,130000.00000000023,131357.14285714302,128703.33333333344
1994-11-30,139000.00000000012,137000.0,11,Spring,False,False,True,False,1994,34,2,133000.00000000023,132357.142857143,128970.0000000001
1994-12-31,140000.00000000023,139000.00000000012,12,Summer,True,False,False,False,1994,35,5,130000.00000000023,133214.28571428583,129336.66666666676
1995-01-31,130000.00000000023,140000.00000000023,1,Summer,True,False,False,False,1995,36,1,127500.00000000012,134642.85714285725,129670.0000000001
1995-02-28,137000.0,130000.00000000023,2,Summer,True,False,False,False,1995,37,1,130000.00000000023,135000.00000000015,129870.0000000001
1995-03-31,136000.00000000012,137000.0,3,Autumn,False,False,False,True,1995,38,4,135000.00000000012,136000.0000000001,130170.00000000009
1995-04-30,140000.00000000023,136000.00000000012,4,Autumn,False,False,False,True,1995,39,6,134000.0,136142.85714285725,130470.00000000009
1995-05-31,138000.00000000012,140000.00000000023,5,Autumn,False,False,False,True,1995,40,2,137000.0,137000.00000000015,130803.33333333344
1995-06-30,130000.00000000023,138000.00000000012,6,Winter,False,True,False,False,1995,41,4,139000.00000000012,137142.8571428573,131003.33333333344
1995-07-31,135000.00000000012,130000.00000000023,7,Winter,False,True,False,False,1995,42,0,140000.00000000023,135857.14285714302,131003.33333333344
1995-08-31,130500.00000000012,135000.00000000012,8,Winter,False,True,False,False,1995,43,3,130000.00000000023,135142.8571428573,131503.33333333343
1995-09-30,137000.0,130500.00000000012,9,Spring,False,False,True,False,1995,44,5,137000.0,135214.28571428586,131586.66666666677
1995-10-31,140000.00000000023,137000.0,10,Spring,False,False,True,False,1995,45,1,136000.00000000012,135214.28571428586,131903.33333333343
1995-11-30,142500.0,140000.00000000023,11,Spring,False,False,True,False,1995,46,3,140000.00000000023,135785.71428571444,132403.33333333343
1995-12-31,150000.00000000023,142500.0,12,Summer,True,False,False,False,1995,47,6,138000.00000000012,136142.85714285725,133036.66666666677
1996-01-31,138000.00000000012,150000.00000000023,1,Summer,True,False,False,False,1996,48,2,130000.00000000023,137857.142857143,133803.33333333343
1996-02-29,140000.00000000023,138000.00000000012,2,Summer,True,False,False,False,1996,49,3,135000.00000000012,139000.00000000012,134120.00000000012
1996-03-31,144000.0,140000.00000000023,3,Autumn,False,False,False,True,1996,50,6,130500.00000000012,139714.28571428586,134620.00000000012
1996-04-30,142000.00000000012,144000.0,4,Autumn,False,False,False,True,1996,51,1,137000.0,141642.85714285725,135220.00000000012
1996-05-31,139000.00000000012,142000.00000000012,5,Autumn,False,False,False,True,1996,52,4,140000.00000000023,142357.142857143,135720.00000000012
1996-06-30,136000.00000000012,139000.00000000012,6,Winter,False,True,False,False,1996,53,6,142500.0,142214.28571428583,135886.6666666668
1996-07-31,139000.00000000012,136000.00000000012,7,Winter,False,True,False,False,1996,54,2,150000.00000000023,141285.7142857144,136083.33333333346
1996-08-31,133000.00000000023,139000.00000000012,8,Winter,False,True,False,False,1996,55,5,138000.00000000012,139714.28571428583,136483.33333333346
1996-09-30,138000.00000000012,133000.00000000023,9,Spring,False,False,True,False,1996,56,0,140000.00000000023,139000.00000000015,136416.6666666668
1996-10-31,144000.0,138000.00000000012,10,Spring,False,False,True,False,1996,57,3,144000.0,138714.28571428583,136683.33333333346
1996-11-30,155000.00000000012,144000.0,11,Spring,False,False,True,False,1996,58,5,142000.00000000012,138714.28571428583,137050.00000000012
1996-12-31,143000.00000000023,155000.00000000012,12,Summer,True,False,False,False,1996,59,1,139000.00000000012,140571.4285714287,137883.33333333346
1997-01-31,145000.00000000012,143000.00000000023,1,Summer,True,False,False,False,1997,60,4,136000.00000000012,141142.85714285728,138400.00000000012
1997-02-28,145000.00000000012,145000.00000000012,2,Summer,True,False,False,False,1997,61,4,139000.00000000012,142428.57142857157,138900.00000000012
1997-03-31,155000.00000000012,145000.00000000012,3,Autumn,False,False,False,True,1997,62,0,133000.00000000023,143285.7142857144,139233.33333333346
1997-04-30,150000.00000000023,155000.00000000012,4,Autumn,False,False,False,True,1997,63,2,138000.00000000012,146428.57142857154,139933.33333333346
1997-05-31,152000.00000000012,150000.00000000023,5,Autumn,False,False,False,True,1997,64,5,144000.0,148142.85714285728,140366.6666666668
1997-06-30,150000.00000000023,152000.00000000012,6,Winter,False,True,False,False,1997,65,0,155000.00000000012,149285.71428571444,140800.00000000012
1997-07-31,155500.00000000023,150000.00000000023,7,Winter,False,True,False,False,1997,66,3,143000.00000000023,148571.42857142873,141133.33333333346
1997-08-31,151500.00000000023,155500.00000000023,8,Winter,False,True,False,False,1997,67,6,145000.00000000012,150357.14285714302,141983.33333333346
1997-09-30,149000.00000000012,151500.00000000023,9,Spring,False,False,True,False,1997,68,1,145000.00000000012,151285.7142857145,142466.66666666683
1997-10-31,165000.00000000012,149000.00000000012,10,Spring,False,False,True,False,1997,69,4,155000.00000000012,151857.14285714304,142900.00000000015
1997-11-30,162000.00000000012,165000.00000000012,11,Spring,False,False,True,False,1997,70,6,150000.00000000023,153285.7142857145,143733.33333333346
1997-12-31,160000.00000000023,162000.00000000012,12,Summer,True,False,False,False,1997,71,2,152000.00000000012,155000.00000000017,144533.3333333335
1998-01-31,158000.00000000012,160000.00000000023,1,Summer,True,False,False,False,1998,72,5,150000.00000000023,156142.85714285733,145533.3333333335
1998-02-28,165000.00000000012,158000.00000000012,2,Summer,True,False,False,False,1998,73,5,155500.00000000023,157285.71428571446,146300.00000000012
1998-03-31,164000.00000000023,165000.00000000012,3,Autumn,False,False,False,True,1998,74,1,151500.00000000023,158642.85714285728,147450.00000000012
1998-04-30,160000.00000000023,164000.00000000023,4,Autumn,False,False,False,True,1998,75,3,149000.00000000012,160428.57142857157,148350.00000000012
1998-05-31,170000.00000000023,160000.00000000023,5,Autumn,False,False,False,True,1998,76,6,165000.00000000012,162000.00000000017,149016.66666666683
1998-06-30,160000.00000000023,170000.00000000023,6,Winter,False,True,False,False,1998,77,1,162000.00000000012,162714.2857142859,149933.3333333335
1998-07-31,155000.00000000012,160000.00000000023,7,Winter,False,True,False,False,1998,78,4,160000.00000000023,162428.57142857162,150266.66666666683
1998-08-31,162000.00000000012,155000.00000000012,8,Winter,False,True,False,False,1998,79,0,158000.00000000012,161714.2857142859,150833.3333333335
1998-09-30,165000.00000000012,162000.00000000012,9,Spring,False,False,True,False,1998,80,2,165000.00000000012,162285.7142857145,151566.6666666668
1998-10-31,164000.00000000023,165000.00000000012,10,Spring,False,False,True,False,1998,81,5,164000.00000000023,162285.7142857145,152266.6666666668
1998-11-30,165000.00000000012,164000.00000000023,11,Spring,False,False,True,False,1998,82,0,160000.00000000023,162285.7142857145,153000.00000000015
1998-12-31,175000.00000000012,165000.00000000012,12,Summer,True,False,False,False,1998,83,3,170000.00000000023,163000.00000000017,153866.66666666683
1999-01-31,168000.00000000012,175000.00000000012,1,Summer,True,False,False,False,1999,84,6,160000.00000000023,163714.28571428586,155166.66666666683
1999-02-28,175000.00000000012,168000.00000000012,2,Summer,True,False,False,False,1999,85,6,155000.00000000012,164857.142857143,156133.3333333335
1999-03-31,170000.00000000023,175000.00000000012,3,Autumn,False,False,False,True,1999,86,2,162000.00000000012,167714.28571428586,157533.3333333335
1999-04-30,174000.0,170000.00000000023,4,Autumn,False,False,False,True,1999,87,4,165000.00000000012,168857.142857143,158600.00000000017
1999-05-31,170000.00000000023,174000.0,5,Autumn,False,False,False,True,1999,88,0,164000.00000000023,170142.85714285728,159600.00000000017
1999-06-30,175000.00000000012,170000.00000000023,6,Winter,False,True,False,False,1999,89,2,165000.00000000012,171000.00000000015,160100.00000000017
1999-07-31,177000.00000000023,175000.00000000012,7,Winter,False,True,False,False,1999,90,5,175000.00000000012,172428.57142857157,161166.66666666683
1999-08-31,170000.00000000023,177000.00000000023,8,Winter,False,True,False,False,1999,91,1,168000.00000000012,172714.28571428586,162233.3333333335
1999-09-30,175000.00000000012,170000.00000000023,9,Spring,False,False,True,False,1999,92,3,175000.00000000012,173000.00000000017,163066.66666666683
1999-10-31,179000.00000000012,175000.00000000012,10,Spring,False,False,True,False,1999,93,6,170000.00000000023,173000.00000000017,163733.33333333352
1999-11-30,175000.00000000012,179000.00000000012,11,Spring,False,False,True,False,1999,94,1,174000.0,174285.7142857144,164700.00000000017
1999-12-31,185000.0000000001,175000.00000000012,12,Summer,True,False,False,False,1999,95,4,170000.00000000023,174428.5714285716,165466.66666666686
2000-01-31,184700.00000000023,185000.0000000001,1,Summer,True,False,False,False,2000,96,0,175000.00000000012,176571.4285714287,166633.3333333335
2000-02-29,185000.0000000001,184700.00000000023,2,Summer,True,False,False,False,2000,97,1,177000.00000000023,177957.14285714302,167606.66666666683
2000-03-31,179000.00000000012,185000.0000000001,3,Autumn,False,False,False,True,2000,98,4,170000.00000000023,179100.00000000017,168723.3333333335
2000-04-30,190000.0000000001,179000.00000000012,4,Autumn,False,False,False,True,2000,99,6,175000.00000000012,180385.7142857144,169723.3333333335
2000-05-31,185000.0000000001,190000.0000000001,5,Autumn,False,False,False,True,2000,100,2,179000.00000000012,182528.57142857157,170556.6666666668
2000-06-30,190000.0000000001,185000.0000000001,6,Winter,False,True,False,False,2000,101,4,175000.00000000012,183385.7142857144,171323.33333333346
2000-07-31,181500.0000000001,190000.0000000001,7,Winter,False,True,False,False,2000,102,0,185000.0000000001,185528.57142857154,172323.3333333335
2000-08-31,187000.00000000023,181500.0000000001,8,Winter,False,True,False,False,2000,103,3,184700.00000000023,185028.57142857157,173106.66666666683
2000-09-30,190000.0000000001,187000.00000000023,9,Spring,False,False,True,False,2000,104,5,185000.0000000001,185357.142857143,173840.00000000015
2000-10-31,190000.0000000001,190000.0000000001,10,Spring,False,False,True,False,2000,105,1,179000.00000000012,186071.42857142867,174706.66666666683
2000-11-30,197000.00000000023,190000.0000000001,11,Spring,False,False,True,False,2000,106,3,190000.0000000001,187642.85714285728,175706.6666666668
2000-12-31,190000.0000000001,197000.00000000023,12,Summer,True,False,False,False,2000,107,6,185000.0000000001,188642.85714285728,176606.6666666668
2001-01-31,195000.0000000001,190000.0000000001,1,Summer,True,False,False,False,2001,108,2,190000.0000000001,189357.142857143,177606.6666666668
2001-02-28,188000.0,195000.0000000001,2,Summer,True,False,False,False,2001,109,2,181500.0000000001,190071.4285714287,178940.00000000015
2001-03-31,190000.0000000001,188000.0,3,Autumn,False,False,False,True,2001,110,5,187000.00000000023,191000.0000000001,179806.66666666683
2001-04-30,194250.0000000001,190000.0000000001,4,Autumn,False,False,False,True,2001,111,0,190000.0000000001,191428.57142857154,180640.00000000012
2001-05-31,195000.0000000001,194250.0000000001,5,Autumn,False,False,False,True,2001,112,3,190000.0000000001,192035.71428571438,181648.33333333346
2001-06-30,195000.0000000001,195000.0000000001,6,Winter,False,True,False,False,2001,113,5,197000.00000000023,192750.00000000006,182648.33333333346
2001-07-31,190000.0000000001,195000.0000000001,7,Winter,False,True,False,False,2001,114,1,190000.0000000001,192464.28571428583,183315.00000000012
2001-08-31,200000.0000000001,190000.0000000001,8,Winter,False,True,False,False,2001,115,4,195000.0000000001,192464.28571428577,184048.33333333346
2001-09-30,185000.0000000001,200000.0000000001,9,Spring,False,False,True,False,2001,116,6,188000.0,193178.5714285715,184881.6666666668
2001-10-31,195000.0000000001,185000.0000000001,10,Spring,False,False,True,False,2001,117,2,190000.0000000001,192750.0000000001,185381.6666666668
2001-11-30,206500.00000000023,195000.0000000001,11,Spring,False,False,True,False,2001,118,4,194250.0000000001,193464.28571428577,186081.6666666668
