date,Price,lagged,Month,Season,Summer,Winter,Spring,Autumn,Year,Months_since_1992,DayOfWeek,Price_Lag_7,Price_Rolling_Mean_7,Price_Rolling_Mean_30
1992-01-31,70000.0,,1,Summer,True,False,False,False,1992,0,4,,,
1992-02-29,55000.00000000006,70000.0,2,Summer,True,False,False,False,1992,1,5,,,
1992-03-31,63499.99999999994,55000.00000000006,3,Autumn,False,False,False,True,1992,2,1,,,
1992-04-30,63999.99999999994,63499.99999999994,4,Autumn,False,False,False,True,1992,3,3,,,
1992-05-31,73000.0,63999.99999999994,5,Autumn,False,False,False,True,1992,4,6,,,
1992-06-30,70000.0,73000.0,6,Winter,False,True,False,False,1992,5,1,,,
1992-07-31,71999.99999999994,70000.0,7,Winter,False,True,False,False,1992,6,4,,,
1992-08-31,66000.0,71999.99999999994,8,Winter,False,True,False,False,1992,7,0,70000.0,66785.71428571428,
1992-09-30,66500.0,66000.0,9,Spring,False,False,True,False,1992,8,2,55000.00000000006,66214.2857142857,
1992-10-31,58000.0,66500.0,10,Spring,False,False,True,False,1992,9,5,63499.99999999994,67857.14285714283,
1992-11-30,51999.99999999994,58000.0,11,Spring,False,False,True,False,1992,10,0,63999.99999999994,67071.42857142855,
1992-12-31,66999.99999999994,51999.99999999994,12,Summer,True,False,False,False,1992,11,3,73000.0,65357.14285714284,
1993-01-31,59999.99999999994,66999.99999999994,1,Summer,True,False,False,False,1993,12,6,70000.0,64499.99999999998,
1993-02-28,66500.0,59999.99999999994,2,Summer,True,False,False,False,1993,13,6,71999.99999999994,63071.428571428536,
1993-03-31,71500.0,66500.0,3,Autumn,False,False,False,True,1993,14,2,66000.0,62285.71428571426,
1993-04-30,70000.0,71500.0,4,Autumn,False,False,False,True,1993,15,4,66500.0,63071.42857142854,
1993-05-31,66999.99999999994,70000.0,5,Autumn,False,False,False,True,1993,16,0,58000.0,63571.42857142854,
1993-06-30,68499.99999999994,66999.99999999994,6,Winter,False,True,False,False,1993,17,2,51999.99999999994,64857.142857142826,
1993-07-31,71999.99999999994,68499.99999999994,7,Winter,False,True,False,False,1993,18,5,66999.99999999994,67214.28571428568,
1993-08-31,66999.99999999994,71999.99999999994,8,Winter,False,True,False,False,1993,19,1,59999.99999999994,67928.57142857139,
1993-09-30,63000.0,66999.99999999994,9,Spring,False,False,True,False,1993,20,3,66500.0,68928.57142857139,
1993-10-31,70000.0,63000.0,10,Spring,False,False,True,False,1993,21,6,71500.0,68428.57142857139,
1993-11-30,78999.99999999994,70000.0,11,Spring,False,False,True,False,1993,22,1,70000.0,68214.28571428568,
1993-12-31,73000.0,78999.99999999994,12,Summer,True,False,False,False,1993,23,4,66999.99999999994,69499.99999999996,
