Date,Canterbury
1/01/2018,500529
8/01/2018,500869
15/01/2018,500794
22/01/2018,500910
29/01/2018,500729
5/02/2018,500564
12/02/2018,500729
19/02/2018,500682
26/02/2018,500853
5/03/2018,501638
12/03/2018,502093
19/03/2018,502100
26/03/2018,502113
2/04/2018,502839
9/04/2018,502524
16/04/2018,502555
23/04/2018,502428
30/04/2018,502628
7/05/2018,503312
14/05/2018,503384
21/05/2018,503369
28/05/2018,503377
4/06/2018,503466
11/06/2018,503344
18/06/2018,503770
25/06/2018,503903
2/07/2018,503330
9/07/2018,503554
16/07/2018,503651
23/07/2018,503748
30/07/2018,503942
6/08/2018,503627
13/08/2018,503731
20/08/2018,503763
27/08/2018,503725
3/09/2018,504128
10/09/2018,503998
17/09/2018,503844
24/09/2018,503578
1/10/2018,503490
8/10/2018,503434
15/10/2018,503788
22/10/2018,504121
29/10/2018,503999
5/11/2018,504662
12/11/2018,504587
19/11/2018,504039
26/11/2018,504248
3/12/2018,504793
10/12/2018,504851
17/12/2018,505047
24/12/2018,504952
31/12/2018,504946
7/01/2019,505168
14/01/2019,505076
21/01/2019,505276
28/01/2019,505285
4/02/2019,505375
11/02/2019,505527
18/02/2019,505881
25/02/2019,505938
4/03/2019,506633
11/03/2019,507038
18/03/2019,507156
25/03/2019,507430
1/04/2019,507305
8/04/2019,508534
15/04/2019,508946
22/04/2019,509161
29/04/2019,509254
6/05/2019,510282
13/05/2019,510806
20/05/2019,510670
27/05/2019,510300
3/06/2019,510833
10/06/2019,510882
17/06/2019,511135
24/06/2019,511399
1/07/2019,511150
8/07/2019,508121
15/07/2019,506862
22/07/2019,506800
29/07/2019,507870
5/08/2019,508646
12/08/2019,509817
19/08/2019,510309
26/08/2019,511016
2/09/2019,512010
9/09/2019,511387
16/09/2019,511218
23/09/2019,512274
30/09/2019,512900
7/10/2019,513976
14/10/2019,515427
21/10/2019,517290
28/10/2019,517925
4/11/2019,518267
11/11/2019,518889
18/11/2019,520544
25/11/2019,520734
2/12/2019,520370
9/12/2019,520988
16/12/2019,520959
23/12/2019,520012
30/12/2019,520492
6/01/2020,521410
13/01/2020,522737
20/01/2020,524011
27/01/2020,525472
3/02/2020,528136
10/02/2020,529203
17/02/2020,529332
24/02/2020,529613
2/03/2020,529863
9/03/2020,530514
16/03/2020,530878
23/03/2020,532200
30/03/2020,531989
6/04/2020,529201
13/04/2020,528919
20/04/2020,528895
27/04/2020,527866
4/05/2020,526039
11/05/2020,525472
18/05/2020,524587
25/05/2020,525236
1/06/2020,526680
