Area,Quarter,Version,Variable,Value,Weight
Ashburton District,2003-03,1.4,HAM_Rent_Med,0.701492537,0.003382643
Auckland: Albany Ward,2003-03,1.4,HAM_Rent_Med,0.5725,0.020194881
Auckland: Albert-Eden-Roskill Ward,2003-03,1.4,HAM_Rent_Med,0.621134021,0.048972585
Auckland: Franklin Ward,2003-03,1.4,HAM_Rent_Med,0.669398907,0.009239158
Auckland: Howick Ward,2003-03,1.4,HAM_Rent_Med,0.589446589,0.019614278
Auckland: Manukau Ward,2003-03,1.4,HAM_Rent_Med,0.751265823,0.039884889
Auckland: Manurewa-Papakura Ward,2003-03,1.4,HAM_Rent_Med,0.71292517,0.037108093
Auckland: Maungakiekie-Tamaki Ward,2003-03,1.4,HAM_Rent_Med,0.656702899,0.027868935
Auckland: North Shore Ward,2003-03,1.4,HAM_Rent_Med,0.587828492,0.036502247
Auckland: Orakei Ward,2003-03,1.4,HAM_Rent_Med,0.490888383,0.022163881
Auckland: Rodney Ward,2003-03,1.4,HAM_Rent_Med,0.643835616,0.005528349
Auckland: Waitakere Ward,2003-03,1.4,HAM_Rent_Med,0.669764117,0.035315797
Auckland: Waitemata and Gulf Ward,2003-03,1.4,HAM_Rent_Med,0.479236813,0.022492048
Auckland: Whau Ward,2003-03,1.4,HAM_Rent_Med,0.703412073,0.019235624
Buller District,2003-03,1.4,HAM_Rent_Med,0.769230769,0.001312667
Carterton District,2003-03,1.4,HAM_Rent_Med,0.8,0.000757308
Central Hawke's Bay District,2003-03,1.4,HAM_Rent_Med,0.730337079,0.00224668
Central Otago District,2003-03,1.4,HAM_Rent_Med,0.602272727,0.002221437
Christchurch City,2003-03,1.4,HAM_Rent_Med,0.713118581,0.108143586
Clutha District,2003-03,1.4,HAM_Rent_Med,0.645833333,0.001211693
Dunedin City,2003-03,1.4,HAM_Rent_Med,0.775808937,0.032766194
Far North District,2003-03,1.4,HAM_Rent_Med,0.777777778,0.007497349
Gisborne District,2003-03,1.4,HAM_Rent_Med,0.780287474,0.012293634
Gore District,2003-03,1.4,HAM_Rent_Med,0.635135135,0.001868026
Grey District,2003-03,1.4,HAM_Rent_Med,0.694117647,0.002145706
Hamilton City,2003-03,1.4,HAM_Rent_Med,0.731182796,0.053996062
Hastings District,2003-03,1.4,HAM_Rent_Med,0.783783784,0.015878225
Hauraki District,2003-03,1.4,HAM_Rent_Med,0.775510204,0.002473873
Horowhenua District,2003-03,1.4,HAM_Rent_Med,0.806866953,0.005881759
Hurunui District,2003-03,1.4,HAM_Rent_Med,0.75,0.000807795
Invercargill City,2003-03,1.4,HAM_Rent_Med,0.738738739,0.011208159
Kaikoura District,2003-03,1.4,HAM_Rent_Med,0.6875,0.000403898
Kaipara District,2003-03,1.4,HAM_Rent_Med,0.75,0.001716565
Kapiti Coast District,2003-03,1.4,HAM_Rent_Med,0.74251497,0.008431363
Kawerau District,2003-03,1.4,HAM_Rent_Med,0.816666667,0.001514616
Lower Hutt City,2003-03,1.4,HAM_Rent_Med,0.675951718,0.027187358
Mackenzie District,2003-03,1.4,HAM_Rent_Med,0.7,0.000252436
Manawatu District,2003-03,1.4,HAM_Rent_Med,0.779220779,0.003887515
Marlborough District,2003-03,1.4,HAM_Rent_Med,0.719402985,0.008456606
Masterton District,2003-03,1.4,HAM_Rent_Med,0.778301887,0.005351643
Matamata-Piako District,2003-03,1.4,HAM_Rent_Med,0.696808511,0.004745797
Napier City,2003-03,1.4,HAM_Rent_Med,0.739193084,0.017519059
Nelson City,2003-03,1.4,HAM_Rent_Med,0.699398798,0.012596557
New Plymouth District,2003-03,1.4,HAM_Rent_Med,0.736296296,0.017039431
Opotiki District,2003-03,1.4,HAM_Rent_Med,0.82,0.00126218
Otorohanga District,2003-03,1.4,HAM_Rent_Med,0.807692308,0.000656334
