Date,Auckland
1/01/2018,1074933
8/01/2018,1074331
15/01/2018,1074490
22/01/2018,1074735
29/01/2018,1075111
5/02/2018,1074948
12/02/2018,1074753
19/02/2018,1075301
26/02/2018,1075991
5/03/2018,1076695
12/03/2018,1078081
19/03/2018,1077991
26/03/2018,1079392
2/04/2018,1081184
9/04/2018,1081847
16/04/2018,1082208
23/04/2018,1082229
30/04/2018,1081730
7/05/2018,1083008
14/05/2018,1082261
21/05/2018,1082183
28/05/2018,1082797
4/06/2018,1083438
11/06/2018,1083524
18/06/2018,1084601
25/06/2018,1084371
2/07/2018,1084263
9/07/2018,1084727
16/07/2018,1084210
23/07/2018,1083186
30/07/2018,1083679
6/08/2018,1083035
13/08/2018,1083825
20/08/2018,1084279
27/08/2018,1084150
3/09/2018,1083458
10/09/2018,1082908
17/09/2018,1083319
24/09/2018,1083236
1/10/2018,1082970
8/10/2018,1082231
15/10/2018,1082131
22/10/2018,1082136
29/10/2018,1082179
5/11/2018,1080635
12/11/2018,1080496
19/11/2018,1080073
26/11/2018,1079399
3/12/2018,1077213
10/12/2018,1076319
17/12/2018,1074888
24/12/2018,1073538
31/12/2018,1072694
7/01/2019,1070862
14/01/2019,1070211
21/01/2019,1069952
28/01/2019,1069192
4/02/2019,1067756
11/02/2019,1067828
18/02/2019,1067541
25/02/2019,1067002
4/03/2019,1065552
11/03/2019,1064445
18/03/2019,1064199
25/03/2019,1064433
1/04/2019,1064787
8/04/2019,1062150
15/04/2019,1061369
22/04/2019,1060432
29/04/2019,1059928
6/05/2019,1057046
13/05/2019,1056156
20/05/2019,1054857
27/05/2019,1053658
3/06/2019,1050965
10/06/2019,1050614
17/06/2019,1049295
24/06/2019,1048716
1/07/2019,1048002
8/07/2019,1044192
15/07/2019,1043664
22/07/2019,1044531
29/07/2019,1044160
5/08/2019,1044272
12/08/2019,1044874
19/08/2019,1045574
26/08/2019,1046587
2/09/2019,1046827
9/09/2019,1046664
16/09/2019,1048831
23/09/2019,1051444
30/09/2019,1053853
7/10/2019,1057870
14/10/2019,1060310
