Date,New Zealand
1/01/2018,685639
8/01/2018,686410
15/01/2018,686224
22/01/2018,686501
29/01/2018,686874
5/02/2018,688012
12/02/2018,688470
19/02/2018,688887
26/02/2018,689485
5/03/2018,690984
12/03/2018,692085
19/03/2018,692506
26/03/2018,693091
2/04/2018,695043
9/04/2018,695902
16/04/2018,696275
23/04/2018,696211
30/04/2018,696348
7/05/2018,698227
14/05/2018,698971
21/05/2018,699193
28/05/2018,699613
4/06/2018,700774
11/06/2018,701243
18/06/2018,701955
25/06/2018,702171
2/07/2018,703079
9/07/2018,704344
16/07/2018,704065
23/07/2018,703987
30/07/2018,704591
6/08/2018,705474
13/08/2018,706134
20/08/2018,706224
27/08/2018,706749
3/09/2018,707728
10/09/2018,707885
17/09/2018,708353
24/09/2018,708188
1/10/2018,707879
8/10/2018,708652
15/10/2018,709244
22/10/2018,709482
29/10/2018,709702
5/11/2018,710189
12/11/2018,710250
19/11/2018,710308
26/11/2018,710315
3/12/2018,710671
10/12/2018,710989
17/12/2018,711133
24/12/2018,710947
31/12/2018,710813
7/01/2019,711392
14/01/2019,711476
21/01/2019,711895
28/01/2019,712343
4/02/2019,713380
11/02/2019,713939
18/02/2019,713726
25/02/2019,714549
4/03/2019,715529
11/03/2019,715644
18/03/2019,715927
25/03/2019,716343
1/04/2019,716927
8/04/2019,717228
15/04/2019,717320
22/04/2019,717419
29/04/2019,717347
6/05/2019,718146
13/05/2019,718372
20/05/2019,717423
27/05/2019,716092
3/06/2019,716272
10/06/2019,716849
17/06/2019,716703
24/06/2019,716913
1/07/2019,716982
8/07/2019,714387
15/07/2019,714988
22/07/2019,716110
29/07/2019,717079
5/08/2019,717981
12/08/2019,719248
19/08/2019,720091
26/08/2019,721526
2/09/2019,722673
9/09/2019,723716
16/09/2019,725028
23/09/2019,726961
30/09/2019,728652
7/10/2019,730778
14/10/2019,732934
21/10/2019,734802
28/10/2019,735690
4/11/2019,736715
11/11/2019,738455
18/11/2019,740155
25/11/2019,741512
2/12/2019,744187
9/12/2019,745757
16/12/2019,746005
23/12/2019,746367
30/12/2019,746104
6/01/2020,747244
13/01/2020,750066
20/01/2020,751818
27/01/2020,754147
3/02/2020,759069
10/02/2020,762284
17/02/2020,764680
24/02/2020,766784
2/03/2020,770358
9/03/2020,771460
16/03/2020,771200
23/03/2020,773190
30/03/2020,773467
6/04/2020,771225
13/04/2020,770416
20/04/2020,768411
27/04/2020,768034
4/05/2020,767419
11/05/2020,767324
18/05/2020,766908
25/05/2020,767377
1/06/2020,768629
8/06/2020,768454
15/06/2020,768043
22/06/2020,769319
29/06/2020,769244
6/07/2020,769044
13/07/2020,770173
20/07/2020,771640
27/07/2020,772832
3/08/2020,774383
10/08/2020,776461
17/08/2020,781629
24/08/2020,783748
31/08/2020,786436
7/09/2020,789760
14/09/2020,793232
21/09/2020,797247
28/09/2020,801443
5/10/2020,805934
12/10/2020,810142
19/10/2020,814728
26/10/2020,819786
2/11/2020,824996
9/11/2020,830096
16/11/2020,835364
23/11/2020,840517
30/11/2020,845269
7/12/2020,850003
14/12/2020,855025
21/12/2020,858738
28/12/2020,861878
4/01/2021,865336
11/01/2021,869212
18/01/2021,873212
25/01/2021,876527
1/02/2021,880763
8/02/2021,885326
15/02/2021,890818
22/02/2021,896173
1/03/2021,902173
8/03/2021,908391
15/03/2021,914001
22/03/2021,920424
29/03/2021,926901
5/04/2021,931754
12/04/2021,936655
19/04/2021,941394
26/04/2021,945820
3/05/2021,950049
10/05/2021,954062
17/05/2021,957586
24/05/2021,961097
31/05/2021,964639
7/06/2021,967366
14/06/2021,970033
21/06/2021,971871
28/06/2021,973168
5/07/2021,974985
12/07/2021,978177
19/07/2021,982406
26/07/2021,986369
2/08/2021,990624
9/08/2021,995067
16/08/2021,998785
23/08/2021,1003167
30/08/2021,1007431
6/09/2021,1011761
13/09/2021,1015969
20/09/2021,1020605
27/09/2021,1025658
4/10/2021,1030324
11/10/2021,1035393
18/10/2021,1040529
25/10/2021,1045597
1/11/2021,1050952
8/11/2021,1056628
15/11/2021,1062787
22/11/2021,1068236
29/11/2021,1073470
6/12/2021,1078900
13/12/2021,1083564
20/12/2021,1086341
27/12/2021,1087911
3/01/2022,1090922
10/01/2022,1094146
17/01/2022,1095815
24/01/2022,1095898
31/01/2022,1095934
7/02/2022,1096487
14/02/2022,1097118
21/02/2022,1097831
28/02/2022,1096778
7/03/2022,1095745
14/03/2022,1095648
21/03/2022,1094871
28/03/2022,1094009
4/04/2022,1092851
11/04/2022,1092311
18/04/2022,1090913
25/04/2022,1088755
2/05/2022,1085684
9/05/2022,1083285
16/05/2022,1080779
23/05/2022,1078414
30/05/2022,1076141
6/06/2022,1072864
13/06/2022,1068796
20/06/2022,1064091
27/06/2022,1060634
4/07/2022,1056703
11/07/2022,1053567
18/07/2022,1051427
25/07/2022,1049144
1/08/2022,1046161
8/08/2022,1042417
15/08/2022,1038364
22/08/2022,1034355
29/08/2022,1030245
5/09/2022,1026588
12/09/2022,1021930
19/09/2022,1017819
26/09/2022,1014764
3/10/2022,1011540
10/10/2022,1009562
17/10/2022,1007185
24/10/2022,1005746
31/10/2022,1004462
7/11/2022,1002384
14/11/2022,1000719
21/11/2022,998442
28/11/2022,995753
5/12/2022,991946
12/12/2022,989007
19/12/2022,985950
26/12/2022,983577
2/01/2023,980150
9/01/2023,978160
16/01/2023,976748
23/01/2023,975061
30/01/2023,973625
6/02/2023,972957
13/02/2023,971870
20/02/2023,970759
27/02/2023,970302
6/03/2023,968780
13/03/2023,965793
20/03/2023,964019
27/03/2023,962320
3/04/2023,960771
10/04/2023,958907
17/04/2023,956459
24/04/2023,954681
1/05/2023,952404
8/05/2023,950587
15/05/2023,949271
22/05/2023,947410
29/05/2023,945459
5/06/2023,944281
12/06/2023,944352
19/06/2023,943850
26/06/2023,943749
3/07/2023,943873
10/07/2023,944552
17/07/2023,944859
24/07/2023,945846
31/07/2023,946950
7/08/2023,947457
14/08/2023,947965
