Date,Wellington Region
1/01/2018,617110
8/01/2018,619136
15/01/2018,619548
22/01/2018,620060
29/01/2018,620495
5/02/2018,623323
12/02/2018,624488
19/02/2018,624992
26/02/2018,625512
5/03/2018,627443
12/03/2018,628206
19/03/2018,629301
26/03/2018,630367
2/04/2018,633104
9/04/2018,633942
16/04/2018,634535
23/04/2018,635213
30/04/2018,635651
7/05/2018,638385
14/05/2018,639001
21/05/2018,639615
28/05/2018,639746
4/06/2018,642714
11/06/2018,643523
18/06/2018,643561
25/06/2018,643754
2/07/2018,646142
9/07/2018,646860
16/07/2018,646966
23/07/2018,647581
30/07/2018,648233
6/08/2018,649488
13/08/2018,650224
20/08/2018,650909
27/08/2018,651292
3/09/2018,654200
10/09/2018,654226
17/09/2018,654772
24/09/2018,655722
1/10/2018,655829
8/10/2018,658571
15/10/2018,660215
22/10/2018,661015
29/10/2018,661221
5/11/2018,664314
12/11/2018,664588
19/11/2018,664828
26/11/2018,665473
3/12/2018,668206
10/12/2018,669171
17/12/2018,669651
24/12/2018,669576
31/12/2018,669982
7/01/2019,671987
14/01/2019,672220
21/01/2019,672333
28/01/2019,672916
4/02/2019,676215
11/02/2019,676940
18/02/2019,677885
25/02/2019,678959
4/03/2019,682469
11/03/2019,683570
18/03/2019,684603
25/03/2019,685566
1/04/2019,686691
8/04/2019,689038
15/04/2019,689505
22/04/2019,689839
29/04/2019,690020
6/05/2019,691587
13/05/2019,691678
20/05/2019,691652
27/05/2019,691529
3/06/2019,693260
10/06/2019,693773
17/06/2019,693870
24/06/2019,694433
1/07/2019,694612
8/07/2019,694426
15/07/2019,695977
22/07/2019,697214
29/07/2019,700091
5/08/2019,700838
12/08/2019,701696
19/08/2019,702059
26/08/2019,705095
2/09/2019,708491
9/09/2019,710543
16/09/2019,711441
23/09/2019,713386
30/09/2019,713376
7/10/2019,713435
14/10/2019,716529
21/10/2019,718458
28/10/2019,720660
4/11/2019,724394
11/11/2019,725909
18/11/2019,728332
25/11/2019,732119
2/12/2019,735608
9/12/2019,737116
16/12/2019,737946
23/12/2019,737888
30/12/2019,737475
6/01/2020,736206
13/01/2020,739468
20/01/2020,742611
27/01/2020,746134
3/02/2020,751559
10/02/2020,756767
17/02/2020,759729
24/02/2020,762474
2/03/2020,767402
9/03/2020,769248
16/03/2020,768153
23/03/2020,772110
30/03/2020,772723
6/04/2020,772899
13/04/2020,773039
20/04/2020,768452
27/04/2020,768484
4/05/2020,768382
11/05/2020,767353
18/05/2020,766582
25/05/2020,767117
1/06/2020,766919
8/06/2020,768770
15/06/2020,770437
22/06/2020,772658
29/06/2020,773924
6/07/2020,775978
13/07/2020,776923
20/07/2020,777767
27/07/2020,778570
3/08/2020,779341
10/08/2020,780309
17/08/2020,783209
24/08/2020,786831
31/08/2020,790411
7/09/2020,794523
14/09/2020,797909
21/09/2020,802581
28/09/2020,807445
5/10/2020,812692
12/10/2020,819075
19/10/2020,824637
26/10/2020,831026
2/11/2020,837508
9/11/2020,844465
16/11/2020,851056
23/11/2020,858547
30/11/2020,864915
7/12/2020,871919
14/12/2020,879122
21/12/2020,884850
28/12/2020,889539
4/01/2021,894181
11/01/2021,898583
18/01/2021,903511
25/01/2021,907929
1/02/2021,913579
8/02/2021,919852
15/02/2021,927085
22/02/2021,934427
1/03/2021,941876
8/03/2021,949415
15/03/2021,956860
22/03/2021,964454
29/03/2021,972338
5/04/2021,978925
12/04/2021,984212
19/04/2021,989880
26/04/2021,995353
3/05/2021,1000198
10/05/2021,1004776
17/05/2021,1009745
24/05/2021,1015074
31/05/2021,1019854
7/06/2021,1023583
14/06/2021,1027244
21/06/2021,1030238
28/06/2021,1031279
5/07/2021,1033819
12/07/2021,1037282
19/07/2021,1040082
26/07/2021,1043454
2/08/2021,1047075
9/08/2021,1050475
16/08/2021,1053356
23/08/2021,1056075
30/08/2021,1059057
6/09/2021,1062453
13/09/2021,1066306
20/09/2021,1069740
27/09/2021,1074507
4/10/2021,1078919
11/10/2021,1082276
18/10/2021,1086270
25/10/2021,1091399
1/11/2021,1096341
8/11/2021,1100804
15/11/2021,1104772
22/11/2021,1106287
29/11/2021,1108968
6/12/2021,1113105
13/12/2021,1117283
20/12/2021,1120864
27/12/2021,1123657
3/01/2022,1126787
10/01/2022,1129066
17/01/2022,1132408
24/01/2022,1135573
31/01/2022,1135237
7/02/2022,1137070
14/02/2022,1139052
21/02/2022,1140133
28/02/2022,1139843
7/03/2022,1140791
14/03/2022,1140363
21/03/2022,1134784
28/03/2022,1131252
4/04/2022,1126721
11/04/2022,1124343
18/04/2022,1118292
25/04/2022,1111922
2/05/2022,1105294
9/05/2022,1098501
16/05/2022,1091773
23/05/2022,1084520
30/05/2022,1077356
6/06/2022,1070490
13/06/2022,1064063
20/06/2022,1055794
27/06/2022,1047989
4/07/2022,1040210
11/07/2022,1033535
18/07/2022,1026553
25/07/2022,1019625
1/08/2022,1013882
8/08/2022,1006516
15/08/2022,999050
22/08/2022,991051
29/08/2022,982660
5/09/2022,975575
12/09/2022,966483
19/09/2022,958390
26/09/2022,951871
3/10/2022,944259
10/10/2022,939452
17/10/2022,932496
24/10/2022,926516
31/10/2022,922820
7/11/2022,918941
14/11/2022,916126
21/11/2022,913191
28/11/2022,909380
5/12/2022,905094
12/12/2022,902221
19/12/2022,899122
26/12/2022,896393
2/01/2023,894276
9/01/2023,893953
16/01/2023,893636
23/01/2023,891183
30/01/2023,887806
6/02/2023,885433
13/02/2023,881744
20/02/2023,878412
27/02/2023,877006
6/03/2023,875176
13/03/2023,875574
20/03/2023,875640
27/03/2023,874924
3/04/2023,875225
10/04/2023,874603
17/04/2023,872856
24/04/2023,871113
1/05/2023,867346
8/05/2023,863599
15/05/2023,861300
22/05/2023,858929
29/05/2023,857181
5/06/2023,856176
12/06/2023,856003
19/06/2023,855157
26/06/2023,855831
3/07/2023,854998
10/07/2023,855430
17/07/2023,856347
24/07/2023,858136
31/07/2023,857941
7/08/2023,859017
14/08/2023,860325
