,date,Northland,lagged,house_sales,house_price_index,total_value_housing_stock,residential_investment_gdp
0,1992-03-31,93474.09152086126,100422.27456258412,18659.0,468.0,125000.0,1498
1,1992-06-30,93474.09152086126,93474.09152086126,18560.0,467.0,127000.0,1701
2,1992-09-30,93474.09152086126,97940.7806191116,18946.0,470.0,128000.0,1576
3,1992-12-31,111340.84791386269,93474.09152086126,18646.0,477.0,129000.0,1757
4,1993-03-31,96451.88425302808,100422.27456258412,19960.0,481.0,131000.0,1555
5,1993-06-30,94466.68909825035,105385.2624495288,20441.0,482.0,133000.0,1887
6,1993-09-30,108363.05518169572,94466.68909825035,23894.0,491.0,136000.0,1979
7,1993-12-31,102407.46971736196,100422.27456258412,25509.0,503.0,140000.0,2090
8,1994-03-31,109851.95154777926,105385.2624495288,29856.0,520.0,148000.0,1793
9,1994-06-30,102407.46971736196,114318.6406460296,27811.0,536.0,154000.0,2274
10,1994-09-30,103400.06729475084,110348.25033647356,26720.0,554.0,160000.0,2271
11,1994-12-31,115311.2382234186,113326.04306864052,24298.0,572.0,164000.0,2248
12,1995-03-31,105385.2624495288,115311.2382234186,23431.0,579.0,168000.0,2013
13,1995-06-30,130200.20188425283,113326.04306864052,24507.0,585.0,172000.0,2361
14,1995-09-30,117296.43337819644,111340.84791386269,26185.0,599.0,177000.0,2145
15,1995-12-31,105385.2624495288,115311.2382234186,27302.0,621.0,183000.0,2285
16,1996-03-31,122755.72005383576,117594.21265141317,34597.0,653.0,192000.0,2088
17,1996-06-30,120274.22611036326,122259.42126514122,25087.0,663.0,196000.0,2379
18,1996-09-30,125237.21399730803,117296.43337819644,22890.0,662.0,197000.0,2221
19,1996-12-31,125237.21399730803,132185.3970390308,26434.0,680.0,201000.0,2435
20,1997-03-31,134170.59219380887,133177.99461641978,29121.0,696.0,209000.0,2281
21,1997-06-30,140126.17765814252,144096.56796769856,27144.0,702.0,215000.0,2486
22,1997-09-30,145089.16554508742,145089.16554508742,25186.0,706.0,218000.0,2508
23,1997-12-31,153029.94616419903,149059.55585464323,24388.0,715.0,221000.0,2531
24,1998-03-31,155015.1413189771,146578.06191117095,21160.0,709.0,220000.0,2067
25,1998-06-30,149555.85464333778,159978.12920592178,18367.0,688.0,218000.0,2203
26,1998-09-30,142111.37281292048,162955.92193808872,20564.0,677.0,219000.0,2016
27,1998-12-31,144096.56796769856,158489.23283983837,24762.0,690.0,221000.0,2153
28,1999-03-31,155015.1413189771,147074.36069986527,26129.0,701.0,223000.0,1969
29,1999-06-30,155015.1413189771,157496.6352624494,24266.0,705.0,226000.0,2284
30,1999-09-30,157000.33647375496,146081.7631224763,23196.0,706.0,227000.0,2439
31,1999-12-31,149059.55585464323,148811.406460296,22033.0,705.0,227000.0,2525
32,2000-03-31,155015.1413189771,135163.18977119785,22891.0,705.0,229000.0,2706
33,2000-06-30,157992.93405114405,140126.17765814252,19733.0,698.0,229000.0,2298
34,2000-09-30,145089.16554508742,143103.97039030946,18448.0,697.0,232000.0,2386
35,2000-12-31,142111.37281292048,164941.1170928668,18372.0,697.0,232000.0,2099
36,2001-03-31,151541.04979811562,166926.31224764453,22740.0,701.0,236000.0,1848
37,2001-06-30,165437.41588156112,164941.1170928668,22584.0,700.0,238000.0,2082
38,2001-09-30,140126.17765814252,159978.12920592178,22433.0,706.0,241000.0,2109
39,2001-12-31,173378.19650067296,162955.92193808872,26407.0,718.0,246000.0,2539
