Unnamed: 0,House sales,House price index (HPI),Total value of housing stock,Residential investment (GDP),Date
,(Number),(Index),($m),(Real $m),1989-12-31
Notes,,,Yes,,1990-03-31
Unit,no,Index,NZDm,NZDm(r),1990-06-30
Series Id,QVB.Q.MR0H01.na,HPI.Q.H01T0.ia,HHAL.QC1,GDE.Q.EI24.RA,1990-09-30
1990-03-31 00:00:00,22850,477,123000,1790,1990-12-31
1990-06-30 00:00:00,22687,480,125000,2043,1991-03-31
1990-09-30 00:00:00,20174,483,126000,1873,1991-06-30
1990-12-31 00:00:00,17478,482,126000,1985,1991-09-30
1991-03-31 00:00:00,17338,479,124000,1567,1991-12-31
1991-06-30 00:00:00,17903,470,123000,1626,1992-03-31
1991-09-30 00:00:00,17774,468,125000,1541,1992-06-30
1991-12-31 00:00:00,16789,466,125000,1684,1992-09-30
1992-03-31 00:00:00,18659,468,125000,1498,1992-12-31
1992-06-30 00:00:00,18560,467,127000,1701,1993-03-31
1992-09-30 00:00:00,18946,470,128000,1576,1993-06-30
1992-12-31 00:00:00,18646,477,129000,1757,1993-09-30
1993-03-31 00:00:00,19960,481,131000,1555,1993-12-31
1993-06-30 00:00:00,20441,482,133000,1887,1994-03-31
1993-09-30 00:00:00,23894,491,136000,1979,1994-06-30
1993-12-31 00:00:00,25509,503,140000,2090,1994-09-30
1994-03-31 00:00:00,29856,520,148000,1793,1994-12-31
1994-06-30 00:00:00,27811,536,154000,2274,1995-03-31
1994-09-30 00:00:00,26720,554,160000,2271,1995-06-30
1994-12-31 00:00:00,24298,572,164000,2248,1995-09-30
1995-03-31 00:00:00,23431,579,168000,2013,1995-12-31
1995-06-30 00:00:00,24507,585,172000,2361,1996-03-31
1995-09-30 00:00:00,26185,599,177000,2145,1996-06-30
1995-12-31 00:00:00,27302,621,183000,2285,1996-09-30
1996-03-31 00:00:00,34597,653,192000,2088,1996-12-31
1996-06-30 00:00:00,25087,663,196000,2379,1997-03-31
1996-09-30 00:00:00,22890,662,197000,2221,1997-06-30
