Area,Date,Version,HAM_Buy_10,HAM_Buy_Index,HAM_Buy_Med,HAM_Buy_PC,HAM_Rent_10,HAM_Rent_Index,HAM_Rent_Med,HAM_Rent_PC
Ashburton District,2003-03-01,1.4,0.19379845,1017.362675,0.697674419,0.333333333,0.111940299,1022.93033,0.701492537,0.179104478
Ashburton District,2003-06-01,1.4,0.207142857,1052.001451,0.721428571,0.328571429,0.118055556,1032.905715,0.708333333,0.1875
Ashburton District,2003-09-01,1.4,0.207792208,1060.523515,0.727272727,0.344155844,0.132075472,1036.344913,0.710691824,0.213836478
Ashburton District,2003-12-01,1.4,0.204819277,1071.703733,0.734939759,0.385542169,0.110465116,1000.40663,0.686046512,0.186046512
Ashburton District,2004-03-01,1.4,0.237288136,1087.485978,0.745762712,0.435028249,0.120218579,1019.957042,0.699453552,0.207650273
Ashburton District,2004-06-01,1.4,0.241758242,1073.634382,0.736263736,0.456043956,0.116402116,1018.439248,0.698412698,0.19047619
Ashburton District,2004-09-01,1.4,0.270833333,1116.44956,0.765625,0.494791667,0.115577889,1011.227825,0.693467337,0.195979899
Ashburton District,2004-12-01,1.4,0.263959391,1080.711145,0.741116751,0.472081218,0.12745098,1007.887238,0.691176471,0.191176471
Ashburton District,2005-03-01,1.4,0.267676768,1104.711996,0.757575758,0.48989899,0.111650485,991.023187,0.67961165,0.184466019
Ashburton District,2005-06-01,1.4,0.317535545,1105.759116,0.758293839,0.545023697,0.128440367,996.6731896,0.683486239,0.21559633
Ashburton District,2005-09-01,1.4,0.305555556,1086.913857,0.74537037,0.537037037,0.121076233,980.8653589,0.67264574,0.215246637
Ashburton District,2005-12-01,1.4,0.314553991,1067.99199,0.732394366,0.568075117,0.109090909,961.0994355,0.659090909,0.181818182
Ashburton District,2006-03-01,1.4,0.325688073,1076.94217,0.73853211,0.610091743,0.110619469,967.8450219,0.663716814,0.185840708
Ashburton District,2006-06-01,1.4,0.345794393,1110.700153,0.761682243,0.635514019,0.099547511,989.7419688,0.678733032,0.180995475
Ashburton District,2006-09-01,1.4,0.352173913,1134.875436,0.77826087,0.639130435,0.113445378,1004.82375,0.68907563,0.193277311
Ashburton District,2006-12-01,1.4,0.370044053,1117.75441,0.766519824,0.656387665,0.11440678,976.26582,0.669491525,0.203389831
Ashburton District,2007-03-01,1.4,0.381578947,1151.226184,0.789473684,0.692982456,0.09787234,986.6253346,0.676595745,0.2
Ashburton District,2007-06-01,1.4,0.392405063,1175.189824,0.805907173,0.751054852,0.093495935,1007.712894,0.691056911,0.207317073
Ashburton District,2007-09-01,1.4,0.403162055,1135.451806,0.778656126,0.735177866,0.103448276,960.9724567,0.659003831,0.206896552
Ashburton District,2007-12-01,1.4,0.411067194,1170.034096,0.802371542,0.782608696,0.111538462,970.2770424,0.665384615,0.215384615
Ashburton District,2008-03-01,1.4,0.4,1128.056853,0.773584906,0.758490566,0.091575092,966.805091,0.663003663,0.223443223
Ashburton District,2008-06-01,1.4,0.391143911,1146.128504,0.78597786,0.771217712,0.107526882,946.0135841,0.64874552,0.23655914
Ashburton District,2008-09-01,1.4,0.375,1119.704515,0.767857143,0.725,0.107638889,956.9567657,0.65625,0.222222222
Ashburton District,2008-12-01,1.4,0.357388316,1082.389979,0.742268041,0.652920962,0.110367893,931.5049777,0.638795987,0.234113712
Ashburton District,2009-03-01,1.4,0.324137931,1050.923949,0.720689655,0.593103448,0.100334448,931.5049777,0.638795987,0.220735786
Ashburton District,2009-06-01,1.4,0.350340136,1076.305115,0.738095238,0.676870748,0.108910891,957.7087361,0.656765677,0.240924092
Ashburton District,2009-09-01,1.4,0.347540984,1104.422234,0.757377049,0.675409836,0.104761905,976.7758251,0.66984127,0.225396825
Ashburton District,2009-12-01,1.4,0.349206349,1134.170982,0.777777778,0.688888889,0.097859327,967.6871682,0.663608563,0.211009174
Ashburton District,2010-03-01,1.4,0.351515152,1095.8743,0.751515152,0.690909091,0.114369501,979.2737295,0.671554252,0.234604106
Ashburton District,2010-06-01,1.4,0.333333333,1107.896751,0.75975976,0.654654655,0.100864553,966.5434047,0.662824207,0.233429395
Ashburton District,2010-09-01,1.4,0.308571429,1087.415362,0.745714286,0.622857143,0.101648352,961.4636259,0.659340659,0.21978022
Ashburton District,2010-12-01,1.4,0.299435028,1083.366712,0.742937853,0.598870056,0.097826087,982.7133653,0.673913043,0.225543478
Ashburton District,2011-03-01,1.4,0.305322129,1086.516738,0.745098039,0.621848739,0.112903226,999.5861762,0.685483871,0.233870968
Ashburton District,2011-06-01,1.4,0.322077922,1098.399355,0.753246753,0.61038961,0.134328358,986.6562051,0.676616915,0.251243781
Ashburton District,2011-09-01,1.4,0.312820513,1088.056337,0.746153846,0.607692308,0.131707317,988.744179,0.67804878,0.248780488
Ashburton District,2011-12-01,1.4,0.308093995,1062.254134,0.72845953,0.592689295,0.122194514,960.0250279,0.658354115,0.234413965
Ashburton District,2012-03-01,1.4,0.309090909,1049.160763,0.719480519,0.571428571,0.126237624,931.239398,0.638613861,0.24009901
Ashburton District,2012-06-01,1.4,0.293670886,1033.674818,0.708860759,0.539240506,0.122009569,934.9352037,0.641148325,0.244019139
Ashburton District,2012-09-01,1.4,0.278195489,1034.276223,0.709273183,0.543859649,0.115566038,938.9009783,0.643867925,0.242924528
Ashburton District,2012-12-01,1.4,0.271099744,1006.954872,0.690537084,0.52685422,0.110311751,898.7110238,0.616306954,0.23501199
Ashburton District,2013-03-01,1.4,0.2725173,986.7400308,0.6766744,0.5381062,0.1139785,878.0678018,0.6021505,0.2150538
Ashburton District,2013-06-01,1.4,0.284337349,966.2902505,0.662650602,0.53253012,0.108108108,850.6282357,0.583333333,0.211711712
Ashburton District,2013-09-01,1.4,0.274881517,974.4502197,0.668246445,0.566350711,0.099778271,843.8921875,0.578713969,0.206208426
Ashburton District,2013-12-01,1.4,0.274271845,973.3263449,0.667475728,0.553398058,0.085972851,828.0841133,0.567873303,0.196832579
Ashburton District,2014-03-01,1.4,0.28125,967.4727734,0.663461538,0.574519231,0.089686099,837.0051056,0.573991031,0.210762332
Ashburton District,2014-06-01,1.4,0.289855072,979.1910965,0.671497585,0.589371981,0.093959732,851.4437947,0.583892617,0.219239374
Ashburton District,2014-09-01,1.4,0.269230769,953.4514298,0.653846154,0.564903846,0.083150985,823.2400805,0.564551422,0.216630197
Ashburton District,2014-12-01,1.4,0.284337349,945.2075545,0.648192771,0.542168675,0.093886463,815.0748413,0.558951965,0.213973799
Ashburton District,2015-03-01,1.4,0.262135922,906.0783426,0.621359223,0.536407767,0.094713656,802.9844898,0.550660793,0.218061674
Ashburton District,2015-06-01,1.4,0.269417476,923.7751863,0.633495146,0.526699029,0.105263158,831.4411337,0.570175439,0.23245614
Ashburton District,2015-09-01,1.4,0.246411483,917.4923834,0.629186603,0.509569378,0.098924731,843.5723342,0.578494624,0.238709677
Ashburton District,2015-12-01,1.4,0.248175182,926.0228134,0.635036496,0.523114355,0.102396514,835.5377252,0.572984749,0.237472767
Ashburton District,2016-03-01,1.4,0.262295082,908.399241,0.62295082,0.536299766,0.100208768,806.7395736,0.553235908,0.244258873
Ashburton District,2016-06-01,1.4,0.252983294,915.3026636,0.627684964,0.534606205,0.089361702,812.8799929,0.557446809,0.242553191
Ashburton District,2016-09-01,1.4,0.253488372,919.0176157,0.630232558,0.546511628,0.095435685,813.8197821,0.558091286,0.246887967
Ashburton District,2016-12-01,1.4,0.269879518,969.8040338,0.665060241,0.578313253,0.1069869,856.4653613,0.587336245,0.262008734
Ashburton District,2017-03-01,1.4,0.278422274,987.9354795,0.6774942,0.559164733,0.112970711,875.5420338,0.60041841,0.251046025
Ashburton District,2017-06-01,1.4,0.281105991,974.3865247,0.668202765,0.566820276,0.107142857,836.3319636,0.573529412,0.245798319
Ashburton District,2017-09-01,1.4,0.292951542,973.2172015,0.667400881,0.559471366,0.12145749,861.9437066,0.591093117,0.259109312
Ashburton District,2017-12-01,1.4,0.284444444,962.42509,0.66,0.566666667,0.106557377,857.6005986,0.588114754,0.25
Ashburton District,2018-03-01,1.4,0.280353201,946.3943297,0.649006623,0.554083885,0.104294479,843.9186352,0.578732106,0.243353783
Ashburton District,2018-06-01,1.4,0.275862069,933.3864021,0.640086207,0.551724138,0.116465863,831.5952456,0.570281124,0.248995984
Ashburton District,2018-09-01,1.4,0.26349892,925.9538469,0.634989201,0.537796976,0.110663984,821.532301,0.563380282,0.249496982
Ashburton District,2018-12-01,1.4,0.262472885,929.9710005,0.637744035,0.537960954,0.107070707,818.9598262,0.561616162,0.248484848
Auckland Region,2003-03-01,1.4,0.267355754,1008.628297,0.691684665,0.61871336,0.15816888,925.1474674,0.634436212,0.399237033
Auckland Region,2003-06-01,1.4,0.266527071,1007.842335,0.691145678,0.618007777,0.161503952,931.3375829,0.638681193,0.404685608
Auckland Region,2003-09-01,1.4,0.281987233,1018.588611,0.698515126,0.62961421,0.159132963,930.516172,0.638117896,0.386069257
Auckland Region,2003-12-01,1.4,0.307579004,1043.287168,0.715452598,0.675549009,0.155051599,925.8553369,0.634921646,0.381067652
Auckland Region,2004-03-01,1.4,0.311214893,1034.95112,0.709736006,0.683531167,0.150657042,914.0300766,0.626812265,0.376580912
Auckland Region,2004-06-01,1.4,0.317056524,1036.686905,0.710926351,0.692312465,0.14975189,910.4398286,0.624350189,0.374232042
Auckland Region,2004-09-01,1.4,0.328087744,1042.641088,0.715009537,0.703445398,0.151060322,909.0556863,0.623400989,0.372164421
Auckland Region,2004-12-01,1.4,0.322654857,1031.581294,0.707425088,0.694024271,0.14594446,900.8326432,0.617761892,0.359252131
Auckland Region,2005-03-01,1.4,0.339790428,1041.031027,0.713905409,0.721098839,0.145221686,893.5919226,0.61279644,0.354696912
Auckland Region,2005-06-01,1.4,0.347152225,1048.325168,0.718907495,0.733593454,0.142923989,894.5375797,0.613444941,0.353592596
Auckland Region,2005-09-01,1.4,0.342774566,1043.12909,0.715344193,0.727640568,0.140152471,891.7764856,0.611551472,0.347553895
Auckland Region,2005-12-01,1.4,0.359422847,1056.636067,0.724606841,0.754554419,0.136041521,884.3341355,0.606447749,0.339904182
Auckland Region,2006-03-01,1.4,0.35847621,1055.016206,0.723495993,0.756568936,0.137271174,882.7622241,0.605369783,0.339614352
Auckland Region,2006-06-01,1.4,0.365266776,1064.552057,0.730035371,0.762417177,0.141903573,891.7101118,0.611505955,0.342777564
Auckland Region,2006-09-01,1.4,0.37171342,1073.176252,0.735949565,0.771625452,0.142567536,895.0338979,0.6137853,0.337466409
Auckland Region,2006-12-01,1.4,0.372727273,1069.951966,0.733738454,0.775012154,0.137476548,887.5853081,0.608677298,0.330581614
Auckland Region,2007-03-01,1.4,0.397588639,1091.719099,0.74866565,0.80284979,0.13983538,892.0842721,0.611762542,0.333793167
Auckland Region,2007-06-01,1.4,0.427162581,1121.228202,0.768902038,0.839814032,0.140100557,896.5835948,0.614848032,0.335462246
Auckland Region,2007-09-01,1.4,0.431986211,1123.742685,0.770626389,0.847416882,0.138519426,890.8436974,0.610911796,0.336585579
Auckland Region,2007-12-01,1.4,0.432586044,1121.965615,0.769407732,0.845956065,0.13692368,890.2702218,0.610518525,0.333667117
Auckland Region,2008-03-01,1.4,0.431298905,1117.805537,0.766554885,0.849899396,0.134442911,882.3386915,0.605079338,0.330846844
Auckland Region,2008-06-01,1.4,0.432676303,1118.607269,0.767104687,0.850722733,0.138817372,888.484426,0.609293884,0.334402566
Auckland Region,2008-09-01,1.4,0.411628007,1103.972255,0.757068468,0.82536472,0.13983578,890.2675781,0.610516712,0.334453015
Auckland Region,2008-12-01,1.4,0.364467861,1054.40511,0.723076923,0.764425711,0.134301712,877.9730627,0.602085531,0.328045119
Auckland Region,2009-03-01,1.4,0.329067489,1022.072961,0.700904581,0.706740589,0.136006415,885.9240938,0.607538091,0.333801123
Auckland Region,2009-06-01,1.4,0.363002175,1055.861503,0.72407567,0.75944848,0.142107754,898.6048231,0.616234125,0.347203597
Auckland Region,2009-09-01,1.4,0.384288494,1083.052112,0.74272211,0.783351205,0.145376804,909.4250286,0.623654272,0.340306941
Auckland Region,2009-12-01,1.4,0.407544204,1105.84058,0.758349705,0.810137525,0.14794241,918.6404734,0.629973926,0.340588747
Auckland Region,2010-03-01,1.4,0.407685135,1103.5514,0.756779859,0.808920662,0.147364098,921.0239294,0.631608423,0.344422043
Auckland Region,2010-06-01,1.4,0.398657461,1097.832017,0.752857691,0.797621787,0.147214854,920.5200721,0.631262894,0.345195992
Auckland Region,2010-09-01,1.4,0.381300905,1085.441419,0.74436062,0.766542807,0.151275317,928.7974295,0.636939238,0.346728064
Auckland Region,2010-12-01,1.4,0.380020062,1089.506968,0.747148642,0.759297098,0.156629078,939.0684665,0.643982783,0.345274092
Auckland Region,2011-03-01,1.4,0.379493811,1087.697838,0.745907999,0.758174764,0.158728475,938.3735635,0.643506241,0.345496977
Auckland Region,2011-06-01,1.4,0.382867455,1092.067187,0.748904357,0.75995286,0.162232545,945.513107,0.648402309,0.348852759
Auckland Region,2011-09-01,1.4,0.381888913,1087.808254,0.745983719,0.757042,0.162999073,941.742989,0.645816884,0.345875245
Auckland Region,2011-12-01,1.4,0.373471994,1076.33172,0.738113483,0.747564313,0.159843039,937.358313,0.642810015,0.342466229
Auckland Region,2012-03-01,1.4,0.367302133,1070.200709,0.733909034,0.738043836,0.161656091,935.7909235,0.64173515,0.344290717
Auckland Region,2012-06-01,1.4,0.359928691,1067.164809,0.731827112,0.7285891,0.15783335,934.0290469,0.640526912,0.343761792
Auckland Region,2012-09-01,1.4,0.36293729,1065.170651,0.730459583,0.731434348,0.15813355,932.7432164,0.639645131,0.345591223
Auckland Region,2012-12-01,1.4,0.366507704,1067.346307,0.731951577,0.740425532,0.153299458,924.8175772,0.634209984,0.346219872
Auckland Region,2013-03-01,1.4,0.3556662,1048.896797,0.7192995,0.7415179,0.1492347,903.0403997,0.6192759,0.3224683
Auckland Region,2013-06-01,1.4,0.370296054,1063.776167,0.729503291,0.764600275,0.153112237,909.3326431,0.623590917,0.335925502
Auckland Region,2013-09-01,1.4,0.398571226,1088.868778,0.746710992,0.800183902,0.153619391,911.1844015,0.624860793,0.336619718
Auckland Region,2013-12-01,1.4,0.409603222,1095.197646,0.751051125,0.816061902,0.150984611,904.1609542,0.62004434,0.334800469
Auckland Region,2014-03-01,1.4,0.422223007,1106.828538,0.759027214,0.832797995,0.148780725,898.5024371,0.616163912,0.335746988
Auckland Region,2014-06-01,1.4,0.423834306,1109.176216,0.760637176,0.835325972,0.149456696,896.8900484,0.615058188,0.339870122
Auckland Region,2014-09-01,1.4,0.423490401,1105.091414,0.757835951,0.833089005,0.148734776,891.8449315,0.61159841,0.340379883
Auckland Region,2014-12-01,1.4,0.423345678,1103.625114,0.75683041,0.837397806,0.144428773,883.5244502,0.605892493,0.335997493
Auckland Region,2015-03-01,1.4,0.421695152,1099.28515,0.753854203,0.838611789,0.141384893,871.8536476,0.597889034,0.333177657
Auckland Region,2015-06-01,1.4,0.432294025,1106.987228,0.759136039,0.850792545,0.141776996,869.9456106,0.596580564,0.337314446
Auckland Region,2015-09-01,1.4,0.43591958,1109.129622,0.760605223,0.861026669,0.129444715,856.3845235,0.587280809,0.331709693
Auckland Region,2015-12-01,1.4,0.425852498,1099.685694,0.754128883,0.855566666,0.126871077,847.2250189,0.580999517,0.332236842
Auckland Region,2016-03-01,1.4,0.422466129,1092.001839,0.748859544,0.857211456,0.122680351,828.2156141,0.567963482,0.327585178
Auckland Region,2016-06-01,1.4,0.430642314,1099.011418,0.753666486,0.865969582,0.121261139,824.4703996,0.565395135,0.331637305
Auckland Region,2016-09-01,1.4,0.445570295,1107.881571,0.75974935,0.879508033,0.129353665,823.0228787,0.564402472,0.334892855
Auckland Region,2016-12-01,1.4,0.457883733,1114.660959,0.764398435,0.890612355,0.127561641,818.9099915,0.561581987,0.342431616
Auckland Region,2017-03-01,1.4,0.449524434,1110.045337,0.761233191,0.888619219,0.122259913,804.3258115,0.551580628,0.32615946
Auckland Region,2017-06-01,1.4,0.447712524,1107.424108,0.759435637,0.889678107,0.120113537,797.3634403,0.546806059,0.328780597
Auckland Region,2017-09-01,1.4,0.439593491,1097.51979,0.752643576,0.885708858,0.118686659,789.4110296,0.541352553,0.325573689
Auckland Region,2017-12-01,1.4,0.429457461,1086.082351,0.74480015,0.881875705,0.113639479,774.9853727,0.531459904,0.319533927
Auckland Region,2018-03-01,1.4,0.42998784,1085.1287,0.744146167,0.883858697,0.115366715,772.6844491,0.529882005,0.321542968
Auckland Region,2018-06-01,1.4,0.419977925,1072.696482,0.735620554,0.878955114,0.112049884,760.1668581,0.521297846,0.318495924
Auckland Region,2018-09-01,1.4,0.403912925,1055.724567,0.723981764,0.868753963,0.106724523,750.2666041,0.514508572,0.31628687
Auckland Region,2018-12-01,1.4,0.391428827,1032.117483,0.707792789,0.855387552,0.107197509,737.1123895,0.505487837,0.313730146
Auckland Total,2003-03-01,1.4,0.267355754,1008.628297,0.691684665,0.61871336,0.15816888,925.1474674,0.634436212,0.399237033
Auckland Total,2003-06-01,1.4,0.266527071,1007.842335,0.691145678,0.618007777,0.161503952,931.3375829,0.638681193,0.404685608
Auckland Total,2003-09-01,1.4,0.281987233,1018.588611,0.698515126,0.62961421,0.159132963,930.516172,0.638117896,0.386069257
Auckland Total,2003-12-01,1.4,0.307579004,1043.287168,0.715452598,0.675549009,0.155051599,925.8553369,0.634921646,0.381067652
Auckland Total,2004-03-01,1.4,0.311214893,1034.95112,0.709736006,0.683531167,0.150657042,914.0300766,0.626812265,0.376580912
Auckland Total,2004-06-01,1.4,0.317056524,1036.686905,0.710926351,0.692312465,0.14975189,910.4398286,0.624350189,0.374232042
Auckland Total,2004-09-01,1.4,0.328087744,1042.641088,0.715009537,0.703445398,0.151060322,909.0556863,0.623400989,0.372164421
Auckland Total,2004-12-01,1.4,0.322654857,1031.581294,0.707425088,0.694024271,0.14594446,900.8326432,0.617761892,0.359252131
Auckland Total,2005-03-01,1.4,0.339790428,1041.031027,0.713905409,0.721098839,0.145221686,893.5919226,0.61279644,0.354696912
Auckland Total,2005-06-01,1.4,0.347152225,1048.325168,0.718907495,0.733593454,0.142923989,894.5375797,0.613444941,0.353592596
Auckland Total,2005-09-01,1.4,0.342774566,1043.12909,0.715344193,0.727640568,0.140152471,891.7764856,0.611551472,0.347553895
Auckland Total,2005-12-01,1.4,0.359422847,1056.636067,0.724606841,0.754554419,0.136041521,884.3341355,0.606447749,0.339904182
Auckland Total,2006-03-01,1.4,0.35847621,1055.016206,0.723495993,0.756568936,0.137271174,882.7622241,0.605369783,0.339614352
Auckland Total,2006-06-01,1.4,0.365266776,1064.552057,0.730035371,0.762417177,0.141903573,891.7101118,0.611505955,0.342777564
Auckland Total,2006-09-01,1.4,0.37171342,1073.176252,0.735949565,0.771625452,0.142567536,895.0338979,0.6137853,0.337466409
Auckland Total,2006-12-01,1.4,0.372727273,1069.951966,0.733738454,0.775012154,0.137476548,887.5853081,0.608677298,0.330581614
Auckland Total,2007-03-01,1.4,0.397588639,1091.719099,0.74866565,0.80284979,0.13983538,892.0842721,0.611762542,0.333793167
Auckland Total,2007-06-01,1.4,0.427162581,1121.228202,0.768902038,0.839814032,0.140100557,896.5835948,0.614848032,0.335462246
Auckland Total,2007-09-01,1.4,0.431986211,1123.742685,0.770626389,0.847416882,0.138519426,890.8436974,0.610911796,0.336585579
Auckland Total,2007-12-01,1.4,0.432586044,1121.965615,0.769407732,0.845956065,0.13692368,890.2702218,0.610518525,0.333667117
Auckland Total,2008-03-01,1.4,0.431298905,1117.805537,0.766554885,0.849899396,0.134442911,882.3386915,0.605079338,0.330846844
Auckland Total,2008-06-01,1.4,0.432676303,1118.607269,0.767104687,0.850722733,0.138817372,888.484426,0.609293884,0.334402566
Auckland Total,2008-09-01,1.4,0.411628007,1103.972255,0.757068468,0.82536472,0.13983578,890.2675781,0.610516712,0.334453015
Auckland Total,2008-12-01,1.4,0.364467861,1054.40511,0.723076923,0.764425711,0.134301712,877.9730627,0.602085531,0.328045119
Auckland Total,2009-03-01,1.4,0.329067489,1022.072961,0.700904581,0.706740589,0.136006415,885.9240938,0.607538091,0.333801123
Auckland Total,2009-06-01,1.4,0.363002175,1055.861503,0.72407567,0.75944848,0.142107754,898.6048231,0.616234125,0.347203597
Auckland Total,2009-09-01,1.4,0.384288494,1083.052112,0.74272211,0.783351205,0.145376804,909.4250286,0.623654272,0.340306941
Auckland Total,2009-12-01,1.4,0.407544204,1105.84058,0.758349705,0.810137525,0.14794241,918.6404734,0.629973926,0.340588747
Auckland Total,2010-03-01,1.4,0.407685135,1103.5514,0.756779859,0.808920662,0.147364098,921.0239294,0.631608423,0.344422043
Auckland Total,2010-06-01,1.4,0.398657461,1097.832017,0.752857691,0.797621787,0.147214854,920.5200721,0.631262894,0.345195992
