Unnamed: 0,Unnamed: 1,Whangarei,744131.068663274,0.0009,-0.0027,0.877791129159367,Date
,,Kaipara,867429.744665849,0.0041,0.0177,1.18655329614215,2024-06-01
,,Auckland - Rodney,1261517.02930108,0.0159,-0.0118,1.1507738236561,2024-06-01
,,Rodney - Hibiscus Coast,1193698.41864618,0.0359,0.0093,1.03229063079269,2024-06-01
,,Rodney - North,1289391.62930647,-0.0191,-0.0446,1.14664977833537,2024-06-01
,#A,Auckland - North Shore,1443100.83936915,0.02,-0.0356,1.23636014717282,2024-06-01
,,North Shore - Coastal,1655432.55222315,0.021,-0.0311,1.19688581862465,2024-06-01
,,North Shore - North Harbour,1424519.26190563,0.0419,-0.0346,1.34435127091189,2024-06-01
,,North Shore - Onewa,1148511.86208442,0.0065,-0.0332,1.3154874208628,2024-06-01
,#A,Auckland - Waitakere,992623.314258321,-0.0012,-0.0186,1.34102646684132,2024-06-01
,#A,Auckland - City,1453206.95982693,-0.0162,-0.0228,1.33439026125533,2024-06-01
,,Auckland City - Central,1245158.11076442,-0.011,-0.0231,1.18632903280731,2024-06-01
,,Auckland City - Islands,1564206.85022543,-0.0237,0.0013,1.44685650274911,2024-06-01
,,Auckland City - South,1300984.90805584,-0.0189,-0.0278,1.41681743260018,2024-06-01
,,Auckland_City - East,1811315.06366137,-0.0139,-0.0204,1.27287736083572,2024-06-01
,#A,Auckland - Manukau,1131810.18064235,0.0108,-0.0327,1.47272917685458,2024-06-01
,,Manukau - Central,874151.246982976,0.0056,-0.0322,1.32540221163079,2024-06-01
,,Manukau - East,1418841.32101527,0.0235,-0.0354,1.38054633023543,2024-06-01
,,Manukau - North West,991016.15185049,0.0036,-0.0261,1.68235131422378,2024-06-01
,#A,Auckland - Papakura,895696.837408177,0.0219,-0.0357,1.48968581373898,2024-06-01
,,Auckland - Franklin,896836.780087354,0.0002,-0.0205,1.26733303523312,2024-06-01
,,Thames Coromandel,1193827.83435982,0.0138,0.0344,1.05352285752589,2024-06-01
,,Hauraki,649756.303279516,0.0048,0.0157,1.32898415796978,2024-06-01
,,Waikato,744189.060661519,0.0199,-0.0327,1.45841433136397,2024-06-01
,,Matamata Piako,695372.742745439,-0.0028,-0.0051,1.38369107039068,2024-06-01
,#,Hamilton,813602.33713883,0.0129,0.0079,1.25059151753727,2024-06-01
,,Hamilton - Central & North West,763163.87184255,0.0261,0.0145,1.13232041039765,2024-06-01
,,Hamilton - North East,998007.407506523,0.0018,0.0121,1.21976736545045,2024-06-01
,,Hamilton - South East,758221.704751695,0.0255,0.0029,1.16903112923043,2024-06-01
,,Hamilton - South West,713855.43988826,0.0059,-0.0011,1.08585724438183,2024-06-01
,,Waipa,878384.029159428,-0.0109,0.0052,1.66833550785396,2024-06-01
,,Otorohanga,514166.797758934,-0.0113,-0.0157,0.864280863088459,2024-06-01
,,South Waikato,423759.233015407,-0.0028,-0.0135,1.59715274305699,2024-06-01
,,Waitomo,367714.274703557,-0.0452,0.037,0.732221626743848,2024-06-01
,,Taupo,852213.012235106,0.0212,0.0059,1.12749021957377,2024-06-01
,,Western BOP,988725.149549174,-0.005,-0.0199,1.19461149583413,2024-06-01
,#,Tauranga,1030783.09223449,0.007,-0.0066,1.14085933242327,2024-06-01
,,Rotorua,666491.163333333,0.0254,0.0313,1.2698178786145,2024-06-01
,,Whakatane,720768.271203843,-0.0146,-0.0084,1.07176852889866,2024-06-01
,,Kawerau,401399.442350248,0.0614,0.0585,1.52057747521333,2024-06-01
,,Opotiki,498539.186345382,-0.0347,-0.096,0.75372152438794,2024-06-01
,,Gisborne,604569.315580448,0.0182,0.005,1.03338237863477,2024-06-01
,,Wairoa,421518.397172237,0.0426,0.027,0.722121026005289,2024-06-01
,,Hastings,789576.068325518,0.0296,-0.0116,1.53329077363167,2024-06-01
,#,Napier,759651.201267199,0.0163,-0.0079,1.2324756923623,2024-06-01
,,Central Hawkes Bay,570288.314215686,-0.0393,-0.0582,1.15153611514212,2024-06-01
,,New Plymouth,717018.618845683,0.0045,-0.0123,1.16836810750739,2024-06-01
,,Stratford,472758.425126018,0.0059,-0.0624,1.16248627801013,2024-06-01
,,South Taranaki,435115.350984429,-0.0215,-0.041,1.20037498095754,2024-06-01
,,Ruapehu,381714.304484402,0.0582,0.0707,1.11655477764755,2024-06-01
