Date,Price,Region
2018-01-01,1074933,Auckland
2018-01-08,1074331,Auckland
2018-01-15,1074490,Auckland
2018-01-22,1074735,Auckland
2018-01-29,1075111,Auckland
2018-02-05,1074948,Auckland
2018-02-12,1074753,Auckland
2018-02-19,1075301,Auckland
2018-02-26,1075991,Auckland
2018-03-05,1076695,Auckland
2018-03-12,1078081,Auckland
2018-03-19,1077991,Auckland
2018-03-26,1079392,Auckland
2018-04-02,1081184,Auckland
2018-04-09,1081847,Auckland
2018-04-16,1082208,Auckland
2018-04-23,1082229,Auckland
2018-04-30,1081730,Auckland
2018-05-07,1083008,Auckland
2018-05-14,1082261,Auckland
2018-05-21,1082183,Auckland
2018-05-28,1082797,Auckland
2018-06-04,1083438,Auckland
2018-06-11,1083524,Auckland
2018-06-18,1084601,Auckland
2018-06-25,1084371,Auckland
2018-07-02,1084263,Auckland
2018-07-09,1084727,Auckland
2018-07-16,1084210,Auckland
2018-07-23,1083186,Auckland
2018-07-30,1083679,Auckland
2018-08-06,1083035,Auckland
2018-08-13,1083825,Auckland
2018-08-20,1084279,Auckland
2018-08-27,1084150,Auckland
2018-09-03,1083458,Auckland
2018-09-10,1082908,Auckland
2018-09-17,1083319,Auckland
2018-09-24,1083236,Auckland
2018-10-01,1082970,Auckland
2018-10-08,1082231,Auckland
2018-10-15,1082131,Auckland
2018-10-22,1082136,Auckland
2018-10-29,1082179,Auckland
2018-11-05,1080635,Auckland
2018-11-12,1080496,Auckland
2018-11-19,1080073,Auckland
2018-11-26,1079399,Auckland
2018-12-03,1077213,Auckland
2018-12-10,1076319,Auckland
2018-12-17,1074888,Auckland
2018-12-24,1073538,Auckland
2018-12-31,1072694,Auckland
2019-01-07,1070862,Auckland
2019-01-14,1070211,Auckland
2019-01-21,1069952,Auckland
2019-01-28,1069192,Auckland
2019-02-04,1067756,Auckland
2019-02-11,1067828,Auckland
2019-02-18,1067541,Auckland
2019-02-25,1067002,Auckland
2019-03-04,1065552,Auckland
2019-03-11,1064445,Auckland
2019-03-18,1064199,Auckland
2019-03-25,1064433,Auckland
2019-04-01,1064787,Auckland
2019-04-08,1062150,Auckland
2019-04-15,1061369,Auckland
2019-04-22,1060432,Auckland
2019-04-29,1059928,Auckland
2019-05-06,1057046,Auckland
2019-05-13,1056156,Auckland
2019-05-20,1054857,Auckland
2019-05-27,1053658,Auckland
2019-06-03,1050965,Auckland
2019-06-10,1050614,Auckland
2019-06-17,1049295,Auckland
2019-06-24,1048716,Auckland
2019-07-01,1048002,Auckland
2019-07-08,1044192,Auckland
2019-07-15,1043664,Auckland
2019-07-22,1044531,Auckland
2019-07-29,1044160,Auckland
2019-08-05,1044272,Auckland
2019-08-12,1044874,Auckland
2019-08-19,1045574,Auckland
2019-08-26,1046587,Auckland
2019-09-02,1046827,Auckland
2019-09-09,1046664,Auckland
2019-09-16,1048831,Auckland
2019-09-23,1051444,Auckland
2019-09-30,1053853,Auckland
2019-10-07,1057870,Auckland
2019-10-14,1060310,Auckland
2019-10-21,1063869,Auckland
2019-10-28,1065150,Auckland
2019-11-04,1066013,Auckland
2019-11-11,1068843,Auckland
2019-11-18,1070536,Auckland
2019-11-25,1072119,Auckland
2019-12-02,1077075,Auckland
2019-12-09,1080379,Auckland
2019-12-16,1080165,Auckland
2019-12-23,1081313,Auckland
2019-12-30,1079773,Auckland
2020-01-06,1081643,Auckland
2020-01-13,1086445,Auckland
2020-01-20,1088442,Auckland
2020-01-27,1092338,Auckland
2020-02-03,1099610,Auckland
2020-02-10,1103673,Auckland
2020-02-17,1107892,Auckland
2020-02-24,1111790,Auckland
2020-03-02,1116764,Auckland
2020-03-09,1118653,Auckland
2020-03-16,1119835,Auckland
2020-03-23,1122038,Auckland
2020-03-30,1122611,Auckland
2020-04-06,1120177,Auckland
2020-04-13,1118927,Auckland
2020-04-20,1114896,Auckland
2020-04-27,1113387,Auckland
2020-05-04,1113154,Auckland
2020-05-11,1113414,Auckland
2020-05-18,1112325,Auckland
